# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-18T03:00:00Z, until=2026-09-18T06:00:00Z, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (5 record(s) matching this query); records: 5; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,tre_0.9.0_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	re2_11.0.0_default-caps-simdna	re2_11.0.0_longest-caps-simdna	tre_0.9.0_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	date-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1865.0	3.074076	5.181104	5.183424	7.359975	1.000000
capability@0.1	doubled-word	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	80036131.5	1.000000	unsup	unsup	2.705157	unsup
capability@0.1	doubled-word	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	89010.3	1.000000	unsup	unsup	2.368529	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2228794.5	1.000000	unsup	unsup	82.619844	unsup
capability@0.1	dup-param-detect	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	8896.5	1.000000	unsup	unsup	22.007136	unsup
capability@0.1	email-local-nodup	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	1381.0	1.000000	unsup	unsup	unsup	unsup
capability@0.1	email-local-nodup	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	18596.6	1.000000	unsup	unsup	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	re2_11.0.0_default-caps-simdna	342.5	6507.929772	1.000000	1.003116	64855.063426	92.484085
capability@0.1	email-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1847.5	2.743768	23.646202	24.102937	111.108722	1.000000
capability@0.1	evil-alt-nested	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	170.2	103.640821	1.832530	1.822415	60037.693725	1.000000
capability@0.1	evil-alt-nested	short-subject-search	plain			gave-up	wrong	wrong	wrong	wrong
capability@0.1	file-ext-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	84638.6	13.950810	2.953479	2.955794	302.997791	1.000000
capability@0.1	file-ext-order	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2478.9	1.289919	3.086374	wrong	wrong	1.000000
capability@0.1	float-literal-bound	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	13300527.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	float-literal-bound	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	20462.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	floor-byte	large-subject-throughput	plain	tre_0.9.0_default-caps-simdna	23199.2	96.061582	1.031789	1.025963	1.000000	1.393802
capability@0.1	floor-byte	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2042.0	2.153278	3.673467	3.678974	1.024307	1.000000
capability@0.1	high-byte-run	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	64081.2	31.759623	34.936838	35.013951	wrong	1.000000
capability@0.1	high-byte-run	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2639.7	1.968199	3.667233	3.686297	wrong	1.000000
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	30.5	12.058341	9.344122	9.430492	506778.981308	1.000000
capability@0.1	ipv4-near-miss	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	949.6	3.591192	7.194515	7.211749	32.167668	1.000000
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	292.4	13558.766525	8350.635420	8504.512910	101021.728837	1.000000
capability@0.1	keyword-prefix-order	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2687.9	1.503828	2.972821	wrong	wrong	1.000000
capability@0.1	logparse-atomic	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	97.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	logparse-atomic	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	5029.4	1.000000	unsup	unsup	unsup	unsup
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	97.4	1.000000	2.942901	2.953024	196620.777545	1.379003
capability@0.1	logparse-atomic-removed	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1149.8	4.334217	6.867011	6.982163	36.345186	1.000000
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	re2_11.0.0_longest-caps-simdna	23764.4	93.794418	1.005833	1.000000	910.042873	1.332113
capability@0.1	mojibake-curly-quote	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2048.9	2.158156	3.681460	3.674515	wrong	1.000000
capability@0.1	negation-scope-lookbehind-var					unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	1498679.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	4461.8	1.000000	unsup	unsup	unsup	unsup
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	95.3	1.000000	2.998983	2.990523	91156.047000	1.751306
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1958.2	6429.601526	4.920539	4.904241	6.793164	1.000000
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	94.7	1.000000	2.999392	3.022953	91685.062374	1.761324
capability@0.1	phone-list-nested-plus	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1983.0	8418.019875	5.094044	5.095874	7.616867	1.000000
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	14477787.7	1.000000	unsup	unsup	1.984948	unsup
capability@0.1	phone-palindrome-6	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	22750.7	1.000000	unsup	unsup	1.334080	unsup
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	4048.4	1.000000	unsup	unsup	unsup	unsup
capability@0.1	pwd-strength-chain	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	36028.0	1.000000	unsup	unsup	unsup	unsup
capability@0.1	quoted-delim-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3837824.3	1.000000	unsup	unsup	unsup	unsup
capability@0.1	quoted-delim-match	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	7095.2	1.000000	unsup	unsup	unsup	unsup
capability@0.1	router-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1247.3	1091.548796	319.770298	321.023199	21223.757950	1.000000
capability@0.1	router-prefix-order	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2296.8	1.222620	3.314522	wrong	wrong	1.000000
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2230556.5	1.000000	unsup	unsup	15.475396	unsup
capability@0.1	tag-depth3-bound	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	6552.2	1.000000	unsup	unsup	7.233881	unsup
capability@0.1	tag-pair-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2229027.8	1.000000	unsup	unsup	12.462842	unsup
capability@0.1	tag-pair-match	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	5951.1	1.000000	unsup	unsup	wrong	unsup
capability@0.1	trim-nested-star	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	167.0	4.459758	1.703795	1.715547	70940.967144	1.000000
capability@0.1	trim-nested-star	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1861.8	6733.806294	5.059587	5.085566	10.480114	1.000000
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2036374.5	1.000000	unsup	unsup	unsup	unsup
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	4932.3	1.000000	unsup	unsup	unsup	unsup
capability@0.1	uuid-near-miss	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	30.4	3.060056	9.814376	9.761653	390308.738236	1.000000
capability@0.1	uuid-near-miss	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	571.2	4.894425	7.370871	7.385614	61.825067	1.000000
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	123.7	32171.121897	13311.077763	13570.388062	5662.974217	1.000000
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2070.7	2.246502	3.748834	3.726949	1.056905	1.000000
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	182372.3	35.970487	12.302555	12.275552	360.721580	1.000000
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	3001.9	4.447347	3.195164	3.223049	21.195438	1.000000
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	23494350.5	1.000000	unsup	unsup	unsup	refused
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	11694.2	1.000000	unsup	unsup	unsup	refused
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	tre_0.9.0_default-caps-simdna	23248.6	95.912068	1.021948	1.022824	1.000000	1.391429
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2039.2	2.156676	3.685157	3.696359	1.025948	1.000000
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2229854.5	1.000000	unsup	unsup	unsup	refused
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	5047.9	1.000000	unsup	unsup	unsup	refused
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	651.5	3281223.767560	1405238.543299	1395887.314350	refused	1.000000
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	3750.1	204.114423	48.690744	48.414516	refused	1.000000
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	147.8	6.808960	1.935002	1.922999	104180.714943	1.000000
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1619.0	7.199953	5.995917	6.014516	26.200228	1.000000
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	27178784.8	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	15893.4	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	25776438.6	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	15951.5	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3461960.6	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	6263.0	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3273987.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	290745.7	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	69561405.2	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	23531.8	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2227676.0	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	5334.2	1.000000	unsup	unsup	unsup	unsup
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	292470.2	7.422845	7.667529	7.671485	587.011023	1.000000
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2103.2	3.575829	4.744971	4.742003	83.408737	1.000000
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	60324.7	6.870111	37.094046	37.139946	415.449707	1.000000
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	829.8	3.551350	12.295531	12.568972	68.350837	1.000000
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	111983.2	11.161957	3.922654	3.921030	315.393836	1.000000
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	694.3	4.834600	12.994790	12.924569	107.653928	1.000000
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	475056.4	10.176556	4.722193	4.719571	refused	1.000000
capability@0.1	wild-secrets-username-password-pair	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1647.4	5.483665	6.242931	6.283641	refused	1.000000
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	153409.3	8.753330	2.122342	2.126326	186.417427	1.000000
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2402.5	1.242922	3.108568	3.116749	12.866666	1.000000
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	151.3	1.000000	2.093457	2.090538	122732.599950	1.476342
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2760.9	1.258363	2.646769	2.655141	4.598192	1.000000
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	241.4	413858.846018	260801.049070	272230.780331	194725.237573	1.000000
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	3892.4	4.460591	5.097720	5.116078	8.052483	1.000000
capability@0.1	wild-validator-email-owasp	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	199.8	11150.138154	1.874375	1.924224	109367.008567	1.000000
capability@0.1	wild-validator-email-owasp	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2247.0	2.326505	3.620802	3.617006	53.592223	1.000000
capability@0.1	wild-validator-ipv4-owasp	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	30.4	12.093353	9.375883	9.406470	506887.114334	1.000000
capability@0.1	wild-validator-ipv4-owasp	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	950.7	3.851451	9.800531	9.909000	40.842169	1.000000
capability@0.1	wild-validator-us-zip-owasp	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	30.3	3.130142	9.400497	9.404059	286943.036248	1.000000
capability@0.1	wild-validator-us-zip-owasp	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	986.3	4.983600	2.066635	2.074386	14.114115	1.000000
capability@0.1	wild-validator-uuid-grok	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	243490.9	9.941354	9.194766	9.182456	297.708043	1.000000
capability@0.1	wild-validator-uuid-grok	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1625.9	2.605308	6.036710	6.075382	74.985409	1.000000
capability@0.1	wild-waf-crs-942140-dbnames	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	600337.0	108.674348	3.735110	3.736081	475.274844	1.000000
capability@0.1	wild-waf-crs-942140-dbnames	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	3412.9	13.131703	2.826514	2.843513	93.692307	1.000000
capability@0.1	wild-waf-crs-942160-sleep-benchmark	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	160217.0	30.652437	13.986911	13.981953	374.985074	1.000000
capability@0.1	wild-waf-crs-942160-sleep-benchmark	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2420.3	5.155552	3.963732	4.065350	29.376990	1.000000
capability@0.1	wild-waf-crs-942270-union-select	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	86366.8	39.666369	5.084156	5.081412	358.197725	1.000000
capability@0.1	wild-waf-crs-942270-union-select	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1914.2	4.573838	4.314436	4.341585	20.498947	1.000000
capability@0.1	wild-waf-crs-942360-concat-sqli	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	878263.5	157.758759	2.556975	2.557637	1331.625025	1.000000
capability@0.1	wild-waf-crs-942360-concat-sqli	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	4575.5	31.190549	2.089489	2.103660	wrong	1.000000
capability@0.1	wild-waf-crs-942500-comment-obfuscation	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	60231.1	24.873057	7.288859	7.305753	refused	1.000000
capability@0.1	wild-waf-crs-942500-comment-obfuscation	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2358.9	1.647023	3.502304	3.516962	refused	1.000000
capability@0.1	winpath-near-miss	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	94.2	1.000000	3.150838	3.125866	108123.957602	1.413805
capability@0.1	winpath-near-miss	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1463.5	1.999965	4.743324	4.746250	17.740887	1.000000
