# reporter: v23 (2026-09-25); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-23T00:00:00Z, until=2026-09-24T06:00:00Z, testee=pcrec_b1885a83_auto-caps-simdna, testee=pcrec_b1885a83_auto-nocaps-simdna, testee=pcrec_b1885a83_vm-caps-simdna, testee=pcrec_b1885a83_vm-in-caps-simdna, testee=pcrec_6ef76820_auto-caps-simdna, testee=pcrec_6ef76820_auto-nocaps-simdna, testee=pcrec_6ef76820_vm-caps-simdna, testee=pcrec_6ef76820_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_auto-nocaps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_auto-nocaps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; capture_class: yes=pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; no=pcrec_6ef76820_auto-nocaps-simdna,pcrec_b1885a83_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_6ef76820_auto-caps-simdna	pcrec_6ef76820_auto-nocaps-simdna	pcrec_6ef76820_vm-caps-simdna	pcrec_6ef76820_vm-in-caps-simdna	pcrec_b1885a83_auto-caps-simdna	pcrec_b1885a83_auto-nocaps-simdna	pcrec_b1885a83_vm-caps-simdna	pcrec_b1885a83_vm-in-caps-simdna
capability@0.1	email-local-nodup	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	917.5	1.063339	1.063908	1.000000	1.024634	1.059676	1.062341	1.002406	1.024638
capability@0.1	email-local-nodup	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	10535.4	1.000857	1.000461	1.051689	1.100361	1.000386	1.000000	1.051936	1.100557
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	37.1	1.296557	1.000000	194.426312	195.788653	624.162011	624.100472	623.910248	624.487058
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	650.0	2.145310	1.538445	gave-up	gave-up	1.393732	1.000000	1.284672	1.379250
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	25.0	480.411526	1.004131	481.173609	483.831276	478.346473	1.000000	482.399087	493.373214
capability@0.1	evil-alt-nested	short-subject-search	plain			gave-up	no-expectation	gave-up	gave-up	gave-up	no-expectation	gave-up	gave-up
capability@0.1	file-ext-order	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	260008.7	1.002267	1.002014	1.000000	1.001203	1.001619	1.001700	1.000768	1.001904
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	676.5	1.010113	1.011541	1.242698	1.430220	1.000000	1.002174	1.242230	1.408992
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	1890117.5	1.003870	1.000000	11.621892	11.697031	1.000268	1.000530	11.779983	11.788304
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1641.6	1.003786	1.000000	3.385534	3.423265	1.006083	1.007297	3.320218	3.431550
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_6ef76820_vm-in-caps-simdna	23104.8	1.003266	1.000239	1.001496	1.000000	1.000050	1.000658	1.001431	1.001033
capability@0.1	floor-byte	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	598.9	1.154795	1.133031	1.099471	1.099866	1.001183	1.000000	1.142884	1.099465
capability@0.1	high-byte-run	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	482648.3	1.000000	1.000936	4.217466	4.216808	1.000466	1.000916	4.215709	4.215533
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1099.7	1.016478	1.000000	2.584552	2.494790	1.031143	1.021310	2.581496	2.491797
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	12.6	1.000000	1.005174	2.972480	3.385678	1.982540	1.983681	2.265776	2.735829
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	444.8	1.000192	1.000000	2.684608	2.854249	1.410030	1.410521	2.008718	2.552412
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	1236473.0	1.001627	1.002107	3.734735	3.752676	1.000000	1.000718	3.741019	3.755106
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	732.5	1.001514	1.000000	1.355000	1.444979	1.030620	1.028504	1.316648	1.438678
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	27.2	1.109203	1.111427	1.000000	1.272390	1.636248	1.591661	2.168236	2.568360
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_6ef76820_vm-caps-simdna	690.6	1.221965	1.217400	1.000000	1.236337	1.202589	1.181212	1.247080	1.375638
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	18.9	1.592280	1.000000	1.329872	1.570771	2.319179	1.883395	2.707098	2.902919
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	517.7	1.588676	1.000000	1.237410	1.455376	1.727640	1.255160	1.660109	1.752606
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	23093.9	1.001646	1.003007	1.000000	1.003196	1.002175	1.000932	1.001303	1.000319
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	619.9	1.119815	1.121772	1.071715	1.101991	1.000000	1.000473	1.104246	1.100951
capability@0.1	negation-scope-lookbehind-var					unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	23118.5	1.002350	1.001304	1.000875	1.000642	1.000000	1.000703	1.001473	1.001334
capability@0.1	nested-comment-rec	short-subject-search	plain	pcrec_b1885a83_vm-in-caps-simdna	1110.4	1.403327	1.442833	1.387373	1.007248	1.410270	1.463088	1.409474	1.000000
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	14.2	1.940028	1.125075	2.810940	3.242257	1.951877	1.000000	2.812037	3.204280
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	445.6	1.915385	1.118537	20911.751658	20925.033565	1.901629	1.000000	20929.509163	20920.149212
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	14.3	1.987651	1.118385	2.795510	3.059992	1.925929	1.000000	2.822598	3.062578
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	454.7	2.015566	1.111126	22155.678215	22150.948366	1.942036	1.000000	22141.931061	22145.541015
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	6578289.2	1.057341	1.141251	1.000000	1.109698	1.072501	1.138780	1.089105	1.119753
capability@0.1	phone-palindrome-6	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	6999.2	1.008318	1.041730	1.005836	1.109621	1.070875	1.067286	1.000000	1.086344
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	220.8	1.001740	1.000000	7.401147	7.492103	1.000459	1.003621	7.420567	7.509446
capability@0.1	pwd-strength-chain	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	10781.8	1.128372	1.126396	1.001609	1.021488	1.121743	1.125498	1.000000	1.023388
capability@0.1	quoted-delim-match	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	9702831.5	1.043045	1.012318	1.042194	1.043794	1.042563	1.000000	1.042515	1.040916
capability@0.1	quoted-delim-match	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	11083.1	1.019882	1.016242	1.021783	1.040731	1.022476	1.000000	1.019084	1.047856
capability@0.1	router-prefix-order	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	719995.6	1.000000	1.000386	6.193444	6.171072	1.000681	1.000153	6.182317	6.169444
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_6ef76820_auto-caps-simdna	711.9	1.000000	1.001047	1.134097	1.284061	1.003266	1.000985	1.135372	1.283553
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	23093.7	1.003737	1.000772	1.003840	1.002392	1.000810	1.000000	1.001408	1.000836
capability@0.1	tag-depth3-bound	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	1101.6	1.006603	1.003638	1.011247	1.078565	1.006785	1.000000	1.006186	1.080659
capability@0.1	tag-pair-match	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	23125.7	1.000000	1.001961	1.001363	1.000679	1.001465	1.001852	1.003010	1.000407
capability@0.1	tag-pair-match	short-subject-search	plain	pcrec_6ef76820_vm-caps-simdna	1111.9	1.004747	1.033019	1.000000	1.078754	1.024628	1.059996	1.017232	1.092313
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	14.2	3.297444	1.066164	3.293152	4.256858	3.286961	1.000000	3.287020	4.250874
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	407.0	25059.807929	1.068262	25060.234421	25161.775925	25035.442837	1.000000	25036.393291	25139.154744
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	481108.8	1.000781	1.000940	7.610073	7.611832	1.000004	1.000000	7.610493	7.610965
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_6ef76820_auto-caps-simdna	1229.5	1.000000	1.000028	4.028549	4.081821	1.011664	1.006361	4.028699	4.052670
capability@0.1	uuid-near-miss	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	13.3	1.009907	1.000000	1.996764	2.256013	2.065747	2.066274	2.635584	2.877924
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_6ef76820_auto-caps-simdna	547.9	1.000000	1.001129	1.760528	1.662657	1.225562	1.225415	1.420666	1.511909
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	263314.2	1.000000	1.000986	4.172457	4.234375	1.328145	1.327802	4.183122	4.157750
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	624.5	1.108849	1.114182	1.095003	1.098250	1.000000	1.000201	1.132362	1.095870
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	4196060.3	1.000647	1.000651	1.121365	1.124175	1.000000	1.000428	1.125485	1.123009
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	2425.6	1.000356	1.000000	1.394645	1.381724	1.004984	1.002810	1.409408	1.377831
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	2442021.5	1.000000	1.000603	4.114712	4.168427	1.010279	1.011130	4.099054	4.120867
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1392.8	1.004128	1.000000	5.265847	5.360534	1.076456	1.076068	5.264234	5.336663
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_b1885a83_vm-in-caps-simdna	23110.8	1.001780	1.002024	1.000251	1.000356	1.000534	1.001107	1.002223	1.000000
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	598.3	1.119324	1.132558	1.093392	1.097532	1.000000	1.000008	1.135972	1.097427
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	23120.4	1.004096	1.000758	1.001092	1.001635	1.000000	1.000605	1.003999	1.001683
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	675.1	1.098616	1.102529	1.239207	1.418423	1.000138	1.000000	1.286652	1.411416
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	10316096.2	refused	1.000000	refused	refused	refused	1.014601	refused	refused
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1952.6	refused	1.000000	refused	refused	refused	1.035098	refused	refused
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	18.8	1.744518	1.000000	3.083168	3.528339	2.618316	1.963708	3.849857	4.116879
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	589.3	1.654461	1.000000	2.359404	2.642998	1.437772	1.075375	1.386219	1.569410
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	4034539.9	1.000000	1.005914	5.767740	5.876848	1.001456	1.000332	5.812187	5.892192
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	2479.6	1.003614	1.007367	7.344947	7.493681	1.000000	1.002019	7.408453	7.503713
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	3983267.6	1.000390	1.000000	5.798627	5.950853	1.033654	1.001906	5.839172	5.848104
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	2443.0	1.012519	1.007317	7.199353	7.430285	1.000000	1.004780	7.285320	7.397506
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	1009802.4	1.002296	1.000608	46.250455	46.247243	1.000000	1.000342	46.270191	46.186910
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_6ef76820_auto-caps-simdna	1941.4	1.000000	1.001063	25.251000	25.305601	1.009493	1.004155	25.242778	25.312219
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	929408.1	1.001334	1.000000	25.257431	25.018016	1.001197	1.001990	24.781928	24.911289
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	1843.8	1.004907	1.003406	61.857014	62.105001	1.000000	1.002154	61.931985	62.029067
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	3988580.9	1.000467	1.000288	9.999819	9.952154	1.000155	1.000000	9.989642	9.948519
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	1593.2	1.116973	1.001196	4.630069	4.659692	1.119565	1.000000	4.617498	4.639328
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	23101.3	1.002852	1.000000	1.003048	1.000823	1.001961	1.000932	1.001310	1.001772
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	928.3	1.004022	1.005031	1.100456	1.193953	1.000147	1.000000	1.099984	1.208281
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	3941874.8	1.000000	1.011657	2.369022	2.369076	1.000320	1.010364	2.367670	2.368919
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	989.0	1.202190	1.000000	1.999010	2.048755	1.220859	1.023758	1.949172	2.050313
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	pcrec_b1885a83_vm-in-caps-simdna	125586.1	1.029738	1.025931	1.028058	1.000365	1.030342	1.026859	1.028342	1.000000
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	pcrec_6ef76820_vm-caps-simdna	682.4	1.599314	1.370988	1.000000	1.228208	1.604575	1.371419	1.004312	1.243044
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	347656.3	1.000064	1.007331	1.002090	1.001043	1.000000	1.007964	1.000326	1.001634
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	pcrec_6ef76820_vm-caps-simdna	832.9	1.442000	1.157828	1.000000	1.134267	1.414632	1.153439	1.009775	1.134878
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	23111.5	1.000689	1.000000	1.000289	1.001652	1.001964	1.000263	1.001180	1.000172
capability@0.1	wild-secrets-username-password-pair	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	721.1	1.489160	1.000543	1.523548	1.613107	1.489715	1.000000	1.519636	1.614050
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	large-subject-throughput	plain	pcrec_b1885a83_vm-caps-simdna	356696.7	1.004368	1.004252	1.000828	1.002008	1.006045	1.005223	1.000000	1.000072
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	646.0	1.000867	1.002069	1.173727	1.345666	1.000000	1.004531	1.181883	1.342698
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	24.9	1.047395	1.046154	1.072109	1.282490	1.001756	1.000000	1.072052	1.283790
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	628.9	1.000539	1.000636	1.050739	1.156659	1.000811	1.000000	1.044474	1.123840
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	3796290.7	1.972760	1.006500	6.694754	6.857976	1.847990	1.000000	6.716225	6.817256
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1185.8	2.439703	1.000000	87.728916	86.508383	2.611987	1.019374	87.761503	86.258387
capability@0.1	wild-validator-email-owasp	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	37.0	1.000000	1.026591	1.705953	1.858048	625.863715	624.801442	626.990960	624.783264
capability@0.1	wild-validator-email-owasp	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	662.2	1.660561	1.663814	2.122622	2.213584	1.001573	1.000000	1.186631	1.283932
