# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-06T15:50:00Z, until=2026-09-06T16:30:00Z, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna_noclsfold, testee=pcrec_d34c9131_auto-caps-simdna; source: store/index.tsv (3 record(s) matching this query); records: 3; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-caps-simdna_noclsfold
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-caps-simdna_noclsfold
altwide@0.2	s-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	8261.8	1.000000	6.346593	6.193924
altwide@0.2	s-4096					refused	refused	refused
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3181191.8	1.000000	5.424770	5.421299
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	380.6	1.200740	1.000167	1.000000
altwide@0.2	s-512	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	8275.5	1.000000	7.298115	7.313959
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2904929.1	1.000000	5.630873	5.641240
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	360.9	1.264739	1.000000	1.001792
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	8229.8	1.000000	6.349556	6.368677
altwide@0.2	sfx-512					refused	refused	refused
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3129667.0	1.000000	4.410130	4.402544
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	356.2	1.253452	1.000399	1.000000
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	8100.2	1.000000	6.974356	6.920774
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	501466.4	1.000000	5.259861	5.252157
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	339.2	1.324978	1.003066	1.000000
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1504.4	1.000000	9.449059	9.453430
altwide@0.2	sh1-512					refused	refused	refused
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	456608.8	1.000000	5.913903	5.869115
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	339.5	1.250588	1.000000	1.000150
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1477.7	1.000000	9.161482	9.176062
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2905766.0	1.000000	5.488964	5.475700
altwide@0.2	srt-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	382.4	refused	1.000000	1.001025
altwide@0.2	srt-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7620.5	1.000000	5.826439	5.818726
altwide@0.2	srt-512					refused	refused	refused
altwide@0.2	w-1024					refused	refused	refused
altwide@0.2	w-128	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3114195.5	1.000000	4.749253	4.655817
altwide@0.2	w-128	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	367.9	1.393874	1.000000	1.007739
altwide@0.2	w-128	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7584.5	1.000000	5.609658	5.589276
altwide@0.2	w-192	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3142416.7	1.000000	5.066271	5.063209
altwide@0.2	w-192	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	384.9	1.327298	1.000000	1.003194
altwide@0.2	w-192	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7614.4	1.000000	5.933371	5.936064
altwide@0.2	w-2048					refused	refused	refused
altwide@0.2	w-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2900625.5	1.000000	5.482513	5.486800
altwide@0.2	w-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	380.5	refused	1.004229	1.000000
altwide@0.2	w-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7610.3	1.000000	5.820835	5.830595
altwide@0.2	w-384	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	16529526.2	refused	1.017057	1.000000
altwide@0.2	w-384	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna_noclsfold	391.7	refused	1.013565	1.000000
altwide@0.2	w-384	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	52554.4	refused	1.005885	1.000000
altwide@0.2	w-512					refused	refused	refused
altwide@0.2	w-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3416564.8	1.000000	3.858125	3.859357
altwide@0.2	w-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	410.3	1.227936	1.000000	1.001069
altwide@0.2	w-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7427.3	1.000000	6.284935	6.296396
altwide@0.2	w-8	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2256257.3	1.000000	4.066743	4.070397
altwide@0.2	w-8	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	370.8	1.161172	1.000000	1.509105
altwide@0.2	w-8	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	4659.9	1.000000	6.849656	6.827603
altwide@0.2	w-96	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3140772.0	1.000000	4.489281	4.503264
altwide@0.2	w-96	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	396.8	1.254717	1.000000	1.001423
altwide@0.2	w-96	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7584.7	1.000000	6.552678	6.551014
altwide@0.2	wb-256	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	7162101.4	refused	1.012625	1.000000
altwide@0.2	wb-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	416.5	refused	1.000000	1.009720
altwide@0.2	wb-256	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna_noclsfold	33308.6	refused	1.004359	1.000000
altwide@0.2	wb-512					refused	refused	refused
