# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-01T00:00:00Z, until=2026-09-21T14:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 10; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_288d505_auto-nocaps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,pcrec_288d505_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_288d505_auto-nocaps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5471.1	libpcre2_10.46_jit-caps-simdna	5471.1			1.011759	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	975.5	pcrec_25b1984f_vm-in-caps-simdna	975.5	pcrec_288d505_auto-nocaps-simdna	2055.1	excluded	excluded	2.105834	2.109769	1.014893	1.000000	2.106584	2.109488	1.009320	1.016340
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	836.4	pcrec_25b1984f_auto-caps-simdna	836.4	pcrec_25b1984f_auto-nocaps-simdna	837.8	6.705737	2.740876	1.000000	1.001671	1.141994	1.132235	1.074349	1.019191	1.152052	1.135414
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	168075.9	pcrec_d34c9131_auto-caps-simdna	168075.9	pcrec_25b1984f_auto-nocaps-simdna	169654.8	16.218660	5.952391	1.010525	1.009394	1.385648	1.375803	1.197303	1.000000	1.385878	1.339898
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4744.2	libpcre2_10.46_jit-caps-simdna	4744.2			1.005442	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	488.2	pcrec_25b1984f_vm-in-caps-simdna	488.2	pcrec_288d505_auto-nocaps-simdna	708.1	excluded	excluded	1.445218	1.451120	1.126296	1.000000	1.450311	1.455073	1.126158	1.004903
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	509.2	pcrec_d34c9131_auto-caps-simdna	509.2	pcrec_25b1984f_auto-nocaps-simdna	515.7	9.977735	3.951806	1.012799	1.012636	1.311622	1.274089	1.161986	1.000000	1.312841	1.279558
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	123793.8	pcrec_25b1984f_auto-caps-simdna	123888.0	pcrec_25b1984f_auto-nocaps-simdna	123793.8	17.505380	6.589848	1.000761	1.000000	1.399876	1.488172	1.244966	1.000806	1.393815	1.441683
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6965.9	libpcre2_10.46_interp-caps-simdna	6965.9			1.000000	1.007866	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_25b1984f_auto-nocaps-simdna	1873.7	excluded	excluded	1.022915	1.024293	1.024541	1.002084	1.109154	1.022096	1.020468	1.000000
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	987.7	pcrec_25b1984f_auto-caps-simdna	995.2	pcrec_25b1984f_auto-nocaps-simdna	987.7	5.907479	2.563541	1.007581	1.000000	1.119575	1.112865	1.060949	1.012567	1.129975	1.114211
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	124470.2	pcrec_25b1984f_auto-caps-simdna	124643.0	pcrec_25b1984f_auto-nocaps-simdna	124470.2	17.391575	6.878284	1.001388	1.000000	1.390404	1.489214	1.245599	1.001678	1.391894	1.438265
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6915.4	libpcre2_10.46_interp-caps-simdna	6915.4			1.000000	1.006451	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.3	pcrec_d34c9131_vm-in-caps-simdna	1830.3	pcrec_25b1984f_auto-nocaps-simdna	12423.5	excluded	excluded	6.776574	6.787705	1.022411	1.001015	6.797332	6.786363	1.021371	1.000000
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	988.1	pcrec_25b1984f_auto-caps-simdna	988.1	pcrec_25b1984f_auto-nocaps-simdna	988.5	5.905555	2.588209	1.000000	1.000416	1.118403	1.110731	1.058077	1.010670	1.126160	1.113156
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	130322.6	pcrec_25b1984f_auto-caps-simdna	130387.2	pcrec_25b1984f_auto-nocaps-simdna	130322.6	16.892016	6.367312	1.000496	1.000000	1.377130	1.467104	1.237582	1.047060	1.378153	1.424361
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5945.3	libpcre2_10.46_jit-caps-simdna	5945.3			1.009441	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1247.2	pcrec_d34c9131_vm-in-caps-simdna	1247.2	pcrec_288d505_auto-nocaps-simdna	2982.7	excluded	excluded	2.398938	2.397557	1.241200	1.050499	2.391460	2.397059	1.067458	1.000000
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	989.3	pcrec_25b1984f_auto-caps-simdna	989.5	pcrec_25b1984f_auto-nocaps-simdna	989.3	5.896185	2.515301	1.000224	1.000000	1.118868	1.109889	1.059492	1.010134	1.127554	1.113035
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	157823.8	pcrec_25b1984f_auto-caps-simdna	157823.8	pcrec_25b1984f_auto-nocaps-simdna	158110.0	15.589748	6.076675	1.000000	1.001814	1.151116	1.278680	1.126990	1.005984	1.152181	1.238898
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4947.6	libpcre2_10.46_jit-caps-simdna	4947.6			1.000575	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	515.6	pcrec_25b1984f_vm-in-caps-simdna	515.6	pcrec_288d505_auto-nocaps-simdna	959.1	excluded	excluded	1.863883	1.872013	1.102167	1.000000	1.860324	1.890535	1.101986	1.003923
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	580.8	pcrec_25b1984f_auto-caps-simdna	580.8	pcrec_25b1984f_auto-nocaps-simdna	581.8	9.160128	3.561914	1.000000	1.001773	1.150564	1.169055	1.132114	1.013577	1.177350	1.166464
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	172298.1	pcrec_d34c9131_auto-caps-simdna	172341.9	pcrec_25b1984f_auto-nocaps-simdna	172298.1	12.564852	4.968100	1.001508	1.000000	1.005254	1.070111	1.424709	1.000254	1.000859	1.034576
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6904.7	libpcre2_10.46_interp-caps-simdna	6904.7			1.000000	1.011662	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.0	pcrec_d34c9131_vm-in-caps-simdna	1830.0	pcrec_25b1984f_auto-nocaps-simdna	1870.8	excluded	excluded	1.020112	1.022303	1.023259	1.001327	1.111411	1.020535	1.019443	1.000000
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1097.9	pcrec_25b1984f_vm-in-caps-simdna	1097.9	pcrec_25b1984f_auto-nocaps-simdna	1106.0	5.308077	2.361450	1.008533	1.007330	1.008078	1.000000	1.176580	1.015838	1.014784	1.002454
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	200381.7	pcrec_d34c9131_auto-caps-simdna	200381.7	pcrec_25b1984f_auto-nocaps-simdna	200405.5	21.169156	8.248414	1.003173	1.000119	1.453654	1.612045	1.593650	1.000000	1.428291	1.543692
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4515.9	libpcre2_10.46_jit-caps-simdna	4515.9			1.005080	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	378.3	pcrec_d34c9131_vm-in-caps-simdna	378.3	pcrec_25b1984f_auto-nocaps-simdna	544.6	excluded	excluded	1.435840	1.439561	1.182111	1.001556	1.440340	1.425168	1.178899	1.000000
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	451.4	pcrec_25b1984f_auto-caps-simdna	451.4	pcrec_25b1984f_auto-nocaps-simdna	453.7	11.089312	4.461854	1.000000	1.005068	1.169482	1.208277	1.169585	1.025772	1.181096	1.222847
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124214.1	pcrec_d34c9131_auto-caps-simdna	124214.1	pcrec_25b1984f_auto-nocaps-simdna	124597.0	17.364066	6.390989	1.002726	1.003083	1.391352	1.485990	1.244860	1.000000	1.393815	1.444927
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6926.4	libpcre2_10.46_jit-caps-simdna	6926.4			1.000178	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.8	pcrec_d34c9131_vm-in-caps-simdna	1829.8	pcrec_25b1984f_auto-nocaps-simdna	12406.8	excluded	excluded	6.777101	6.780413	1.017027	1.000970	6.792336	6.792794	1.021953	1.000000
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	989.4	pcrec_25b1984f_auto-caps-simdna	989.4	pcrec_25b1984f_auto-nocaps-simdna	991.7	5.875815	2.491144	1.000000	1.002257	1.117665	1.108508	1.055990	1.008987	1.127094	1.111147
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	126911.2	pcrec_25b1984f_auto-caps-simdna	126911.2	pcrec_25b1984f_auto-nocaps-simdna	127227.5	17.229506	6.819920	1.000000	1.002493	1.385102	1.480128	1.242238	1.010757	1.387526	1.433901
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6444.9	libpcre2_10.46_interp-caps-simdna	6444.9			1.000000	1.001897	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1547.5	pcrec_d34c9131_vm-in-caps-simdna	1547.5	pcrec_288d505_auto-nocaps-simdna	3893.1	excluded	excluded	2.523113	2.521235	1.022149	1.018356	2.515773	2.522632	1.020555	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	988.4	pcrec_25b1984f_auto-caps-simdna	988.4	pcrec_25b1984f_auto-nocaps-simdna	989.0	5.879718	2.556830	1.000000	1.000598	1.119417	1.110123	1.059413	1.011857	1.126062	1.113528
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	159940.1	pcrec_d34c9131_auto-caps-simdna	159940.1	pcrec_25b1984f_auto-nocaps-simdna	161819.2	14.471057	5.716897	1.000222	1.011749	1.207760	1.319013	1.146818	1.000000	1.205199	1.283197
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5210.2	libpcre2_10.46_jit-caps-simdna	5210.2			1.000119	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	749.8	pcrec_d34c9131_vm-in-caps-simdna	749.8	pcrec_288d505_auto-nocaps-simdna	1483.7	excluded	excluded	1.982930	1.989327	1.063178	1.002056	1.978717	1.977924	1.061074	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	706.3	pcrec_25b1984f_auto-caps-simdna	706.3	pcrec_25b1984f_auto-nocaps-simdna	736.2	7.628937	3.209674	1.000000	1.042337	1.150810	1.160952	1.122132	1.020598	1.164369	1.162739
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	172312.3	pcrec_25b1984f_vm-caps-simdna	172312.3			12.572528	4.606306	refused	refused	1.000000	1.069024	refused	refused	1.000108	1.035832
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6928.7	libpcre2_10.46_jit-caps-simdna	6928.7			1.004070	1.000000	refused	refused	excluded	excluded	refused	refused	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_d34c9131_vm-in-caps-simdna	1829.2			excluded	excluded	refused	refused	1.022334	1.002515	refused	refused	1.024801	1.000000
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1097.9	pcrec_25b1984f_vm-in-caps-simdna	1097.9			5.299590	2.290148	refused	refused	1.006457	1.000000	refused	refused	1.016022	1.002520
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	174561.9	pcrec_25b1984f_auto-caps-simdna	174561.9	pcrec_25b1984f_auto-nocaps-simdna	177512.0	18.695940	6.856003	1.000000	1.016900	1.459954	1.501289	1.356126	1.002307	1.455008	1.502387
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4617.5	libpcre2_10.46_jit-caps-simdna	4617.5			1.002562	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	432.2	pcrec_d34c9131_vm-in-caps-simdna	432.2	pcrec_25b1984f_auto-nocaps-simdna	584.7	excluded	excluded	1.362991	1.352932	1.227578	1.002768	1.367436	1.359773	1.227311	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	476.0	pcrec_25b1984f_auto-caps-simdna	476.0	pcrec_25b1984f_auto-nocaps-simdna	476.8	10.604406	4.256211	1.000000	1.001608	1.304967	1.265812	1.145523	1.004526	1.304099	1.254123
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	123920.8	pcrec_25b1984f_auto-caps-simdna	123980.7	pcrec_25b1984f_auto-nocaps-simdna	123920.8	17.520398	6.420607	1.000483	1.000000	1.394434	1.488805	1.244289	1.000963	1.392449	1.441301
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6946.9	libpcre2_10.46_interp-caps-simdna	6946.9			1.000000	1.000086	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1828.8	pcrec_d34c9131_vm-in-caps-simdna	1828.8	pcrec_25b1984f_auto-nocaps-simdna	1872.1	excluded	excluded	1.020629	1.023712	1.023219	1.002453	6.794434	1.023205	1.023793	1.000000
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	988.4	pcrec_25b1984f_auto-caps-simdna	992.7	pcrec_25b1984f_auto-nocaps-simdna	988.4	5.905814	2.523359	1.004415	1.000000	1.118018	1.110641	1.058895	1.011141	1.127690	1.113110
