# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna_cc-clang, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_cc-clang,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_auto-nocaps-simdna_cc-clang,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-caps-simdna_cc-clang
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_cc-clang	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_auto-nocaps-simdna_cc-clang	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-caps-simdna_cc-clang
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	166303.5	1.732236	1.243792	1.736630	1.252156	1.901987	1.000000
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	391.9	1.806995	1.119722	1.806430	1.120717	1.591566	1.000000
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	569.3	1.363791	1.075704	1.366815	1.077431	1.494747	1.000000
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	147025.2	1.436897	1.149585	1.438058	1.149572	1.667714	1.000000
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.9	1.000485	1.032676	1.000075	1.014201	1.000000	1.021571
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1110.4	1.475054	1.397839	1.474194	1.398853	1.180110	1.000000
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	147521.9	1.442482	1.152398	1.438538	1.151919	1.668235	1.000000
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.6	6.220052	6.500524	6.221051	6.507042	1.000000	1.020435
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1106.9	1.477115	1.407998	1.475086	1.404090	1.193420	1.000000
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	150908.5	1.465237	1.188615	1.469997	1.191624	1.681788	1.000000
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	1288.2	2.317636	2.069562	2.319353	2.071812	1.072393	1.000000
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1109.6	1.477138	1.403307	1.473060	1.399179	1.182803	1.000000
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	155775.4	1.597822	1.402535	1.597700	1.404445	1.724804	1.000000
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	519.9	1.853404	1.317150	1.847857	1.316698	1.277918	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	635.2	1.417412	1.307757	1.418703	1.314934	1.423000	1.000000
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	146828.4	1.673929	1.000000	1.669041	1.001486	1.675683	1.001118
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1993.3	1.000000	1.012222	1.000261	1.015059	1.001145	1.012824
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1106.4	1.185075	1.001148	1.182134	1.006905	1.184438	1.000000
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	194819.2	2.455979	1.000000	2.460874	1.000936	2.162483	1.215717
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	225.2	2.414796	1.166663	2.428075	1.167704	2.130614	1.000000
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	416.3	1.548419	1.000000	1.526794	1.003271	1.702004	1.108925
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	147223.9	1.444664	1.152033	1.437267	1.150156	1.668923	1.000000
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1998.1	6.218236	6.491538	6.211006	6.491533	1.000000	1.010943
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1106.2	1.481510	1.408895	1.480157	1.405236	1.181456	1.000000
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	149123.1	1.449406	1.169022	1.449314	1.171003	1.672640	1.000000
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	1689.5	2.308549	2.113542	2.307907	2.114349	1.002651	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1108.7	1.474499	1.401734	1.477230	1.400908	1.180024	1.000000
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	165397.3	1.599339	1.335453	1.595690	1.331842	1.657474	1.000000
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	735.9	2.010488	1.601889	2.017201	1.603294	1.194464	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	783.8	1.527589	1.359549	1.529524	1.366792	1.333195	1.000000
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	147095.5	refused	refused	refused	refused	1.672274	1.000000
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.7	refused	refused	refused	refused	1.000000	1.011578
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1110.9	refused	refused	refused	refused	1.180905	1.000000
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	155252.5	2.245107	1.003150	2.274006	1.000000	2.298633	1.156941
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	247.9	2.386395	1.299441	2.356154	1.301586	2.218676	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	451.5	1.510897	1.000000	1.503979	1.000031	1.758483	1.078190
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	147092.4	1.437610	1.151166	1.438306	1.149964	1.669164	1.000000
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.7	6.221265	6.507927	6.218259	6.508560	1.000000	1.037361
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1112.1	1.468427	1.395255	1.469770	1.399188	1.182142	1.000000
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	1669.2	1.002303	1.002467	1.002632	1.000000	10704.481543	10194.651958
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna_cc-clang	1774.8	1.120612	1.000502	1.120494	1.000000	3.348556	3.032133
bounded@0.3	csv5	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	950.9	1.002717	1.057448	1.000000	1.051340	378.941411	363.932710
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	200006.7	1.000000	1.110479	1.001621	1.111010	2.363957	2.126892
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	925.1	1.079203	1.014683	1.076814	1.014192	1.077476	1.000000
bounded@0.3	ctx-greedy-256	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7228.0	1.001620	1.321379	1.000000	1.319777	3.019962	2.980644
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	197313.0	1.002855	1.138649	1.000000	1.141177	2.236877	2.234698
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	2179.5	1.006951	1.115923	1.004387	1.116701	1.000000	1.110469
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	9624.5	1.002655	1.308838	1.000000	1.311296	2.477802	2.588262
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	197453.0	1.001131	1.140215	1.000000	1.141038	2.236381	2.237506
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	2184.0	1.003489	1.113716	1.004357	1.115476	1.000000	1.108662
bounded@0.3	ctx-lazy-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	9628.9	1.000000	1.311203	1.000263	1.308383	2.477111	2.590997
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	197406.9	1.001233	1.140081	1.000000	1.139202	2.237159	2.236600
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	1861.0	1.003399	1.105552	1.000000	1.104845	1.013677	1.108475
bounded@0.3	ctx-lazy-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	8926.6	1.001591	1.397153	1.000000	1.391717	2.724632	2.771322
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	74586.7	1.000928	1.166168	1.000000	1.161062	4.410674	2.398268
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	364.8	1.969388	1.272855	1.975051	1.272602	1.723278	1.000000
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2298.5	1.000000	1.078286	1.001591	1.064110	5.212270	3.026275
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	123532.8	1.224050	1.000000	1.218006	1.000532	3.030237	1.266752
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	230.1	2.342924	1.128978	2.370686	1.131641	2.040636	1.000000
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1128.5	1.000000	1.004590	1.003365	1.006859	3.671120	1.561990
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	66013.0	1.003198	1.341097	1.000000	1.341869	4.159400	2.634497
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	478.3	1.873609	1.332935	1.880977	1.333137	1.359406	1.000000
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2290.1	1.000000	1.068169	1.003357	1.071004	5.609419	3.714511
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	81991.5	1.102207	1.000000	1.097154	1.000593	4.196512	2.103130
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	267.8	2.276191	1.305231	2.283809	1.307575	2.079019	1.000000
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	2069.0	1.012012	1.001953	1.005245	1.000000	5.095375	2.689469
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	83762.8	1.000000	1.069970	1.003350	1.072893	3.836015	1.451568
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	431.6	1.725770	1.158302	1.735357	1.155280	1.563640	1.000000
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1400.8	1.000000	1.065745	1.015781	1.056000	2.720005	1.240219
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	147662.9	1.006351	1.001946	1.007494	1.000000	2.428357	1.061116
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	228.7	2.366036	1.155432	2.388314	1.157221	2.004035	1.000000
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	921.4	1.126557	1.003247	1.129113	1.000000	3.890384	1.700867
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	76109.3	1.000000	1.122952	1.000322	1.124400	3.597284	1.562760
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	526.6	1.800723	1.312371	1.799898	1.313501	1.349768	1.000000
bounded@0.3	dig-upto-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1510.7	1.000000	1.066666	1.041626	1.073042	2.415957	1.182842
bounded@0.3	dig-upto-4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	104038.4	1.308788	1.000601	1.307858	1.000000	3.057239	1.787249
bounded@0.3	dig-upto-4	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	259.3	2.145275	1.142809	2.145144	1.143341	1.815047	1.000000
bounded@0.3	dig-upto-4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1234.3	1.000000	1.016479	1.001271	1.020694	2.884359	1.681327
bounded@0.3	dig-upto-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	64197.5	1.575481	1.000000	1.578591	1.001916	5.158631	2.685042
bounded@0.3	dig-upto-8	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	290.3	2.136166	1.278738	2.149806	1.285308	2.056594	1.000000
bounded@0.3	dig-upto-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1088.0	1.191030	1.000000	1.215041	1.003565	3.555883	1.930563
bounded@0.3	dotted4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	66434.2	1.000255	1.317750	1.000000	1.315481	13.621860	18.893740
bounded@0.3	dotted4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	312.2	1.859399	1.000000	1.837694	1.000599	2.408324	2.279196
bounded@0.3	dotted4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	3128.5	1.000848	1.289679	1.000000	1.292599	8.193068	9.977934
bounded@0.3	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1668.5	1.002700	1.000000	1.002037	1.001444	18.923646	37.768750
bounded@0.3	floor	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	145.1	3.467834	1.498996	3.429825	1.496501	1.696000	1.000000
bounded@0.3	floor	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	441.1	1.083728	1.000213	1.082643	1.000000	2.508464	3.180900
bounded@0.3	grp-upto-1024	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	148160.6	1.443349	1.157372	1.441549	1.158570	1.667536	1.000000
bounded@0.3	grp-upto-1024	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1998.2	2.415088	2.246258	2.416943	2.245712	1.000000	1.022820
bounded@0.3	grp-upto-1024	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1108.6	1.477445	1.398899	1.474555	1.405001	1.180359	1.000000
bounded@0.3	hex32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	251829.5	1.015593	1.000000	1.017151	1.014657	2.201746	1.455833
bounded@0.3	hex32	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	542.8	1.828787	1.351060	1.819671	1.349044	1.397784	1.000000
bounded@0.3	hex32	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	2563.2	1.182259	1.013637	1.177874	1.000000	6.820758	3.940818
bounded@0.3	line-80	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	75478.1	1.001859	1.178846	1.000000	1.173447	1.047952	1.155203
bounded@0.3	line-80	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	4420.4	1.236015	1.310787	1.235137	1.309370	1.068969	1.000000
bounded@0.3	line-80	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	3426.5	1.115544	1.000000	1.145100	1.000628	5.335285	5.265001
bounded@0.3	nest2-4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	83802.0	1.000000	1.070529	1.001820	1.070764	5.620634	6.429244
bounded@0.3	nest2-4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	498.8	1.498433	1.000000	1.500232	1.000548	37.192163	38.150800
bounded@0.3	nest2-4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	1392.2	1.030095	1.066333	1.000000	1.074720	3.997533	4.577003
bounded@0.3	nest2-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	65575.3	1.000000	1.150500	1.009970	1.149114	7.276062	10.084832
bounded@0.3	nest2-64	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	2093.8	1.032137	1.072037	1.025678	1.070906	1.000000	1.055143
bounded@0.3	nest2-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1774.4	1.000000	1.059328	1.001790	1.060607	3.457016	4.499921
bounded@0.3	nest2-letters-6	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	155249.4	1.259630	1.001051	1.257952	1.000000	1.705875	1.327884
bounded@0.3	nest2-letters-6	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	920.3	1.310169	1.000000	1.311132	1.003146	2596.831284	2542.636673
bounded@0.3	nest2-letters-6	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1305.5	1.000000	1.023058	1.030143	1.023026	3.149320	3.350745
bounded@0.3	nest3-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	63053.6	1.000000	1.194779	1.056599	1.195590	12.841122	19.408960
bounded@0.3	nest3-16	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	3753.7	1.029660	1.000000	1.029473	1.006461	1.043344	1.012112
bounded@0.3	nest3-16	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	1777.7	1.000848	1.061966	1.000000	1.061399	5.691287	7.981618
bounded@0.3	nest3-3	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	77707.8	1.000092	1.113154	1.000000	1.110666	5.784354	8.493014
bounded@0.3	nest3-3	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna_cc-clang	635.6	1.399039	1.000827	1.402936	1.000000	4470.786754	4559.403931
bounded@0.3	nest3-3	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	1512.7	1.008875	1.045997	1.000000	1.047987	3.759020	5.137732
bounded@0.3	pw-8-64	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	113380.0	1.858524	1.461675	1.857916	1.465184	1.122588	1.000000
bounded@0.3	pw-8-64	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	1854.4	1.909533	1.753827	1.910890	1.754617	1.152432	1.000000
bounded@0.3	pw-8-64	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna_cc-clang	1891.8	1.555748	1.294685	1.629809	1.296326	1.190263	1.000000
bounded@0.3	year4	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna_cc-clang	96361.9	1.311181	1.000268	1.313443	1.000000	3.013840	1.371905
bounded@0.3	year4	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna_cc-clang	244.9	2.284988	1.158969	2.281237	1.163702	2.039271	1.000000
bounded@0.3	year4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1869.8	1.046856	1.000000	1.053946	1.008183	4.509582	1.932507
