# reporter: v21 (2026-09-23); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-22T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	480.3	34756.372234	1.862652	1.000000	20799.021326	20760.993408	6.162950	4.134261
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	6585253.9	2.200881	1.000000	1.143325	1.057577	1.133998	unsup	unsup
capability@0.1	phone-palindrome-6	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	7405.2	3.089909	1.005448	1.025755	1.000000	1.051729	unsup	unsup
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	221.7	18.285519	1.000000	1.003087	16601.827112	16595.664497	unsup	unsup
capability@0.1	pwd-strength-chain	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	12382.6	2.937447	1.000000	1.000131	1.167923	1.188741	unsup	unsup
capability@0.1	quoted-delim-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3862308.4	1.000000	2.609349	2.571496	2.628832	2.620301	unsup	unsup
capability@0.1	quoted-delim-match	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	7091.1	1.000000	1.600543	1.593066	1.597523	1.633535	unsup	unsup
capability@0.1	router-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1245.7	1092.840885	316.096989	316.290623	3265.969374	3265.445216	48.553102	1.000000
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	783.4	3.589336	1.002204	1.000000	5.892776	5.865245	1.670844	2.943748
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2229161.7	1.000000	2.017632	2.101845	2.021947	2.013592	unsup	unsup
capability@0.1	tag-depth3-bound	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	6577.8	1.000000	1.114429	1.057832	1.109002	1.072972	unsup	unsup
capability@0.1	tag-pair-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2227888.6	1.000000	2.087921	2.082162	2.086023	2.087750	unsup	unsup
capability@0.1	tag-pair-match	short-subject-search	plain	pcrec_25b1984f_vm-caps-simdna	5964.3	1.005224	1.008803	1.024745	1.000000	1.051995	unsup	unsup
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	15.2	48.487440	214710.156022	1.000000	214365.411432	214455.948602	5.463013	10.993133
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	427.4	29380.292597	20964.898435	1.000000	20967.458188	21090.055930	4.656253	4.359248
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	480709.1	4.233916	1.001174	1.000000	7.616844	7.622317	unsup	unsup
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1250.3	3.945068	1.000000	1.006701	3.956311	4.027977	unsup	unsup
capability@0.1	uuid-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	18.3	5.093805	1.087944	1.087064	133466.521273	151038.126217	1.000000	1.654192
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	562.0	4.968537	1.000000	1.006382	7.923609	8.466593	1.238946	1.020906
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	124.3	32115.411326	2121.964141	2120.611847	7687.834291	7704.581445	2469.366992	1.000000
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	684.3	6.795277	1.000000	1.009649	1.949154	1.862647	1.945982	3.028238
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	182624.7	35.947495	22.983803	22.978605	25.818263	25.861139	1.536013	1.000000
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	2449.4	5.494710	1.000000	1.000515	1.397183	1.367382	1.253013	1.228408
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	2447555.9	9.537528	1.000000	1.004556	4.057613	4.119293	4.330192	refused
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1415.6	8.268405	1.001418	1.000000	5.188237	5.247299	8.237152	refused
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23122.0	96.373091	1.000000	1.000519	35.241945	35.186128	1.012949	1.397728
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	662.7	6.622561	1.000000	1.003848	2.046393	1.975124	1.850913	3.082341
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23160.6	96.221353	1.000000	1.000378	169.112225	169.062388	1.017627	refused
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	735.7	6.837221	1.000000	1.017453	7.544242	7.358983	4.009991	refused
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	664.5	3205933.516904	refused	15677.150607	refused	refused	52607.147985	1.000000
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2012.7	380.713010	refused	1.000000	refused	refused	43.571409	1.866089
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	19.7	50.056192	1.671853	1.000000	216980.063229	217035.863639	15.265389	7.459252
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	589.1	19.760465	1.664843	1.000000	10.732473	10.686373	3.490846	2.747535
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	4033368.0	6.728056	1.000000	1.012128	5.788264	5.899258	unsup	unsup
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	2499.5	6.349217	1.000000	1.002753	7.318130	7.458892	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3986220.4	6.437914	1.000266	1.000000	5.860931	5.888933	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	2472.2	6.437372	1.000000	1.002207	7.275439	7.285573	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1010763.0	3.431233	1.002330	1.000000	46.313933	46.171480	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1961.3	3.211360	1.000000	1.000754	24.981283	25.060082	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	929769.2	3.511974	1.003266	1.000000	24.731153	24.768635	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1855.1	155.822960	1.003189	1.000000	61.509845	61.753765	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3989947.3	17.425320	1.000033	1.000000	10.423117	10.382407	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	3577.8	6.558142	1.053382	1.000000	11.194180	11.449180	unsup	unsup
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	2228611.9	1.000000	1.558386	1.559681	8.788417	9.040577	unsup	unsup
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	2640.9	2.019714	1.000000	1.001681	8.688383	9.246828	unsup	unsup
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	135353.4	16.032098	29.624468	31.033468	69.131727	68.923074	1.000000	2.162603
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	2100.3	3.576307	1.296951	1.173606	3.689900	3.744632	1.023998	1.000000
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	46778.6	8.856108	2.662993	2.662793	111.781405	102.100740	1.000000	1.287627
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	824.4	3.593776	2.068877	1.666745	3.819470	4.414017	2.073765	1.000000
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	111588.1	11.199477	3.056500	3.033367	42.800175	42.806862	5.783801	1.000000
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	693.8	4.857025	1.884732	1.337557	8.100393	8.271875	3.830283	1.000000
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	475300.9	10.182666	2.703100	2.695598	12.372267	12.369221	1.027314	1.000000
capability@0.1	wild-secrets-username-password-pair	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1372.6	6.564236	1.357757	1.000000	4.654268	4.802110	1.776801	1.282981
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	82113.0	16.330228	4.994899	4.979358	48.039181	48.004560	1.000000	1.865931
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	710.3	4.207141	1.000000	1.001937	6.524397	6.970135	1.892997	3.393264
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	80.8	1.872293	1355.716344	1357.519276	20688.425899	20686.927578	1.000000	2.700777
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1186.8	2.929518	1.000000	1.000228	1.808170	1.687885	1.345000	2.313344
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	243.2	411868.288016	28783.484382	15689.533999	104132.287463	106529.286048	54089.110679	1.000000
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1232.5	13.990516	2.347794	1.000000	84.432321	82.646463	10.714391	3.151587
capability@0.1	wild-validator-email-owasp	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	39.0	57222.160404	1.038256	1.000000	114878.225116	114854.502297	2.789474	5.018043
capability@0.1	wild-validator-email-owasp	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1063.7	4.937663	1.000000	1.001778	6.100646	6.033007	2.413071	2.198635
capability@0.1	wild-validator-ipv4-owasp	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	18.2	20.282862	1.766518	1.028187	234780.272005	234809.038754	1.000000	1.672315
capability@0.1	wild-validator-ipv4-owasp	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	498.6	7.196709	1.748529	1.000000	12.904304	13.258438	2.523811	1.904727
capability@0.1	wild-validator-us-zip-owasp	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	18.2	5.183119	1.664260	1.022388	196642.678414	195693.994194	1.000000	1.679990
capability@0.1	wild-validator-us-zip-owasp	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	484.6	10.330463	1.670602	1.000000	10.107816	10.531103	3.429210	2.037400
capability@0.1	wild-validator-uuid-grok	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	82553.5	29.295635	1.000129	1.000000	98.426671	98.637159	2.552680	2.947317
capability@0.1	wild-validator-uuid-grok	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	716.4	5.913353	1.009576	1.000000	9.584885	9.465758	1.736186	2.263955
capability@0.1	wild-waf-crs-942140-dbnames	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	600527.6	108.643992	6.793042	6.804292	34.763923	34.731047	4.075879	1.000000
capability@0.1	wild-waf-crs-942140-dbnames	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2702.1	16.622080	1.002521	1.000000	6.051000	6.116652	1.633789	1.298495
capability@0.1	wild-waf-crs-942160-sleep-benchmark	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	160000.2	30.959608	7.925373	7.917804	62.278447	62.445122	2.429880	1.000000
