# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=loglines, version=0.1, until=2026-09-21T03:25:46Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (13 record(s) matching this query); records: 7; subbench_versions: loglines@0.1; machines: budu-ryzen1600; schema_versions: 1.4,1.5,1.6; superseded: 6; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	rust_1.13.1_default-caps-simdna
loglines@0.1	iso-ts	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	962034.7	libpcre2_10.46_jit-caps-simdna	962034.7	pcrec_1989c62_auto-nocaps-simdna	1219070.8	63.330140	1.000000	1.267180	26.279583	26.259164	1.193800	6.071791
loglines@0.1	iso-ts	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	20688.1	libpcre2_10.46_jit-caps-simdna	20688.1	pcrec_1989c62_auto-nocaps-simdna	22275.6	115.212284	1.000000	1.076737	47.444154	47.406699	1.003882	10.013015
loglines@0.1	kv-quoted	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	210692.9	pcrec_d34c9131_auto-caps-simdna	14452342.0	rust_1.13.1_default-caps-simdna	210692.9	311.590531	71.248669	68.981571	166.750601	166.723446	68.594341	1.000000
loglines@0.1	kv-quoted	short-subject-search	plain	rust_1.13.1_default-caps-simdna	9141.7	libpcre2_10.46_jit-caps-simdna	334426.7	rust_1.13.1_default-caps-simdna	9141.7	203.752282	36.582680	56.136410	146.635415	146.574959	55.283126	1.000000
loglines@0.1	level-context	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1098535.0	libpcre2_10.46_jit-caps-simdna	3004496.5	rust_1.13.1_default-caps-simdna	1098535.0	5.482070	2.735003	10.059858	37.278974	37.281530	10.045807	1.000000
loglines@0.1	level-context	short-subject-search	plain	rust_1.13.1_default-caps-simdna	42982.6	libpcre2_10.46_jit-caps-simdna	115086.7	rust_1.13.1_default-caps-simdna	42982.6	5.014851	2.677520	7.772931	35.893193	35.899476	7.758350	1.000000
loglines@0.1	stack-frame	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	475090.8	libpcre2_10.46_jit-caps-simdna	475090.8	rust_1.13.1_default-caps-simdna	550473.1	10.626571	1.000000	3.880347	61.401997	61.528914	3.879837	1.158669
loglines@0.1	stack-frame	short-subject-search	plain	rust_1.13.1_default-caps-simdna	12891.4	libpcre2_10.46_jit-caps-simdna	17535.4	rust_1.13.1_default-caps-simdna	12891.4	16.067469	1.360246	2.467173	86.751319	86.912204	2.469433	1.000000
loglines@0.1	uuid	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	1076874.4	pcrec_d34c9131_auto-caps-simdna	1078097.8	pcrec_1989c62_auto-nocaps-simdna	1076874.4	91.487972	1.613771	1.000000	31.181485	31.165722	1.001136	5.709592
loglines@0.1	uuid	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	21181.6	pcrec_d34c9131_auto-caps-simdna	21215.1	pcrec_1989c62_auto-nocaps-simdna	21181.6	174.903605	1.682943	1.000000	60.438651	60.369098	1.001583	13.829642
