# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T18:00:00Z, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=pcrec_b1885a83_auto-caps-simdna, testee=pcrec_b1885a83_auto-nocaps-simdna, testee=pcrec_b1885a83_vm-caps-simdna, testee=pcrec_b1885a83_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_auto-nocaps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_auto-nocaps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,pcrec_b1885a83_auto-caps-simdna,pcrec_b1885a83_vm-caps-simdna,pcrec_b1885a83_vm-in-caps-simdna; no=pcrec_8d716693_auto-nocaps-simdna,pcrec_b1885a83_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	oniguruma_6.9.10_default-caps-simdna	pcrec_8d716693_auto-caps-simdna	pcrec_8d716693_auto-nocaps-simdna	pcrec_8d716693_vm-caps-simdna	pcrec_8d716693_vm-in-caps-simdna	pcrec_b1885a83_auto-caps-simdna	pcrec_b1885a83_auto-nocaps-simdna	pcrec_b1885a83_vm-caps-simdna	pcrec_b1885a83_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	469.9	pcrec_b1885a83_auto-caps-simdna	843.3	pcrec_b1885a83_auto-nocaps-simdna	469.9	12.097892	1.895201	1.089625	3.655841	4.096352	1.794643	1.000000	3.654490	4.093975	3.750608	3.976830
capability@0.1	doubled-word	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	25399374.8	pcrec_8d716693_auto-caps-simdna	25415264.8	pcrec_b1885a83_auto-nocaps-simdna	25399374.8	3.127562	1.000626	1.000573	1.001642	1.002261	1.002582	1.000000	1.004357	1.013190	unsup	unsup
capability@0.1	doubled-word	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	20820.3	pcrec_8d716693_vm-caps-simdna	20847.8	pcrec_b1885a83_auto-nocaps-simdna	20820.3	4.295938	1.001487	1.001037	1.001322	1.009718	1.003029	1.000000	1.001879	1.016703	unsup	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	23104.3	pcrec_b1885a83_auto-caps-simdna	23104.3	pcrec_b1885a83_auto-nocaps-simdna	23133.7	96.426308	1.001137	1.001747	1.001846	1.003244	1.000000	1.001274	1.005715	1.001812	unsup	unsup
capability@0.1	dup-param-detect	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	1158.2	pcrec_b1885a83_vm-caps-simdna	1158.2	pcrec_b1885a83_auto-nocaps-simdna	1163.8	7.649761	1.362491	1.358844	1.360655	1.415975	1.003019	1.004856	1.000000	1.065571	unsup	unsup
capability@0.1	email-local-nodup	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	916.4	pcrec_8d716693_vm-caps-simdna	916.4	pcrec_b1885a83_auto-nocaps-simdna	974.7	1.504138	1.062993	1.066958	1.000000	1.022022	1.061029	1.063697	1.003686	1.025947	unsup	unsup
capability@0.1	email-local-nodup	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	10535.4	pcrec_8d716693_auto-caps-simdna	10539.4	pcrec_b1885a83_auto-nocaps-simdna	10535.4	1.759391	1.000384	1.000402	1.050907	1.098740	1.000386	1.000000	1.051936	1.100557	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	107.6	pcrec_8d716693_auto-caps-simdna	23106.9	rust_1.13.1_default-caps-simdna	107.6	20699.525290	214.709032	215.005409	215.142003	214.967683	214.979963	214.958767	214.893249	215.091919	1.000000	293.999013
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	645.2	pcrec_8d716693_vm-caps-simdna	833.2	pcrec_8d716693_auto-nocaps-simdna	645.2	7.837179	1.403965	1.000000	1.291407	1.388072	1.404094	1.007434	1.294223	1.389504	6.278639	2.869849
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	24.4	pcrec_b1885a83_auto-caps-simdna	11957.9	pcrec_8d716693_auto-nocaps-simdna	24.4	720.721076	496.529220	1.000000	490.586933	491.737955	489.608001	1.023543	493.756025	504.988511	3.590106	6.952690
capability@0.1	evil-alt-nested	short-subject-search	plain							gave-up	gave-up	no-expectation	gave-up	gave-up	gave-up	no-expectation	gave-up	gave-up	no-expectation	no-expectation
capability@0.1	file-ext-order	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	46487.5	pcrec_b1885a83_vm-caps-simdna	260208.4	rust_1.13.1_default-caps-simdna	46487.5	25.385467	6.296519	6.297660	91.868765	91.808980	5.602141	5.602591	5.597380	5.603735	1.000000	1.823121
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_b1885a83_auto-caps-simdna	676.5	pcrec_b1885a83_auto-caps-simdna	676.5	pcrec_b1885a83_auto-nocaps-simdna	677.9	4.685523	1.101837	1.104689	3.795347	4.105714	1.000000	1.002174	1.242230	1.408992	2.096074	3.660816
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	1890624.0	pcrec_b1885a83_auto-caps-simdna	1890624.0	pcrec_b1885a83_auto-nocaps-simdna	1891118.8	7.063797	1.026003	1.022210	11.709621	11.678650	1.000000	1.000262	11.776828	11.785146	unsup	unsup
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1632.6	pcrec_8d716693_auto-caps-simdna	1644.0	pcrec_8d716693_auto-nocaps-simdna	1632.6	12.574792	1.006983	1.000000	3.371722	3.454849	1.011607	1.012829	3.338451	3.450394	unsup	unsup
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	23088.0	pcrec_8d716693_vm-caps-simdna	23088.0	pcrec_b1885a83_auto-nocaps-simdna	23120.0	96.562459	1.001097	1.002900	1.000000	1.002026	1.000776	1.001384	1.002159	1.001760	1.014320	1.402030
capability@0.1	floor-byte	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	598.9	pcrec_8d716693_auto-caps-simdna	599.0	pcrec_b1885a83_auto-nocaps-simdna	598.9	7.342347	1.000219	1.001961	1.108996	1.096072	1.001183	1.000000	1.142884	1.099465	2.046332	3.408575
capability@0.1	high-byte-run	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	64145.5	pcrec_8d716693_auto-caps-simdna	482837.5	vectorscan_5.4.11_block-nosom-nocaps-simd	64145.5	31.722605	7.527221	7.532739	31.725634	31.735523	7.527781	7.531163	31.720138	31.718813	38.098364	1.000000
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1095.9	pcrec_8d716693_auto-caps-simdna	1095.9	pcrec_8d716693_auto-nocaps-simdna	1116.1	4.742704	1.000000	1.018453	2.613582	2.521348	1.034744	1.024877	2.590513	2.500500	wrong	2.452565
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	17.9	pcrec_b1885a83_auto-caps-simdna	24.9	rust_1.13.1_default-caps-simdna	17.9	20.652817	1.391082	1.386981	1.585880	1.922933	1.386683	1.387481	1.584791	1.913569	1.000000	1.695317
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	626.9	pcrec_8d716693_auto-caps-simdna	626.9	pcrec_8d716693_auto-nocaps-simdna	627.0	5.476993	1.000000	1.000247	1.572642	1.629363	1.000520	1.000869	1.425334	1.811124	2.314702	1.517819
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	290.0	pcrec_8d716693_auto-caps-simdna	774694.7	vectorscan_5.4.11_block-nosom-nocaps-simd	290.0	13646.300909	2670.943090	2672.150718	14767.117330	14779.327096	4263.033153	4266.094838	15948.087559	16008.140417	1221.808976	1.000000
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	753.4	pcrec_b1885a83_auto-caps-simdna	754.9	pcrec_b1885a83_auto-nocaps-simdna	753.4	5.363394	1.064928	1.062680	3.092571	3.187083	1.002058	1.000000	1.280159	1.398807	2.140039	3.548102
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	40.3	pcrec_8d716693_auto-caps-simdna	41.5	pcrec_8d716693_auto-nocaps-simdna	40.3	2.431126	1.029113	1.000000	1.080353	1.218990	1.101353	1.071342	1.459433	1.728754	unsup	unsup
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	815.7	pcrec_b1885a83_auto-caps-simdna	830.5	pcrec_b1885a83_auto-nocaps-simdna	815.7	6.150261	1.074389	1.054083	1.025850	1.165811	1.018097	1.000000	1.055763	1.164599	unsup	unsup
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	30.0	pcrec_8d716693_vm-caps-simdna	39.0	pcrec_8d716693_auto-nocaps-simdna	30.0	3.257521	1.348026	1.000000	1.298367	1.513926	1.462155	1.187409	1.706723	1.830181	2.940847	5.381139
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	649.9	pcrec_8d716693_vm-caps-simdna	809.4	pcrec_b1885a83_auto-nocaps-simdna	649.9	7.717321	1.321190	1.016254	1.245557	1.372858	1.376430	1.000000	1.322627	1.396320	2.437291	1.823982
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_b1885a83_vm-in-caps-simdna	23101.2	pcrec_b1885a83_vm-in-caps-simdna	23101.2	pcrec_b1885a83_auto-nocaps-simdna	23115.4	96.468145	1.000561	1.001913	1.001135	1.001805	1.001855	1.000613	1.000983	1.000000	refused	1.368634
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	619.1	pcrec_8d716693_auto-caps-simdna	619.1	pcrec_8d716693_auto-nocaps-simdna	619.3	7.153191	1.000000	1.000295	1.081170	1.102847	1.001258	1.001732	1.105635	1.102336	refused	3.296237
capability@0.1	negation-scope-lookbehind-var									unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	23118.5	pcrec_b1885a83_auto-caps-simdna	23118.5	pcrec_b1885a83_auto-nocaps-simdna	23134.7	64.839050	403.447241	401.235674	404.475976	421.579034	1.000000	1.000703	1.001473	1.001334	unsup	unsup
capability@0.1	nested-comment-rec	short-subject-search	plain	pcrec_b1885a83_vm-in-caps-simdna	1110.4	pcrec_b1885a83_vm-in-caps-simdna	1110.4	pcrec_b1885a83_auto-nocaps-simdna	1624.6	4.013243	2.399731	2.394445	2.435149	2.007197	1.410270	1.463088	1.409474	1.000000	unsup	unsup
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	14.2	pcrec_8d716693_auto-caps-simdna	27.7	pcrec_b1885a83_auto-nocaps-simdna	14.2	6.628717	1.941881	1.006629	2.745905	3.216135	1.951877	1.000000	2.812037	3.204280	5.988892	11.713565
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	445.6	pcrec_8d716693_auto-caps-simdna	824.6	pcrec_b1885a83_auto-nocaps-simdna	445.6	28167.534874	1.850366	1.054779	20976.515305	20951.020576	1.901629	1.000000	20929.509163	20920.149212	5.981443	4.397764
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	14.3	pcrec_b1885a83_auto-caps-simdna	27.6	pcrec_8d716693_auto-nocaps-simdna	14.3	6.597252	1.983366	1.000000	2.737731	3.129287	1.932630	1.003479	2.832419	3.073233	6.143435	11.693994
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	454.7	pcrec_b1885a83_auto-caps-simdna	883.1	pcrec_b1885a83_auto-nocaps-simdna	454.7	36716.185730	1.999652	1.049895	22139.392127	22159.090788	1.942036	1.000000	22141.931061	22145.541015	6.510461	4.367380
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	6586599.6	pcrec_8d716693_vm-caps-simdna	6586599.6	pcrec_b1885a83_auto-nocaps-simdna	7491226.8	2.200432	1.084383	1.143944	1.000000	1.068697	1.071148	1.137344	1.087731	1.118340	unsup	unsup
capability@0.1	phone-palindrome-6	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	6999.2	pcrec_b1885a83_vm-caps-simdna	6999.2	pcrec_8d716693_auto-nocaps-simdna	7447.7	3.269139	1.004611	1.064086	1.012442	1.094311	1.070875	1.067286	1.000000	1.086344	unsup	unsup
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_b1885a83_auto-caps-simdna	220.9	pcrec_b1885a83_auto-caps-simdna	220.9	pcrec_8d716693_auto-nocaps-simdna	221.3	18.358508	1.003946	1.002133	7.415320	7.458091	1.000000	1.003160	7.417163	7.506000	unsup	unsup
capability@0.1	pwd-strength-chain	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	10781.8	pcrec_b1885a83_vm-caps-simdna	10781.8	pcrec_b1885a83_auto-nocaps-simdna	12134.8	3.373599	1.122899	1.130292	1.004641	1.020070	1.121743	1.125498	1.000000	1.023388	unsup	unsup
capability@0.1	quoted-delim-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3862308.4	oniguruma_6.9.10_default-caps-simdna	3862308.4	pcrec_b1885a83_auto-nocaps-simdna	9702831.5	1.000000	2.623326	2.535255	2.612761	2.617077	2.619111	2.512185	2.618989	2.614973	unsup	unsup
capability@0.1	quoted-delim-match	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	7091.1	oniguruma_6.9.10_default-caps-simdna	7091.1	pcrec_b1885a83_auto-nocaps-simdna	11083.1	1.000000	1.600983	1.589620	1.597708	1.624301	1.598090	1.562961	1.592789	1.637759	unsup	unsup
capability@0.1	router-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1245.7	pcrec_8d716693_auto-caps-simdna	398422.8	vectorscan_5.4.11_block-nosom-nocaps-simd	1245.7	1092.840885	319.842593	320.107012	3251.631790	3250.946480	578.385452	578.080794	3573.330375	3565.889974	48.553102	1.000000
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	712.6	pcrec_b1885a83_auto-caps-simdna	714.3	pcrec_b1885a83_auto-nocaps-simdna	712.6	3.945611	1.052847	1.054276	3.278965	3.394083	1.002279	1.000000	1.134255	1.282290	1.836691	3.235943
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	pcrec_b1885a83_auto-nocaps-simdna	23093.7	pcrec_b1885a83_auto-caps-simdna	23112.4	pcrec_b1885a83_auto-nocaps-simdna	23093.7	96.527001	1.002051	1.002861	1.003614	1.000876	1.000810	1.000000	1.001408	1.000836	unsup	unsup
capability@0.1	tag-depth3-bound	short-subject-search	plain	pcrec_b1885a83_auto-nocaps-simdna	1101.6	pcrec_b1885a83_vm-caps-simdna	1108.4	pcrec_b1885a83_auto-nocaps-simdna	1101.6	5.971046	1.981723	1.983818	1.987830	1.819819	1.006785	1.000000	1.006186	1.080659	unsup	unsup
capability@0.1	tag-pair-match	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	23116.5	pcrec_8d716693_vm-caps-simdna	23116.5	pcrec_8d716693_auto-nocaps-simdna	23159.6	96.376488	1.000502	1.001864	1.000000	1.001192	1.001865	1.002251	1.003410	1.000806	unsup	unsup
capability@0.1	tag-pair-match	short-subject-search	plain	pcrec_b1885a83_vm-caps-simdna	1131.1	pcrec_b1885a83_vm-caps-simdna	1131.1	pcrec_b1885a83_auto-nocaps-simdna	1178.6	5.300525	1.212737	1.213815	1.212517	1.316254	1.007271	1.042039	1.000000	1.073809	unsup	unsup
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	14.2	pcrec_b1885a83_auto-caps-simdna	46.8	pcrec_8d716693_auto-nocaps-simdna	14.2	51.684315	3.304855	1.000000	3.311134	4.255083	3.289816	1.000869	3.289875	4.254567	5.823200	11.717933
