# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, until=2026-09-21T03:25:59Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna; no=pcrec_334fd10e_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	rust_1.13.1_default-caps-simdna
altwide@0.2	floor	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	227.0	pcrec_d34c9131_vm-caps-simdna	238.8	rust_1.13.1_default-caps-simdna	227.0	excluded	excluded	1.658500	1.068154	1.839077	1.052096	1.000000
altwide@0.2	floor	short-subject-search	plain	pcrec_d34c9131_vm-caps-simdna	390.4	pcrec_d34c9131_vm-caps-simdna	390.4	pcrec_334fd10e_auto-nocaps-simdna	543.1	7.156872	4.324412	1.391192	1.130884	1.397308	1.000000	4.795557
altwide@0.2	nar4-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1766813.6	pcrec_d34c9131_auto-caps-simdna	1795773.5	rust_1.13.1_default-caps-simdna	1766813.6	261.797868	22.208301	1.016221	4.777421	1.016391	4.782955	1.000000
altwide@0.2	nar4-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1876.0	libpcre2_10.46_jit-caps-simdna	1876.0			1.002147	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	350.4	pcrec_d34c9131_vm-caps-simdna	350.4	pcrec_334fd10e_auto-nocaps-simdna	475.0	excluded	excluded	1.355446	1.049915	1.298530	1.000000	1.762845
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	4417.5	pcrec_d34c9131_auto-caps-simdna	4417.5	pcrec_334fd10e_auto-nocaps-simdna	4422.6	494.701594	42.326793	1.001152	5.909079	1.000000	5.862994	2.358507
altwide@0.2	nar4-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1903624.3	libpcre2_10.46_jit-caps-simdna	92376211.8	rust_1.13.1_default-caps-simdna	1903624.3	480.252544	48.526494	refused	refused	refused	refused	1.000000
altwide@0.2	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2403.4	libpcre2_10.46_interp-caps-simdna	2403.4			1.000000	1.003625	refused	refused	refused	refused	excluded
altwide@0.2	nar4-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	618.5			rust_1.13.1_default-caps-simdna	618.5	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	nar4-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10408.9	libpcre2_10.46_jit-caps-simdna	439049.6	rust_1.13.1_default-caps-simdna	10408.9	417.469159	42.180012	refused	refused	refused	refused	1.000000
altwide@0.2	nar4-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	668193.6	pcrec_d34c9131_auto-caps-simdna	1913995.2	rust_1.13.1_default-caps-simdna	668193.6	183.608178	11.376013	2.860082	12.189075	2.864432	12.155770	1.000000
altwide@0.2	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1457.2	libpcre2_10.46_interp-caps-simdna	1457.2			1.000000	1.008580	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	338.7	pcrec_d34c9131_vm-caps-simdna	338.7	pcrec_334fd10e_auto-nocaps-simdna	450.9	excluded	excluded	1.331261	1.122352	1.301738	1.000000	1.824067
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	4586.9	pcrec_d34c9131_auto-caps-simdna	4586.9	pcrec_334fd10e_auto-nocaps-simdna	4597.2	124.067448	8.187810	1.002243	5.607368	1.000000	5.631994	1.130270
altwide@0.2	pfx3-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	352675.9	libpcre2_10.46_jit-caps-simdna	352675.9	pcrec_334fd10e_auto-nocaps-simdna	365698.3	391.024560	1.000000	1.036925	8.260100	1.037706	8.594407	2.000850
altwide@0.2	pfx3-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6453.1	libpcre2_10.46_jit-caps-simdna	6453.1			1.005452	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	338.5	pcrec_d34c9131_vm-caps-simdna	338.5	pcrec_334fd10e_auto-nocaps-simdna	446.5	excluded	excluded	1.318946	1.084443	1.361786	1.000000	1.574651
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1220.7	pcrec_d34c9131_auto-caps-simdna	1220.7	pcrec_334fd10e_auto-nocaps-simdna	1223.0	463.500875	3.514246	1.001918	11.917239	1.000000	11.967165	3.154242
altwide@0.2	pfx3-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	815003.8	libpcre2_10.46_jit-caps-simdna	815003.8	rust_1.13.1_default-caps-simdna	1643790.2	335.965072	1.000000	refused	3.299794	refused	3.316772	2.016911
altwide@0.2	pfx3-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11470.2	libpcre2_10.46_interp-caps-simdna	11470.2			1.000000	1.019398	refused	excluded	refused	excluded	excluded
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	327.0	pcrec_d34c9131_vm-caps-simdna	327.0	rust_1.13.1_default-caps-simdna	532.7	excluded	excluded	refused	1.122782	refused	1.000000	1.629276
altwide@0.2	pfx3-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	7507.0	libpcre2_10.46_jit-caps-simdna	7507.0	rust_1.13.1_default-caps-simdna	10289.5	151.368261	1.000000	refused	1.870983	refused	1.910402	1.370654
altwide@0.2	s-2048	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	9651807.3	libpcre2_10.46_jit-caps-simdna	2640548102.0	rust_1.13.1_default-caps-simdna	9651807.3	1918.977310	273.580689	refused	refused	refused	refused	1.000000
altwide@0.2	s-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	403778.1	libpcre2_10.46_interp-caps-simdna	403778.1			1.000000	1.000754	refused	refused	refused	refused	excluded
altwide@0.2	s-2048	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	542.4			rust_1.13.1_default-caps-simdna	542.4	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	s-2048	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10613.5	libpcre2_10.46_jit-caps-simdna	13326644.6	rust_1.13.1_default-caps-simdna	10613.5	9083.056463	1255.637066	refused	refused	refused	refused	1.000000
altwide@0.2	s-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2157511.3	pcrec_d34c9131_auto-caps-simdna	2884926.5	rust_1.13.1_default-caps-simdna	2157511.3	1092.477205	127.900525	1.344311	7.459300	1.337155	7.444344	1.000000
altwide@0.2	s-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	55821.1	libpcre2_10.46_jit-caps-simdna	55821.1			1.000407	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	366.9	pcrec_d34c9131_vm-caps-simdna	366.9	pcrec_334fd10e_auto-nocaps-simdna	450.3	excluded	excluded	1.227291	1.050226	1.267487	1.000000	1.470151
altwide@0.2	s-256	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	8247.0	pcrec_d34c9131_auto-caps-simdna	8261.8	pcrec_334fd10e_auto-nocaps-simdna	8247.0	1481.661723	173.316784	1.000000	6.374409	1.001800	6.358018	1.280644
altwide@0.2	s-4096	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	8153400.1	libpcre2_10.46_jit-caps-simdna	18640475931.0	rust_1.13.1_default-caps-simdna	8153400.1	4542.255221	2286.221173	refused	refused	refused	refused	1.000000
altwide@0.2	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	810287.3	libpcre2_10.46_jit-caps-simdna	810287.3			1.000928	1.000000	refused	refused	refused	refused	excluded
altwide@0.2	s-4096	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	647.5			rust_1.13.1_default-caps-simdna	647.5	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	s-4096	short-subject-search	plain	rust_1.13.1_default-caps-simdna	25585.2	libpcre2_10.46_jit-caps-simdna	99118069.8	rust_1.13.1_default-caps-simdna	25585.2	7276.935778	3874.033694	refused	refused	refused	refused	1.000000
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3175770.1	pcrec_d34c9131_auto-caps-simdna	3181191.8	pcrec_334fd10e_auto-nocaps-simdna	3175770.1	1465.593117	187.429292	1.000000	5.426360	1.001707	5.434031	1.098739
altwide@0.2	s-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	106427.1	libpcre2_10.46_interp-caps-simdna	106427.1			1.000000	1.000057	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	380.6	pcrec_d34c9131_vm-caps-simdna	380.6	pcrec_334fd10e_auto-nocaps-simdna	457.8	excluded	excluded	1.202714	1.017254	1.200540	1.000000	1.430830
altwide@0.2	s-512	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	8271.4	pcrec_d34c9131_auto-caps-simdna	8275.5	pcrec_334fd10e_auto-nocaps-simdna	8271.4	2922.511999	373.227601	1.000000	7.432702	1.000501	7.301768	1.280088
altwide@0.2	sfx-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2232376.4	pcrec_d34c9131_auto-caps-simdna	2904929.1	rust_1.13.1_default-caps-simdna	2232376.4	1049.231349	107.523085	1.298311	7.348410	1.301272	7.327297	1.000000
altwide@0.2	sfx-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	8331.7	libpcre2_10.46_jit-caps-simdna	8331.7			1.008259	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	360.9	pcrec_d34c9131_vm-caps-simdna	360.9	pcrec_334fd10e_auto-nocaps-simdna	454.8	excluded	excluded	1.260138	1.061859	1.264739	1.000000	1.500583
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	8220.1	pcrec_d34c9131_auto-caps-simdna	8229.8	pcrec_334fd10e_auto-nocaps-simdna	8220.1	1208.241187	127.565885	1.000000	6.463271	1.001184	6.357077	1.252388
altwide@0.2	sfx-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	3477759.5	libpcre2_10.46_jit-caps-simdna	586414037.0	rust_1.13.1_default-caps-simdna	3477759.5	1339.619184	168.618343	refused	refused	refused	refused	1.000000
altwide@0.2	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15487.4	libpcre2_10.46_interp-caps-simdna	15487.4			1.000000	1.006240	refused	refused	refused	refused	excluded
altwide@0.2	sfx-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	542.3			rust_1.13.1_default-caps-simdna	542.3	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	sfx-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10453.3	libpcre2_10.46_jit-caps-simdna	2474779.2	rust_1.13.1_default-caps-simdna	10453.3	1881.877795	236.746317	refused	refused	refused	refused	1.000000
altwide@0.2	sfx-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	868547.5	pcrec_d34c9131_auto-caps-simdna	3129667.0	rust_1.13.1_default-caps-simdna	868547.5	703.796156	39.088542	3.600974	15.889356	3.603335	15.891175	1.000000
altwide@0.2	sfx-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2369.3	libpcre2_10.46_interp-caps-simdna	2369.3			1.000000	1.006662	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	356.3	pcrec_d34c9131_vm-caps-simdna	356.3	pcrec_334fd10e_auto-nocaps-simdna	446.6	excluded	excluded	1.253400	1.142411	1.252953	1.000000	1.508677
altwide@0.2	sfx-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	5805.1	pcrec_d34c9131_auto-caps-simdna	8100.2	rust_1.13.1_default-caps-simdna	5805.1	428.702023	29.313861	1.393590	9.659221	1.395347	9.731647	1.000000
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	501388.3	pcrec_d34c9131_auto-caps-simdna	501466.4	pcrec_334fd10e_auto-nocaps-simdna	501388.3	244.977074	18.893364	1.000000	5.243440	1.000156	5.260680	3.351261
altwide@0.2	sh1-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6280.9	libpcre2_10.46_jit-caps-simdna	6280.9			1.012695	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	340.3	pcrec_d34c9131_vm-caps-simdna	340.3	pcrec_334fd10e_auto-nocaps-simdna	443.8	excluded	excluded	1.304196	1.076401	1.320928	1.000000	1.784463
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	1502.5	pcrec_d34c9131_auto-caps-simdna	1504.4	pcrec_334fd10e_auto-nocaps-simdna	1502.5	458.165686	34.648188	1.000000	9.400498	1.001271	9.461064	6.848537
altwide@0.2	sh1-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	1724325.0	libpcre2_10.46_jit-caps-simdna	22849239.5	rust_1.13.1_default-caps-simdna	1724325.0	141.714195	13.251121	refused	refused	refused	refused	1.000000
altwide@0.2	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11146.8	libpcre2_10.46_interp-caps-simdna	11146.8			1.000000	1.005600	refused	refused	refused	refused	excluded
altwide@0.2	sh1-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	614.2			rust_1.13.1_default-caps-simdna	614.2	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	sh1-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	10296.4	libpcre2_10.46_jit-caps-simdna	127326.7	rust_1.13.1_default-caps-simdna	10296.4	131.172906	12.366111	refused	refused	refused	refused	1.000000
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	456191.1	pcrec_d34c9131_auto-caps-simdna	456608.8	pcrec_334fd10e_auto-nocaps-simdna	456191.1	71.643145	3.934460	1.000000	6.021246	1.000916	5.919319	1.729932
altwide@0.2	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2628.2	libpcre2_10.46_jit-caps-simdna	2628.2			1.001501	1.000000	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	339.5	pcrec_d34c9131_vm-caps-simdna	339.5	pcrec_334fd10e_auto-nocaps-simdna	421.9	excluded	excluded	1.242737	1.110596	1.250588	1.000000	1.782609
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	1472.8	pcrec_d34c9131_auto-caps-simdna	1477.7	pcrec_334fd10e_auto-nocaps-simdna	1472.8	124.848097	7.328773	1.000000	10.425748	1.003300	9.191715	3.040530
altwide@0.2	srt-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2264533.1	pcrec_d34c9131_auto-caps-simdna	2905766.0	rust_1.13.1_default-caps-simdna	2264533.1	1012.485130	108.351099	1.289006	7.017721	1.283163	7.043238	1.000000
altwide@0.2	srt-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	56706.2	libpcre2_10.46_jit-caps-simdna	56706.2			1.000141	1.000000	refused	excluded	refused	excluded	excluded
altwide@0.2	srt-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	382.4	pcrec_d34c9131_vm-caps-simdna	382.4	rust_1.13.1_default-caps-simdna	897.0	excluded	excluded	refused	1.065350	refused	1.000000	2.345976
altwide@0.2	srt-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7620.5	pcrec_d34c9131_auto-caps-simdna	7620.5	pcrec_334fd10e_auto-nocaps-simdna	7621.4	1373.043176	156.749122	1.000122	5.813930	1.000000	5.826439	1.562200
altwide@0.2	srt-512	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	3416422.0	libpcre2_10.46_jit-caps-simdna	585377928.0	rust_1.13.1_default-caps-simdna	3416422.0	1329.607118	171.342395	refused	refused	refused	refused	1.000000
altwide@0.2	srt-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	112185.3	libpcre2_10.46_interp-caps-simdna	112185.3			1.000000	1.002536	refused	refused	refused	refused	excluded
altwide@0.2	srt-512	match-compliance	whole-subject	rust_1.13.1_default-caps-simdna	1007.8			rust_1.13.1_default-caps-simdna	1007.8	excluded	excluded	refused	refused	refused	refused	1.000000
altwide@0.2	srt-512	short-subject-search	plain	rust_1.13.1_default-caps-simdna	12734.5	libpcre2_10.46_jit-caps-simdna	2672883.8	rust_1.13.1_default-caps-simdna	12734.5	1635.047397	209.893829	refused	refused	refused	refused	1.000000
altwide@0.2	w-1024	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	5719024.9	libpcre2_10.46_jit-caps-simdna	1193710872.0	rust_1.13.1_default-caps-simdna	5719024.9	1616.233186	208.726294	refused	refused	refused	refused	1.000000
altwide@0.2	w-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	194477.3	libpcre2_10.46_interp-caps-simdna	194477.3			1.000000	1.000965	refused	refused	refused	refused	excluded
