# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-05T08:40:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland,pcrec_334fd10e_vm-caps-simdna,pcrec_334fd10e_vm-in-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna,pcrec_334fd10e_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noisland	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_334fd10e_vm-in-caps-simdna
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1767943.9	pcrec_1989c62_auto-caps-simdna	1767943.9	pcrec_1989c62_auto-nocaps-simdna	1770709.6	261.630497	22.194103	1.000000	1.001564	1025.183400	1023.073479	1.016277	1.017399	1.015571	4.763091	4.774367
altwide@0.2	nar4-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1876.0	libpcre2_10.46_jit-caps-simdna	1876.0			1.002147	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_334fd10e_vm-in-caps-simdna	367.9	pcrec_334fd10e_vm-in-caps-simdna	367.9	pcrec_334fd10e_auto-nocaps-simdna	475.0	excluded	excluded	1.651021	1.655161	208.861874	208.751372	1.289443	1.290616	1.291006	1.026639	1.000000
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	4411.8	pcrec_334fd10e_auto-caps-simdna_noisland	4411.8	pcrec_334fd10e_auto-nocaps-simdna	4422.6	495.335062	42.380992	1.026585	1.031638	2293.733829	2294.463548	1.000266	1.000000	1.002434	5.718053	5.916645
altwide@0.2	nar4-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	92376211.8	libpcre2_10.46_jit-caps-simdna	92376211.8			9.896708	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2403.4	libpcre2_10.46_interp-caps-simdna	2403.4			1.000000	1.003625	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	439049.6	libpcre2_10.46_jit-caps-simdna	439049.6			9.897322	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1862239.7	pcrec_1989c62_auto-caps-simdna	1862239.7	pcrec_1989c62_auto-nocaps-simdna	1868974.2	65.880789	4.081848	1.000000	1.003616	81.907298	81.518006	1.025787	1.026005	1.026231	4.368959	4.373585
altwide@0.2	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1457.2	libpcre2_10.46_interp-caps-simdna	1457.2			1.000000	1.008580	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	355.1	pcrec_334fd10e_vm-caps-simdna	355.1	pcrec_334fd10e_auto-nocaps-simdna	450.9	excluded	excluded	1.676390	1.676599	20.540092	20.398550	1.257598	1.267122	1.269958	1.000000	1.070669
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	4551.2	pcrec_334fd10e_auto-caps-simdna	4551.2	pcrec_1989c62_auto-nocaps-simdna	4587.0	125.040201	8.252007	1.011657	1.007865	187.066102	185.919185	1.000000	1.005022	1.010101	5.336062	5.651333
altwide@0.2	pfx3-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	352675.9	libpcre2_10.46_jit-caps-simdna	352675.9	pcrec_334fd10e_auto-nocaps-simdna	365698.3	391.024560	1.000000	1.041804	1.042135	10.267365	10.281195	1.036758	1.036340	1.036925	8.251609	8.260100
altwide@0.2	pfx3-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6453.1	libpcre2_10.46_jit-caps-simdna	6453.1			1.005452	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	338.1	pcrec_334fd10e_vm-caps-simdna	338.1	pcrec_334fd10e_auto-nocaps-simdna	446.5	excluded	excluded	1.850297	1.849504	1.100988	1.275654	1.311690	1.316134	1.320729	1.000000	1.085909
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1219.9	pcrec_334fd10e_auto-caps-simdna_noisland	1219.9	pcrec_334fd10e_auto-nocaps-simdna	1223.0	463.792931	3.516460	1.043031	1.047053	16.583754	16.546121	1.000836	1.000000	1.002550	12.127049	11.924748
altwide@0.2	pfx3-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	815003.8	libpcre2_10.46_jit-caps-simdna	815003.8			335.965072	1.000000	refused	refused	refused	refused	refused	refused	refused	3.323605	3.299794
altwide@0.2	pfx3-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11470.2	libpcre2_10.46_interp-caps-simdna	11470.2			1.000000	1.019398	refused	refused	refused	refused	refused	refused	refused	excluded	excluded
altwide@0.2	pfx3-512	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	327.5	pcrec_334fd10e_vm-caps-simdna	327.5			excluded	excluded	refused	refused	refused	refused	refused	refused	refused	1.000000	1.120876
altwide@0.2	pfx3-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	7507.0	libpcre2_10.46_jit-caps-simdna	7507.0			151.368261	1.000000	refused	refused	refused	refused	refused	refused	refused	2.064004	1.870983
altwide@0.2	s-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2640548102.0	libpcre2_10.46_jit-caps-simdna	2640548102.0			7.014301	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	403778.1	libpcre2_10.46_interp-caps-simdna	403778.1			1.000000	1.000754	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13326644.6	libpcre2_10.46_jit-caps-simdna	13326644.6			7.233823	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2843492.1	pcrec_1989c62_auto-caps-simdna	2846056.6	pcrec_1989c62_auto-nocaps-simdna	2843492.1	828.921585	97.045051	1.000902	1.000000	715.589513	711.306168	1.016003	1.014355	1.020001	5.636200	5.659775
altwide@0.2	s-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	55821.1	libpcre2_10.46_jit-caps-simdna	55821.1			1.000407	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	371.5	pcrec_334fd10e_vm-caps-simdna	371.5	pcrec_334fd10e_auto-nocaps-simdna	450.3	excluded	excluded	1.922466	1.929370	318.723478	316.744378	1.216046	1.214733	1.212142	1.000000	1.037263
altwide@0.2	s-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8095.4	pcrec_1989c62_auto-caps-simdna	8095.4	pcrec_1989c62_auto-nocaps-simdna	8103.8	1509.405619	176.562115	1.000000	1.001035	1407.132117	1406.190054	1.019393	1.018630	1.018725	6.514182	6.493769
altwide@0.2	s-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	18640475931.0	libpcre2_10.46_jit-caps-simdna	18640475931.0			1.986796	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	810287.3	libpcre2_10.46_jit-caps-simdna	810287.3			1.000928	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-4096	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	99118069.8	libpcre2_10.46_jit-caps-simdna	99118069.8			1.878387	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	3157362.1	pcrec_1989c62_auto-caps-simdna	3180387.7	pcrec_1989c62_auto-nocaps-simdna	3157362.1	1474.137822	188.522043	1.007293	1.000000	1731.628915	1749.532704	1.007934	1.008351	1.005830	5.473454	5.457997
altwide@0.2	s-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	106427.1	libpcre2_10.46_interp-caps-simdna	106427.1			1.000000	1.000057	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_334fd10e_vm-in-caps-simdna	387.2	pcrec_334fd10e_vm-in-caps-simdna	387.2	pcrec_334fd10e_auto-nocaps-simdna	457.8	excluded	excluded	1.876089	1.877373	702.135898	701.552719	1.175847	1.177316	1.182315	1.010090	1.000000
altwide@0.2	s-512	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	8056.5	pcrec_1989c62_auto-caps-simdna	8058.0	pcrec_1989c62_auto-nocaps-simdna	8056.5	3000.453339	383.181319	1.000185	1.000000	3833.108478	4361.580517	1.027524	1.025911	1.026669	7.630828	7.630927
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2875254.4	pcrec_1989c62_auto-caps-simdna	2875254.4	pcrec_1989c62_auto-nocaps-simdna	2884588.2	814.633754	83.482003	1.000000	1.003246	709.052001	710.150799	1.011698	1.008000	1.008021	5.683143	5.705380
altwide@0.2	sfx-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	8331.7	libpcre2_10.46_jit-caps-simdna	8331.7			1.008259	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	366.9	pcrec_334fd10e_vm-caps-simdna	366.9	pcrec_334fd10e_auto-nocaps-simdna	454.8	excluded	excluded	1.907216	1.904748	315.564006	311.450954	1.220855	1.230943	1.239455	1.000000	1.044431
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8031.9	pcrec_1989c62_auto-caps-simdna	8031.9	pcrec_1989c62_auto-nocaps-simdna	8042.7	1236.555972	130.555355	1.000000	1.001351	1428.173594	1432.344273	1.023673	1.024798	1.023435	6.634912	6.614736
altwide@0.2	sfx-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	586414037.0	libpcre2_10.46_jit-caps-simdna	586414037.0			7.944682	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15487.4	libpcre2_10.46_interp-caps-simdna	15487.4			1.000000	1.006240	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2474779.2	libpcre2_10.46_jit-caps-simdna	2474779.2			7.948921	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	3108951.2	pcrec_1989c62_auto-caps-simdna	3111009.1	pcrec_1989c62_auto-nocaps-simdna	3108951.2	196.619475	10.920163	1.000662	1.000000	105.547503	105.285341	1.005085	1.005410	1.006004	4.420441	4.439008
altwide@0.2	sfx-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2369.3	libpcre2_10.46_interp-caps-simdna	2369.3			1.000000	1.006662	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	359.7	pcrec_334fd10e_vm-caps-simdna	359.7	pcrec_334fd10e_auto-nocaps-simdna	446.6	excluded	excluded	1.829318	1.828169	37.706759	37.731302	1.242111	1.244204	1.241751	1.000000	1.131794
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7929.9	pcrec_1989c62_auto-caps-simdna	7929.9	pcrec_1989c62_auto-nocaps-simdna	7958.0	313.834059	21.459399	1.000000	1.003540	232.054051	231.693232	1.020420	1.021259	1.020187	7.100759	7.071094
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	501134.0	pcrec_334fd10e_auto-caps-simdna_noisland	501134.0	pcrec_334fd10e_auto-nocaps-simdna	501388.3	245.101389	18.902952	1.003551	1.002881	130.044089	128.741822	1.001076	1.000000	1.000507	5.257316	5.246101
altwide@0.2	sh1-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6280.9	libpcre2_10.46_jit-caps-simdna	6280.9			1.012695	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	350.2	pcrec_334fd10e_vm-caps-simdna	350.2	pcrec_334fd10e_auto-nocaps-simdna	443.8	excluded	excluded	1.703033	1.708385	7.211956	7.389331	1.274988	1.263699	1.267309	1.000000	1.045957
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1501.1	pcrec_334fd10e_auto-caps-simdna_noisland	1501.1	pcrec_334fd10e_auto-nocaps-simdna	1502.5	458.575812	34.679203	1.009394	1.009785	242.283813	240.856109	1.000095	1.000000	1.000895	9.444488	9.408913
altwide@0.2	sh1-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	22849239.5	libpcre2_10.46_jit-caps-simdna	22849239.5			10.694506	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11146.8	libpcre2_10.46_interp-caps-simdna	11146.8			1.000000	1.005600	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	127326.7	libpcre2_10.46_jit-caps-simdna	127326.7			10.607450	1.000000	refused	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	455687.2	pcrec_334fd10e_auto-caps-simdna	455687.2	pcrec_1989c62_auto-nocaps-simdna	456130.0	71.722357	3.938810	1.000033	1.000972	25.648933	25.675643	1.000000	1.000999	1.001106	6.015837	6.027903
altwide@0.2	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2628.2	libpcre2_10.46_jit-caps-simdna	2628.2			1.001501	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	327.5	pcrec_334fd10e_vm-caps-simdna	327.5	pcrec_334fd10e_auto-nocaps-simdna	421.9	excluded	excluded	1.716903	1.717339	2.025123	2.329794	1.288573	1.290597	1.288239	1.000000	1.151259
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1467.8	pcrec_334fd10e_auto-caps-simdna_noisland	1467.8	pcrec_334fd10e_auto-nocaps-simdna	1472.8	125.277356	7.353971	1.017729	1.018237	44.530113	44.517975	1.008580	1.000000	1.003438	10.483812	10.461594
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	2905532.1	pcrec_334fd10e_auto-caps-simdna_noisland	2905532.1	pcrec_334fd10e_auto-nocaps-simdna	2918997.6	789.117444	84.447405	1.003664	1.006346	74.908348	75.026712	1.002208	1.000000	1.004634	5.463841	5.469518
