# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-03T10:20:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608; source: store/index.tsv (4 record(s) matching this query); records: 4; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-caps-simdna_emitcap-8388608-codecap-8388608
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	724.9	1.002174	1.000000	375.068856	378.057638
altwide@0.2	s-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	8041.3	1.002079	1.000000	3840.366278	3843.229345
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2875254.4	1.000000	1.003728	709.052001	706.541833
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	697.5	1.003307	1.000000	166.005082	165.492733
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8031.9	1.000000	1.000207	1428.173594	1422.566236
altwide@0.2	sfx-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3227731.2	refused	1.000000	refused	1717.062839
altwide@0.2	sfx-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	765.4	refused	1.000000	refused	362.431278
altwide@0.2	sfx-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	8270.2	refused	1.000000	refused	3774.536510
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3109920.4	1.000350	1.000000	105.514611	104.963210
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	657.4	1.000858	1.000000	20.630160	20.606434
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7929.9	1.000000	1.000081	232.054051	231.219170
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	502452.1	1.000919	1.000000	129.702949	129.840828
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	596.4	1.000000	1.001552	4.234772	4.240080
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	1510.4	1.003199	1.000000	240.796953	241.114959
altwide@0.2	sh1-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	557212.1	refused	1.000000	refused	291.136791
altwide@0.2	sh1-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	654.6	refused	1.000000	refused	8.900926
altwide@0.2	sh1-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	1541.3	refused	1.000000	refused	581.514982
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	455676.5	1.000056	1.000000	25.649537	25.598438
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	562.3	1.000000	1.000176	1.179521	1.180491
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1493.8	1.000000	1.002255	43.754412	43.720236
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2916178.6	1.000000	1.005269	74.634872	74.990622
altwide@0.2	srt-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	790.5	refused	1.000000	9.457835	9.448402
altwide@0.2	srt-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7948.4	1.000000	1.004197	131.733811	131.973015
altwide@0.2	srt-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4167132.3	refused	1.000000	refused	64.425382
altwide@0.2	srt-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	938.5	refused	1.000000	refused	7.311451
altwide@0.2	srt-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	14027.7	refused	1.000000	refused	90.300165
altwide@0.2	w-1024	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4516776.5	refused	1.000000	refused	3061.105264
altwide@0.2	w-1024	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	15135.2	refused	1.000000	refused	37.945478
altwide@0.2	w-1024	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	13505.9	refused	1.000000	refused	5033.442567
altwide@0.2	w-128	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3123910.3	1.000000	1.004643	256.429965	254.933229
altwide@0.2	w-128	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	886.2	1.000000	1.001055	50.799960	50.628818
altwide@0.2	w-128	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7848.4	1.000000	1.001200	511.930211	510.867986
altwide@0.2	w-192	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3112107.1	1.000000	1.004454	425.135944	427.936544
altwide@0.2	w-192	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	758.6	1.000000	1.000332	98.098845	97.355081
altwide@0.2	w-192	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7850.6	1.000000	1.001128	853.844417	851.316527
altwide@0.2	w-2048	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4934644.2	refused	1.000000	refused	7019.456457
altwide@0.2	w-2048	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	15374.1	refused	1.000000	refused	91.423544
altwide@0.2	w-2048	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	13163.1	refused	1.000000	refused	11588.623823
altwide@0.2	w-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	2925406.4	1.002347	1.000000	660.172603	660.912618
altwide@0.2	w-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	791.3	refused	1.000000	136.758290	136.979156
altwide@0.2	w-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	7964.4	1.000346	1.000000	1189.152289	1292.807573
altwide@0.2	w-384	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3070870.4	refused	1.000000	refused	1130.020772
altwide@0.2	w-384	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	909.0	refused	1.000000	refused	197.074612
altwide@0.2	w-384	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	7955.3	refused	1.000000	refused	2138.969820
altwide@0.2	w-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	4160258.3	refused	1.000000	refused	1298.765113
altwide@0.2	w-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	935.3	refused	1.000000	refused	278.162776
altwide@0.2	w-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	14033.0	refused	1.000000	refused	1895.859321
altwide@0.2	w-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3445962.6	1.000283	1.000000	89.839357	89.788487
altwide@0.2	w-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	880.3	1.000134	1.000000	18.855716	18.879661
altwide@0.2	w-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	7657.0	1.001428	1.000000	204.011230	203.643381
altwide@0.2	w-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	2230284.9	1.005187	1.000000	9.618541	9.625884
altwide@0.2	w-8	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	673.8	1.004468	1.000000	1.615478	1.625599
altwide@0.2	w-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	4659.1	1.000000	1.003304	22.983437	23.009512
altwide@0.2	w-96	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3194232.3	1.000483	1.000000	154.775703	154.776401
altwide@0.2	w-96	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	879.0	1.002386	1.000000	25.461321	25.490479
altwide@0.2	w-96	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	7837.7	1.001337	1.000000	318.935920	318.469075
altwide@0.2	wb-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	2996298.3	refused	1.000000	186.157526	185.498096
altwide@0.2	wb-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	812.6	refused	1.000000	41.304968	41.544081
altwide@0.2	wb-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	9900.3	refused	1.000000	322.077986	324.683693
altwide@0.2	wb-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	3065317.3	refused	1.000000	refused	503.438397
altwide@0.2	wb-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	717.2	refused	1.000000	refused	116.447960
altwide@0.2	wb-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_emitcap-8388608-codecap-8388608	9973.8	refused	1.000000	refused	889.097676
