# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-03T03:50:00Z, until=2026-09-03T10:20:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
altwide@0.2	floor	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	436.0	6.408662	3.872320	1.250906	1.248321	1.000000	1.099145
altwide@0.2	nar4-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1767943.9	261.630497	22.194103	1.000000	1.001564	1025.183400	1023.073479
altwide@0.2	nar4-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1876.0	1.002147	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	nar4-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	607.5	excluded	excluded	1.000000	1.002508	126.504700	126.437770
altwide@0.2	nar4-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	4529.1	482.507653	41.283476	1.000000	1.004922	2234.334313	2235.045135
altwide@0.2	nar4-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	92376211.8	9.896708	1.000000	refused	refused	refused	refused
altwide@0.2	nar4-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2403.4	1.000000	1.003625	refused	refused	refused	refused
altwide@0.2	nar4-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	439049.6	9.897322	1.000000	refused	refused	refused	refused
altwide@0.2	nar4-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1862239.7	65.880789	4.081848	1.000000	1.003616	81.907298	81.518006
altwide@0.2	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1457.2	1.000000	1.008580	excluded	excluded	excluded	excluded
altwide@0.2	nar4-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	595.3	excluded	excluded	1.000000	1.000124	12.252571	12.168138
altwide@0.2	nar4-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	4587.0	124.064477	8.187614	1.003763	1.000000	185.606372	184.468404
altwide@0.2	pfx3-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	352675.9	391.024560	1.000000	1.041804	1.042135	10.267365	10.281195
altwide@0.2	pfx3-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6453.1	1.005452	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	372.2	excluded	excluded	1.680578	1.679858	1.000000	1.158644
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1272.4	444.658721	3.371385	1.000000	1.003856	15.899576	15.863496
altwide@0.2	pfx3-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	815003.8	335.965072	1.000000	refused	refused	refused	refused
altwide@0.2	pfx3-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11470.2	1.000000	1.019398	refused	refused	refused	refused
altwide@0.2	pfx3-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	7507.0	151.368261	1.000000	refused	refused	refused	refused
altwide@0.2	s-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2640548102.0	7.014301	1.000000	refused	refused	refused	refused
altwide@0.2	s-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	403778.1	1.000000	1.000754	refused	refused	refused	refused
altwide@0.2	s-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13326644.6	7.233823	1.000000	refused	refused	refused	refused
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2843492.1	828.921585	97.045051	1.000902	1.000000	715.589513	711.306168
altwide@0.2	s-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	55821.1	1.000407	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	714.2	excluded	excluded	1.000000	1.003591	165.788879	164.759420
altwide@0.2	s-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8095.4	1509.405619	176.562115	1.000000	1.001035	1407.132117	1406.190054
altwide@0.2	s-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	18640475931.0	1.986796	1.000000	refused	refused	refused	refused
altwide@0.2	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	810287.3	1.000928	1.000000	refused	refused	refused	refused
altwide@0.2	s-4096	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	99118069.8	1.878387	1.000000	refused	refused	refused	refused
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	3157362.1	1474.137822	188.522043	1.007293	1.000000	1731.628915	1749.532704
altwide@0.2	s-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	106427.1	1.000000	1.000057	excluded	excluded	excluded	excluded
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	726.4	excluded	excluded	1.000000	1.000684	374.255140	373.944292
altwide@0.2	s-512	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	8056.5	3000.453339	383.181319	1.000185	1.000000	3833.108478	4361.580517
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2875254.4	814.633754	83.482003	1.000000	1.003246	709.052001	710.150799
altwide@0.2	sfx-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	8331.7	1.008259	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	698.9	excluded	excluded	1.001295	1.000000	165.672289	163.512921
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8031.9	1236.555972	130.555355	1.000000	1.001351	1428.173594	1432.344273
altwide@0.2	sfx-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	586414037.0	7.944682	1.000000	refused	refused	refused	refused
altwide@0.2	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15487.4	1.000000	1.006240	refused	refused	refused	refused
altwide@0.2	sfx-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2474779.2	7.948921	1.000000	refused	refused	refused	refused
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	3108951.2	196.619475	10.920163	1.000662	1.000000	105.547503	105.285341
altwide@0.2	sfx-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2369.3	1.000000	1.006662	excluded	excluded	excluded	excluded
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	657.5	excluded	excluded	1.000628	1.000000	20.625428	20.638853
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7929.9	313.834059	21.459399	1.000000	1.003540	232.054051	231.693232
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	502577.7	244.397323	18.848652	1.000669	1.000000	129.670531	128.372005
altwide@0.2	sh1-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6280.9	1.012695	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	596.4	excluded	excluded	1.000000	1.003142	4.234772	4.338925
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1515.2	454.308063	34.356460	1.000000	1.000387	240.028992	238.614575
altwide@0.2	sh1-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	22849239.5	10.694506	1.000000	refused	refused	refused	refused
altwide@0.2	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11146.8	1.000000	1.005600	refused	refused	refused	refused
altwide@0.2	sh1-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	127326.7	10.607450	1.000000	refused	refused	refused	refused
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	455702.2	71.719997	3.938681	1.000000	1.000939	25.648089	25.674798
altwide@0.2	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2628.2	1.001501	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	562.3	excluded	excluded	1.000000	1.000254	1.179521	1.356975
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1493.8	123.095063	7.225867	1.000000	1.000500	43.754412	43.742486
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	2916178.6	786.236523	84.139104	1.000000	1.002672	74.634872	74.752803
altwide@0.2	srt-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	56706.2	1.000141	1.000000	refused	refused	excluded	excluded
altwide@0.2	srt-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	7476.4	excluded	excluded	refused	refused	1.000000	1.037050
altwide@0.2	srt-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7948.4	1316.393949	150.281942	1.000000	1.000628	131.733811	131.654208
altwide@0.2	srt-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	585377928.0	7.759942	1.000000	refused	refused	refused	refused
altwide@0.2	srt-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	112185.3	1.000000	1.002536	refused	refused	refused	refused
altwide@0.2	srt-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2672883.8	7.789878	1.000000	refused	refused	refused	refused
altwide@0.2	w-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1193710872.0	7.743314	1.000000	refused	refused	refused	refused
altwide@0.2	w-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	194477.3	1.000000	1.000965	refused	refused	refused	refused
altwide@0.2	w-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5097629.2	7.913849	1.000000	refused	refused	refused	refused
altwide@0.2	w-128	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3123910.3	368.982656	26.840546	1.000000	1.002822	256.429965	254.950596
altwide@0.2	w-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	27694.0	1.000222	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	w-128	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	886.2	excluded	excluded	1.000000	1.001450	50.799960	50.762227
altwide@0.2	w-128	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7848.4	680.311539	51.313523	1.000000	1.000557	511.930211	511.695219
altwide@0.2	w-192	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3112107.1	553.318969	53.371190	1.000000	1.000632	425.135944	425.485654
altwide@0.2	w-192	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	40106.0	1.000098	1.000000	excluded	excluded	excluded	excluded
altwide@0.2	w-192	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	758.1	excluded	excluded	1.000599	1.000000	98.157624	98.154133
altwide@0.2	w-192	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7850.6	1010.553187	101.236866	1.000000	1.001106	853.844417	853.060334
altwide@0.2	w-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	3096624395.0	5.969307	1.000000	refused	refused	refused	refused
altwide@0.2	w-2048	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	377102.2	1.001027	1.000000	refused	refused	refused	refused
altwide@0.2	w-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	11547658.0	6.480261	1.000000	refused	refused	refused	refused
altwide@0.2	w-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2931532.7	800.520052	81.334315	1.000252	1.000000	658.792978	656.147108
altwide@0.2	w-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	53454.8	1.005552	1.000000	refused	refused	excluded	excluded
altwide@0.2	w-256	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	106606.3	excluded	excluded	refused	refused	1.015107	1.000000
altwide@0.2	w-256	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7956.1	1339.662793	144.060386	1.001394	1.000000	1190.397415	1187.350111
altwide@0.2	w-384	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	411250824.0	8.491193	1.000000	refused	refused	refused	refused
altwide@0.2	w-384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	76997.9	1.000931	1.000000	refused	refused	refused	refused
altwide@0.2	w-384	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	1893000.1	8.389064	1.000000	refused	refused	refused	refused
altwide@0.2	w-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	588053816.0	7.906003	1.000000	refused	refused	refused	refused
altwide@0.2	w-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	102346.8	1.000000	1.002173	refused	refused	refused	refused
altwide@0.2	w-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2687414.0	7.866578	1.000000	refused	refused	refused	refused
altwide@0.2	w-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3446936.3	164.465619	9.839818	1.000000	1.000463	89.813978	89.598593
altwide@0.2	w-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15229.1	1.000000	1.000350	excluded	excluded	excluded	excluded
altwide@0.2	w-64	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	880.4	excluded	excluded	1.000008	1.000000	18.853343	18.407287
altwide@0.2	w-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7667.5	345.734144	21.343798	1.000061	1.000000	203.732700	202.023478
altwide@0.2	w-8	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2236472.6	12.856805	1.473952	1.002406	1.000000	9.591929	9.606110
altwide@0.2	w-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2991.2	1.000000	1.004107	excluded	excluded	excluded	excluded
altwide@0.2	w-8	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	671.8	excluded	excluded	1.007427	1.000000	1.620237	1.773535
altwide@0.2	w-8	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	4638.9	29.189493	2.450992	1.004341	1.000000	23.083210	23.104286
altwide@0.2	w-96	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3195775.5	270.788913	23.809764	1.000000	1.000706	154.700967	155.053586
altwide@0.2	w-96	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	21495.5	1.000000	1.001735	excluded	excluded	excluded	excluded
altwide@0.2	w-96	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	881.1	excluded	excluded	1.000000	1.000580	25.400718	25.392482
altwide@0.2	w-96	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7848.2	513.813102	44.506781	1.000000	1.001402	318.510096	318.058427
altwide@0.2	wb-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	37693606.0	9.894743	1.000000	refused	refused	14.797828	14.758439
altwide@0.2	wb-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	57664.5	1.000732	1.000000	refused	refused	excluded	excluded
altwide@0.2	wb-256	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	33487.6	excluded	excluded	refused	refused	1.002256	1.000000
altwide@0.2	wb-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	207507.3	9.814852	1.000000	refused	refused	15.366568	15.432334
altwide@0.2	wb-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	88537138.3	7.995745	1.000000	refused	refused	refused	refused
altwide@0.2	wb-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	102631.9	1.043108	1.000000	refused	refused	refused	refused
altwide@0.2	wb-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	479750.9	8.476544	1.000000	refused	refused	refused	refused
