# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, until=2026-09-21T03:25:52Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_288d505_auto-nocaps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; no=pcrec_288d505_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_288d505_auto-nocaps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	137216.9	pcrec_d34c9131_auto-caps-simdna	137216.9	pcrec_288d505_auto-nocaps-simdna	169154.9	16.287544	6.451720	1.232756	1.000000	1.362759	1.404866	9.752994
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5471.1	libpcre2_10.46_jit-caps-simdna	5471.1			1.011759	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	984.6	pcrec_d34c9131_vm-caps-simdna	984.6	pcrec_288d505_auto-nocaps-simdna	2055.1	excluded	excluded	2.087131	2.090008	1.000000	1.006955	2.840315
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	852.4	pcrec_d34c9131_auto-caps-simdna	852.4	pcrec_288d505_auto-nocaps-simdna	898.6	6.579470	2.689266	1.054119	1.000000	1.130359	1.114035	14.430325
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	168075.9	pcrec_d34c9131_auto-caps-simdna	168075.9	pcrec_288d505_auto-nocaps-simdna	201237.7	16.218660	5.952391	1.197303	1.000000	1.385878	1.339898	9.255146
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4744.2	libpcre2_10.46_jit-caps-simdna	4744.2			1.005442	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	490.6	pcrec_d34c9131_vm-in-caps-simdna	490.6	pcrec_288d505_auto-nocaps-simdna	708.1	excluded	excluded	1.443235	1.447974	1.120664	1.000000	1.944110
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	509.2	pcrec_d34c9131_auto-caps-simdna	509.2	pcrec_288d505_auto-nocaps-simdna	591.7	9.977735	3.951806	1.161986	1.000000	1.312841	1.279558	14.764471
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	123893.5	pcrec_d34c9131_auto-caps-simdna	123893.5	pcrec_288d505_auto-nocaps-simdna	154119.1	17.491285	6.584542	1.243964	1.000000	1.392693	1.440522	28.065277
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6965.9	libpcre2_10.46_interp-caps-simdna	6965.9			1.000000	1.007866	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_288d505_auto-nocaps-simdna	2028.9	excluded	excluded	1.109154	1.022096	1.020468	1.000000	5.819325
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1000.1	pcrec_d34c9131_auto-caps-simdna	1000.1	pcrec_288d505_auto-nocaps-simdna	1047.9	5.834160	2.531725	1.047781	1.000000	1.115951	1.100383	14.891043
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124679.0	pcrec_d34c9131_auto-caps-simdna	124679.0	pcrec_288d505_auto-nocaps-simdna	155040.0	17.362449	6.866765	1.243513	1.000000	1.389563	1.435856	11.781672
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6915.4	libpcre2_10.46_interp-caps-simdna	6915.4			1.000000	1.006451	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.3	pcrec_d34c9131_vm-in-caps-simdna	1830.3	rust_1.13.1_default-caps-simdna	10627.3	excluded	excluded	6.797332	6.786363	1.021371	1.000000	5.806361
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	998.6	pcrec_d34c9131_auto-caps-simdna	998.6	pcrec_288d505_auto-nocaps-simdna	1045.5	5.843209	2.560885	1.046907	1.000000	1.114271	1.101404	14.863892
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	136455.6	pcrec_d34c9131_auto-caps-simdna	136455.6	pcrec_288d505_auto-nocaps-simdna	161284.9	16.132805	6.081133	1.181959	1.000000	1.316212	1.360343	9.684711
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5945.3	libpcre2_10.46_jit-caps-simdna	5945.3			1.009441	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1247.2	pcrec_d34c9131_vm-in-caps-simdna	1247.2	pcrec_288d505_auto-nocaps-simdna	2982.7	excluded	excluded	2.391460	2.397059	1.067458	1.000000	3.144879
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	999.3	pcrec_d34c9131_auto-caps-simdna	999.3	pcrec_288d505_auto-nocaps-simdna	1048.1	5.837032	2.490066	1.048863	1.000000	1.116242	1.101869	14.856504
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	158768.1	pcrec_d34c9131_auto-caps-simdna	158768.1	pcrec_288d505_auto-nocaps-simdna	177865.8	15.497020	6.040531	1.120286	1.000000	1.145328	1.231529	9.359172
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4947.6	libpcre2_10.46_jit-caps-simdna	4947.6			1.000575	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	517.6	pcrec_d34c9131_vm-in-caps-simdna	517.6	pcrec_288d505_auto-nocaps-simdna	959.1	excluded	excluded	1.853056	1.883148	1.097680	1.000000	2.573467
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	588.7	pcrec_d34c9131_auto-caps-simdna	588.7	pcrec_288d505_auto-nocaps-simdna	657.5	9.037428	3.514201	1.116949	1.000000	1.161579	1.150839	15.200565
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	172341.9	pcrec_d34c9131_auto-caps-simdna	172341.9	pcrec_288d505_auto-nocaps-simdna	245474.8	12.561662	4.966839	1.424348	1.000000	1.000605	1.034313	71.476558
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6904.7	libpcre2_10.46_interp-caps-simdna	6904.7			1.000000	1.011662	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.0	pcrec_d34c9131_vm-in-caps-simdna	1830.0	pcrec_288d505_auto-nocaps-simdna	2033.9	excluded	excluded	1.111411	1.020535	1.019443	1.000000	5.838242
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	1100.6	pcrec_d34c9131_vm-in-caps-simdna	1100.6	pcrec_288d505_auto-nocaps-simdna	1291.8	5.295085	2.355671	1.173701	1.013352	1.012301	1.000000	13.554096
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	200381.7	pcrec_d34c9131_auto-caps-simdna	200381.7	pcrec_288d505_auto-nocaps-simdna	319338.3	21.169156	8.248414	1.593650	1.000000	1.428291	1.543692	11.786965
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4515.9	libpcre2_10.46_jit-caps-simdna	4515.9			1.005080	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	378.3	pcrec_d34c9131_vm-in-caps-simdna	378.3	rust_1.13.1_default-caps-simdna	466.3	excluded	excluded	1.440340	1.425168	1.178899	1.000000	1.232486
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	463.0	pcrec_d34c9131_auto-caps-simdna	463.0	pcrec_288d505_auto-nocaps-simdna	527.9	10.810700	4.349753	1.140200	1.000000	1.151422	1.192124	13.973261
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124214.1	pcrec_d34c9131_auto-caps-simdna	124214.1	pcrec_288d505_auto-nocaps-simdna	154629.1	17.364066	6.390989	1.244860	1.000000	1.393815	1.444927	14.919265
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6926.4	libpcre2_10.46_jit-caps-simdna	6926.4			1.000178	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.8	pcrec_d34c9131_vm-in-caps-simdna	1829.8	rust_1.13.1_default-caps-simdna	10693.7	excluded	excluded	6.792336	6.792794	1.021953	1.000000	5.844183
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	998.3	pcrec_d34c9131_auto-caps-simdna	998.3	pcrec_288d505_auto-nocaps-simdna	1044.8	5.823478	2.468954	1.046584	1.000000	1.117055	1.101250	14.900460
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	128276.4	pcrec_d34c9131_auto-caps-simdna	128276.4	pcrec_288d505_auto-nocaps-simdna	157653.9	17.046139	6.747338	1.229018	1.000000	1.372760	1.418640	10.319889
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6444.9	libpcre2_10.46_interp-caps-simdna	6444.9			1.000000	1.001897	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1547.5	pcrec_d34c9131_vm-in-caps-simdna	1547.5	pcrec_288d505_auto-nocaps-simdna	3893.1	excluded	excluded	2.515773	2.522632	1.020555	1.000000	4.439474
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1000.1	pcrec_d34c9131_auto-caps-simdna	1000.1	pcrec_288d505_auto-nocaps-simdna	1047.1	5.810820	2.526870	1.046999	1.000000	1.112867	1.100480	14.943979
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	159940.1	pcrec_d34c9131_auto-caps-simdna	159940.1	pcrec_288d505_auto-nocaps-simdna	183422.1	14.471057	5.716897	1.146818	1.000000	1.205199	1.283197	8.664304
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5210.2	libpcre2_10.46_jit-caps-simdna	5210.2			1.000119	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	749.8	pcrec_d34c9131_vm-in-caps-simdna	749.8	pcrec_288d505_auto-nocaps-simdna	1483.7	excluded	excluded	1.978717	1.977924	1.061074	1.000000	2.923802
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	720.8	pcrec_d34c9131_auto-caps-simdna	720.8	pcrec_288d505_auto-nocaps-simdna	792.5	7.474966	3.144895	1.099484	1.000000	1.140869	1.139272	14.326854
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	172330.8	pcrec_d34c9131_vm-caps-simdna	172330.8	rust_1.13.1_default-caps-simdna	10032032.9	12.571174	4.605810	refused	refused	1.000000	1.035721	58.213805
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6928.7	libpcre2_10.46_jit-caps-simdna	6928.7			1.004070	1.000000	refused	refused	excluded	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	pcrec_d34c9131_vm-in-caps-simdna	1829.2	rust_1.13.1_default-caps-simdna	191613.5	excluded	excluded	refused	refused	1.024801	1.000000	104.752352
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	1100.7	pcrec_d34c9131_vm-in-caps-simdna	1100.7	rust_1.13.1_default-caps-simdna	150930.9	5.286269	2.284391	refused	refused	1.013468	1.000000	137.127462
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	174964.6	pcrec_d34c9131_auto-caps-simdna	174964.6	pcrec_288d505_auto-nocaps-simdna	236727.9	18.652912	6.840225	1.353005	1.000000	1.451660	1.498930	10.459122
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4617.5	libpcre2_10.46_jit-caps-simdna	4617.5			1.002562	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	432.2	pcrec_d34c9131_vm-in-caps-simdna	432.2	pcrec_288d505_auto-nocaps-simdna	591.0	excluded	excluded	1.367436	1.359773	1.227311	1.000000	1.589943
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	478.1	pcrec_d34c9131_auto-caps-simdna	478.1	pcrec_288d505_auto-nocaps-simdna	545.3	10.556632	4.237036	1.140362	1.000000	1.298224	1.248473	14.421110
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124040.2	pcrec_d34c9131_auto-caps-simdna	124040.2	pcrec_288d505_auto-nocaps-simdna	154193.3	17.503534	6.414427	1.243092	1.000000	1.391109	1.439914	18.843448
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6946.9	libpcre2_10.46_interp-caps-simdna	6946.9			1.000000	1.000086	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1828.8	pcrec_d34c9131_vm-in-caps-simdna	1828.8	rust_1.13.1_default-caps-simdna	10673.4	excluded	excluded	6.794434	1.023205	1.023793	1.000000	5.836448
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	999.4	pcrec_d34c9131_auto-caps-simdna	999.4	pcrec_288d505_auto-nocaps-simdna	1046.6	5.840745	2.495557	1.047229	1.000000	1.115265	1.100846	14.883779
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	1672.5	pcrec_d34c9131_auto-caps-simdna	1673.3	pcrec_288d505_auto-nocaps-simdna	1672.5	1.080684	1.977694	1.000000	1.000476	10686.778933	10695.724736	113.918773
bounded@0.3	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2282.9	libpcre2_10.46_jit-caps-simdna	2282.9			1.007839	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_288d505_auto-nocaps-simdna	1986.4	pcrec_d34c9131_auto-caps-simdna	1991.9	pcrec_288d505_auto-nocaps-simdna	1986.4	excluded	excluded	1.000000	1.002766	2.869873	2.910387	1.473987
bounded@0.3	csv5	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	943.9	pcrec_d34c9131_auto-caps-simdna	989.6	pcrec_288d505_auto-nocaps-simdna	943.9	22.052200	6.419179	1.000000	1.048433	381.455756	381.692685	8.583819
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22174.2	libpcre2_10.46_jit-caps-simdna	105418.0	rust_1.13.1_default-caps-simdna	22174.2	25.024846	4.754079	9.026856	8.940606	19.921605	19.915254	1.000000
bounded@0.3	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2543.8	libpcre2_10.46_jit-caps-simdna	2543.8			1.003223	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	638.5	pcrec_d34c9131_vm-caps-simdna	638.5	pcrec_288d505_auto-nocaps-simdna	988.6	excluded	excluded	1.548146	1.000318	1.000000	1.162089	2.755425
bounded@0.3	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5066.3	libpcre2_10.46_jit-caps-simdna	5066.3	pcrec_288d505_auto-nocaps-simdna	7183.8	4.704489	1.000000	1.417958	1.431262	3.323502	3.356639	1.621800
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22705.6	libpcre2_10.46_jit-caps-simdna	104268.7	rust_1.13.1_default-caps-simdna	22705.6	24.487128	4.592200	8.690829	8.832499	16.898621	16.906743	1.000000
bounded@0.3	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	7552.4	libpcre2_10.46_jit-caps-simdna	7552.4			1.000332	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_d34c9131_auto-caps-simdna	1433.2	pcrec_d34c9131_auto-caps-simdna	1433.2	rust_1.13.1_default-caps-simdna	1751.0	excluded	excluded	1.515026	1.000000	1.008822	1.044995	1.221778
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6200.2	libpcre2_10.46_jit-caps-simdna	6200.2	rust_1.13.1_default-caps-simdna	8000.2	5.831632	1.000000	1.552984	1.424552	2.722228	2.725916	1.290309
