# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, machine=budu-ryzen1600, since=2026-09-17T00:00:00Z, until=2026-09-17T08:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_a770139e_auto-caps-simdna, testee=pcrec_a770139e_auto-nocaps-simdna, testee=pcrec_a770139e_vm-caps-simdna, testee=pcrec_a770139e_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 7; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_a770139e_auto-caps-simdna,pcrec_a770139e_auto-nocaps-simdna,pcrec_a770139e_vm-caps-simdna,pcrec_a770139e_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_a770139e_auto-caps-simdna	pcrec_a770139e_auto-nocaps-simdna	pcrec_a770139e_vm-caps-simdna	pcrec_a770139e_vm-in-caps-simdna
capability@0.1	router-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91706.5	23.798981	24.350659	1.000000	4.293633	4.292323	44.284793	44.321040
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	779.5	wrong	4.750445	3.621156	1.002148	1.000000	5.923599	5.800071
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23238.0	1.000618	1.000000	1.728957	193.369002	201.552953	193.417261	193.276434
capability@0.1	tag-depth3-bound	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3585.2	gave-up	1.994892	1.000000	2.002147	1.944022	1.995904	1.924074
capability@0.1	tag-pair-match	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23229.8	unsup	1.000000	1.721666	199.916369	199.474751	200.210732	200.198794
capability@0.1	tag-pair-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3274.2	unsup	1.326656	1.000000	1.844048	1.872091	1.833364	1.918472
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	15.2	16.685950	23.446038	8.348466	214355.916047	1.000000	214296.405343	214157.688663
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	427.8	31.878905	79224.860001	7924.930950	20956.137082	1.000000	20931.390627	21030.322435
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	480467.4	2.117129	2.116744	1.000055	1.000000	1.000565	7.621050	7.626100
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1251.0	2.494347	2.765417	2.735687	1.000000	1.000569	3.951642	4.045263
capability@0.1	uuid-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	20.0	8.393509	7.742786	5.868712	1.000000	1.007777	122516.803300	122098.919633
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	560.7	5.650805	5.047559	5.010207	1.005122	1.000000	8.142540	8.414092
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	263510.2	2.922748	3.230364	1.499697	1.000414	1.000000	3.625382	3.624691
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	689.8	3.474388	4.081140	4.040425	1.029667	1.000000	1.931946	1.850755
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1983449.3	3.129551	3.593915	1.000000	2.115878	2.116980	2.381268	2.379963
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2446.9	2.892789	3.132222	1.397793	1.000000	1.002755	1.398456	1.383419
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	2456363.4	8.894686	7.679106	1.822588	1.003792	1.000000	4.055131	4.093434
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1411.5	8.817996	7.045113	2.597746	1.002862	1.000000	5.191168	5.266948
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	23152.7	1.005828	1.003325	2.239491	1.000000	1.000859	35.165620	35.183549
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	662.8	3.455237	4.100109	4.525554	1.026689	1.000000	2.047503	1.960506
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	23146.1	1.008549	1.002951	1.737555	1.000000	1.000723	169.245459	169.182980
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	727.5	3.902411	4.325883	3.911770	1.000000	1.022179	7.291803	7.678072
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	10425108.0	963.669150	433.077630	24.858333	refused	1.000000	refused	refused
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	2018.8	1960.812839	867.329348	43.692014	refused	1.000000	refused	refused
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	19.8	5.887546	4.937364	8.832200	1.670906	1.000000	216021.633531	216458.267573
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	592.4	6.405899	5.967883	5.509037	1.657574	1.000000	10.675650	10.675616
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	4022098.6	6.789028	4.924552	1.183566	1.002074	1.000000	5.794930	5.883933
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2509.7	6.548477	4.753644	1.692515	1.000000	1.005772	7.297219	7.422060
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	3984108.3	5.582751	5.187909	1.201725	1.001589	1.000000	5.824596	5.876847
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2476.4	5.602606	4.928963	1.674498	1.000000	1.032161	7.230454	7.287616
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	1008804.3	3.819671	2.052966	1.437165	1.000000	1.000407	46.328364	46.246147
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1954.2	wrong	2.526952	2.141550	1.000000	1.002232	25.058069	25.150352
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	928957.6	9.468595	2.273503	1.552368	1.002423	1.000000	24.882984	24.791527
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1850.7	8.079412	564.868869	56.666701	1.000000	1.000666	61.695605	61.825673
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	3987494.3	7.571325	18.478045	1.584831	1.000374	1.000000	10.100996	10.044246
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	3586.5	1.988648	2.546831	2.489645	1.046347	1.000000	10.728938	10.739639
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23249.3	1.003827	1.000000	126.780814	149.257653	149.324046	841.476866	878.613792
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2643.9	2.197632	1.508921	1.249401	1.000000	1.000936	8.687593	8.965685
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91325.3	2.320079	2.386075	1.000000	43.901815	46.053701	102.315063	102.003294
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	2470.7	1.725285	1.841406	1.419513	1.104202	1.000000	3.129789	3.208281
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	98609.1	10.584512	10.923236	1.000000	1.263132	1.262716	53.034886	48.384194
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1377.9	2.450879	2.176744	2.258181	1.242711	1.000000	2.282779	2.651567
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51806.5	35.643931	34.281775	1.000000	6.584896	6.531006	92.518000	92.453054
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	927.7	4.265093	5.191166	3.327668	1.405908	1.000000	6.047836	6.184605
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23276.3	1.002165	1.000000	5.764118	55.360160	55.068466	252.735377	252.823439
capability@0.1	wild-secrets-username-password-pair	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1367.6	2.804796	3.544111	2.435228	1.374658	1.000000	4.675170	4.788593
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	128335.2	12.363707	12.808796	1.000000	3.186766	3.192066	30.730451	30.722575
capability@0.1	wild-semdiv-altorder-foo-foobar-rustregex	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	709.5	4.330070	4.324027	4.253464	1.000000	1.003555	6.485766	6.768890
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51579.8	50.558428	52.789601	1.000000	2.125114	2.124892	32.418332	32.435765
capability@0.1	wild-semdiv-dollar-trailing-newline-pcre2	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1184.5	2.994089	3.179114	2.473670	1.000000	1.001466	1.805282	1.701374
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	3803399.2	7.401992	12.276484	2.766047	1.841042	1.000000	6.673415	6.825509
capability@0.1	wild-semdiv-empty-alt-repeat-pcre2	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1235.2	97.108871	173.968166	18.161296	2.348060	1.000000	84.383429	82.488697
capability@0.1	wild-validator-email-owasp	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	38.5	18.048816	13.183686	4.268611	1.004899	1.000000	116286.579055	116269.003929
capability@0.1	wild-validator-email-owasp	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1058.6	6.839414	5.698179	3.092009	1.004595	1.000000	6.127411	6.074242
capability@0.1	wild-validator-ipv4-owasp	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	18.9	4.354789	5.180466	7.746003	1.697913	1.000000	226273.040553	226106.502433
capability@0.1	wild-validator-ipv4-owasp	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	500.2	5.409299	6.389281	6.633978	1.743039	1.000000	12.806185	13.429915
capability@0.1	wild-validator-us-zip-owasp	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	18.0	4.470637	5.211401	6.792148	1.682787	1.000000	197661.707723	197254.915390
capability@0.1	wild-validator-us-zip-owasp	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	485.4	6.907841	6.546009	6.343315	1.665379	1.000000	10.082702	10.563248
capability@0.1	wild-validator-uuid-grok	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	82442.8	347.480027	316.838417	1.632382	1.001838	1.000000	98.724282	98.526603
capability@0.1	wild-validator-uuid-grok	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	712.6	4.783999	4.136572	4.059558	1.011546	1.000000	9.684836	9.459407
capability@0.1	wild-waf-crs-942140-dbnames	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	4081401.6	5.765691	7.371560	1.323730	1.000372	1.000000	5.106258	5.234390
capability@0.1	wild-waf-crs-942140-dbnames	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	2703.5	6.092083	7.505924	1.773416	1.000265	1.000000	6.089437	6.098805
capability@0.1	wild-waf-crs-942160-sleep-benchmark	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1051200.3	5.299324	6.356171	1.000000	1.207818	1.206224	9.487153	9.458246
capability@0.1	wild-waf-crs-942160-sleep-benchmark	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1303.3	2.442008	2.786440	2.624474	1.003882	1.000000	8.503915	8.651205
capability@0.1	wild-waf-crs-942270-union-select	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	60156.2	40.573539	47.152648	1.000000	16.534404	16.736850	71.665619	71.688587
capability@0.1	wild-waf-crs-942270-union-select	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	1147.7	4.155326	4.546344	2.716304	1.001202	1.000000	4.577294	4.622840
capability@0.1	wild-waf-crs-942360-concat-sqli	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	12110526.0	18.807903	23.034827	1.421523	1.005055	1.000000	4.001760	3.996921
capability@0.1	wild-waf-crs-942360-concat-sqli	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	7384.2	24.753338	30.064528	2.312110	1.000000	1.006052	6.576590	6.585018
capability@0.1	wild-waf-crs-942500-comment-obfuscation	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51801.2	37.631493	45.444885	1.000000	refused	refused	78.873907	78.851049
capability@0.1	wild-waf-crs-942500-comment-obfuscation	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2811.0	1.151547	1.190781	1.000000	refused	refused	1.692284	1.718660
capability@0.1	winpath-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	20.2	13.094369	13.239038	5.916882	1.000000	1.000698	242483.228694	244116.647100
capability@0.1	winpath-near-miss	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	498.9	10.914878	9.289804	5.709037	1.000000	1.002263	12.359955	12.407730
