# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1832.4	excluded	excluded	1.018760	1.020948	1.021903	1.000000	5.830504
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1097.9	5.308077	2.361450	1.008533	1.007330	1.008078	1.000000	13.587351
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	200405.5	21.166644	8.247435	1.003054	1.000000	1.453482	1.611853	11.785566
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4515.9	1.005080	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	378.9	excluded	excluded	1.433610	1.437325	1.180275	1.000000	1.230571
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	451.4	11.089312	4.461854	1.000000	1.005068	1.169482	1.208277	14.333378
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	124552.7	17.316853	6.373611	1.000000	1.000356	1.387569	1.481950	14.878699
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6926.4	1.000178	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1831.6	excluded	excluded	6.770536	6.773845	1.016042	1.000000	5.838522
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	989.4	5.875815	2.491144	1.000000	1.002257	1.117665	1.108508	15.034375
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	126911.2	17.229506	6.819920	1.000000	1.002493	1.385102	1.480128	10.430900
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6444.9	1.000000	1.001897	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1575.9	excluded	excluded	2.477634	2.475790	1.003725	1.000000	4.359452
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	988.4	5.879718	2.556830	1.000000	1.000598	1.119417	1.110123	15.121167
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	159975.6	14.467850	5.715631	1.000000	1.011525	1.207492	1.318721	8.662384
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5210.2	1.000119	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	751.3	excluded	excluded	1.978861	1.985245	1.060997	1.000000	2.917803
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	706.3	7.628937	3.209674	1.000000	1.042337	1.150810	1.160952	14.621961
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	172312.3	12.572528	4.606306	refused	refused	1.000000	1.069024	58.220075
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6928.7	1.004070	1.000000	refused	refused	excluded	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1833.8	excluded	excluded	refused	refused	1.019770	1.000000	104.489588
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1097.9	5.299590	2.290148	refused	refused	1.006457	1.000000	137.473021
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	174561.9	18.695940	6.856003	1.000000	1.016900	1.459954	1.501289	10.483249
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4617.5	1.002562	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	433.4	excluded	excluded	1.359229	1.349197	1.224189	1.000000	1.585554
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	476.0	10.604406	4.256211	1.000000	1.001608	1.304967	1.265812	14.486374
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	123920.8	17.520398	6.420607	1.000483	1.000000	1.394434	1.488805	18.861603
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6946.9	1.000000	1.000086	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	1833.2	excluded	excluded	1.018132	1.021207	1.020716	1.000000	5.822169
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	988.4	5.905814	2.523359	1.004415	1.000000	1.118018	1.110641	15.049592
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	1672.5	1.080635	1.977605	1.000000	1.001054	10713.955183	10694.468268	113.913636
bounded@0.3	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2282.9	1.007839	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	1982.6	excluded	excluded	1.000000	1.001608	2.857021	2.912979	1.476783
bounded@0.3	csv5	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	987.8	21.070623	6.133452	1.004910	1.000000	364.599562	364.771280	8.201740
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22174.2	25.024846	4.754079	9.027113	8.949580	19.934158	19.878877	1.000000
bounded@0.3	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2543.8	1.003223	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	637.8	excluded	excluded	1.006859	1.000743	1.000000	1.152732	2.758718
bounded@0.3	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5066.3	4.704489	1.000000	1.429996	1.427436	3.333239	3.337819	1.621800
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22705.6	24.487128	4.592200	8.824300	8.845743	16.874926	16.863002	1.000000
bounded@0.3	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	7552.4	1.000332	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	1428.5	excluded	excluded	1.000000	1.000534	1.009014	1.047856	1.225733
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6200.2	5.831632	1.000000	1.425877	1.426093	2.733058	2.718174	1.290309
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22137.5	25.061939	4.704524	9.054495	9.071244	17.296499	17.325391	1.000000
bounded@0.3	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7549.4	1.000000	1.001246	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	1426.7	excluded	excluded	1.002207	1.000000	1.003122	1.047938	1.215232
bounded@0.3	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6254.9	5.765543	1.000000	1.412910	1.412109	2.695526	2.692219	1.315882
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	22039.5	25.177392	4.736451	9.092761	9.105892	17.686768	17.382370	1.000000
bounded@0.3	ctx-lazy-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6153.5	1.000000	1.004820	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	1188.8	excluded	excluded	1.000000	1.001064	1.000439	1.054192	1.098874
bounded@0.3	ctx-lazy-64	short-subject-search	plain	rust_1.13.1_default-caps-simdna	3438.8	8.449487	1.535413	2.429190	2.429288	5.010763	4.996984	1.000000
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	63426.8	3.313031	1.520095	1.000501	1.000000	3.116658	3.137410	4.459009
bounded@0.3	dig-exact-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2455.0	1.000000	1.011214	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	514.8	excluded	excluded	1.405936	1.406469	1.131747	1.000000	1.744756
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2149.1	8.876045	1.890893	1.000592	1.000000	3.863722	3.927747	3.152662
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	99935.2	10.374536	4.488171	1.000356	1.000000	1.907011	2.000534	7.157566
bounded@0.3	dig-exact-2	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3043.6	1.000000	1.007288	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	347.4	excluded	excluded	1.583552	1.572736	1.169193	1.000000	1.608323
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	940.0	5.351385	2.655209	1.000000	1.000782	2.215462	2.272867	8.259512
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	66166.0	2.353547	1.086878	1.004045	1.000000	2.164877	2.181330	4.550780
bounded@0.3	dig-exact-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2083.5	1.002225	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	589.3	excluded	excluded	1.531936	1.520513	1.105050	1.000000	1.287028
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2186.3	7.358393	1.747178	1.001276	1.000000	3.568033	3.499284	2.848979
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	71284.1	4.513854	2.044944	1.000000	1.009583	2.843623	2.883286	4.805841
bounded@0.3	dig-exact-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2752.3	1.002814	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	424.1	excluded	excluded	1.434235	1.444307	1.167771	1.000000	1.985574
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1938.4	8.967485	1.946836	1.005449	1.000000	3.691972	3.737506	3.644487
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	73678.5	2.834210	1.578996	1.015709	1.000000	2.681713	2.696460	4.569285
bounded@0.3	dig-upto-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3647.0	1.000000	1.002323	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	522.3	excluded	excluded	1.432690	1.429656	1.100397	1.000000	4.161907
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1295.8	3.928521	2.083089	1.010676	1.000000	2.010860	1.975455	7.646933
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_25b1984f_vm-caps-simdna	193375.7	5.555314	2.398095	1.181227	1.170815	1.000000	1.048661	3.839452
bounded@0.3	dig-upto-2	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3412.5	1.002229	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	348.0	excluded	excluded	1.580281	1.574164	1.180536	1.000000	1.912908
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1028.3	4.773827	2.519618	1.000000	1.002097	1.795114	1.860405	8.110539
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	68239.9	2.096295	1.308529	1.000000	1.002461	2.096181	2.107977	4.579257
bounded@0.3	dig-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3761.0	1.004618	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	574.4	excluded	excluded	1.648973	1.647051	1.028658	1.000000	5.305693
bounded@0.3	dig-upto-32	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1408.7	3.671830	1.952446	1.007046	1.000000	1.453088	1.427185	7.803131
bounded@0.3	dig-upto-4	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	116781.8	4.999819	2.219012	1.000000	1.001095	1.660609	1.689916	4.314514
bounded@0.3	dig-upto-4	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3464.1	1.000000	1.004319	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-4	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	387.2	excluded	excluded	1.447021	1.445887	1.144252	1.000000	2.633656
bounded@0.3	dig-upto-4	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1186.6	4.180814	2.192972	1.001418	1.000000	1.797408	1.777046	7.282547
bounded@0.3	dig-upto-8	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	88425.0	3.735152	1.851531	1.000000	1.004569	2.296736	2.328878	4.651887
bounded@0.3	dig-upto-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3528.4	1.000000	1.005237	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-8	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	435.5	excluded	excluded	1.434329	1.426148	1.111074	1.000000	3.670815
bounded@0.3	dig-upto-8	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1226.2	4.062365	2.149963	1.002439	1.000000	2.079169	2.095063	7.456595
bounded@0.3	dotted4	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	34566.7	1.794999	1.000000	2.165050	2.166015	26.356648	26.757102	5.477686
bounded@0.3	dotted4	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2073.6	1.000000	1.003169	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dotted4	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	574.4	excluded	excluded	1.000207	1.000000	1.315117	1.490327	1.627676
bounded@0.3	dotted4	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3155.7	3.799791	1.000000	1.027800	1.033730	8.072730	8.255445	2.185339
bounded@0.3	floor	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	1680.1	1.067671	2.519404	1.000000	1.000492	37.503691	38.272849	1.043934
bounded@0.3	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1409.6	1.002654	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	floor	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	275.5	excluded	excluded	1.818011	1.819133	1.000000	1.055140	1.069646
bounded@0.3	floor	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	472.7	4.074238	3.725191	1.000000	1.003850	3.199591	3.119736	2.297847
bounded@0.3	grp-upto-1024	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	125442.0	54.801270	8.853210	1.004389	1.000000	1.401190	1.488160	11.065565
bounded@0.3	grp-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	123425.3	1.000030	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	grp-upto-1024	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	1960.3	excluded	excluded	2.462689	2.465966	1.000000	1.020711	5.514852
bounded@0.3	grp-upto-1024	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	988.4	48.263322	4.621959	1.000000	1.001323	1.120800	1.111763	15.054691
bounded@0.3	hex32	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	254111.9	4.762451	1.128601	1.055086	1.053905	1.456698	1.459941	1.000000
bounded@0.3	hex32	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2351.7	1.000000	1.003937	excluded	excluded	excluded	excluded	excluded
