# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-05T03:50:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_auto-nocaps-simdna, testee=pcrec_288d505_vm-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 10; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4,1.5; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna,pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-nocaps-simdna,pcrec_288d505_vm-caps-simdna,pcrec_288d505_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-nocaps-simdna	pcrec_288d505_vm-caps-simdna	pcrec_288d505_vm-in-caps-simdna
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	169154.9	13.212305	5.233576	1.375759	1.370731	1.551541	1.723412	1.000666	1.000000	1.554650	1.725790
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5471.1	1.011759	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1073.2	excluded	excluded	1.915302	1.915735	1.000852	1.000000	1.913307	1.914946	1.039046	1.015376
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	897.8	6.246574	2.553199	1.488580	1.485919	1.291788	1.352328	1.000000	1.000785	1.272967	1.359672
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	201057.8	13.558115	4.975948	1.432806	1.436441	1.573214	1.748868	1.000000	1.000895	1.706278	1.746667
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4744.2	1.005442	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	598.9	excluded	excluded	1.182357	1.181987	1.041397	1.000000	1.182854	1.182232	1.067867	1.001965
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	591.1	8.595885	3.404507	1.313438	1.316350	1.439559	1.473126	1.000000	1.001059	1.406754	1.484254
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	154119.1	14.060929	5.293194	1.370759	1.371867	1.590951	1.772735	1.004584	1.000000	1.592168	1.771655
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6965.9	1.000000	1.007866	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.9	excluded	excluded	1.000485	1.000075	1.000000	1.000397	1.016655	1.017030	1.017933	1.006020
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1047.9	5.568110	2.416273	1.563015	1.562103	1.250482	1.304959	1.000181	1.000000	1.230929	1.309114
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	154872.7	13.977499	5.528034	1.374016	1.370260	1.589054	1.770704	1.000000	1.001080	1.590029	1.765263
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6915.4	1.000000	1.006451	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.6	excluded	excluded	6.220052	6.221051	1.000000	1.000640	6.237320	6.237425	1.019178	1.005088
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1045.5	5.581404	2.446144	1.563937	1.561789	1.263567	1.308168	1.001203	1.000000	1.237798	1.312142
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	161284.9	13.649210	5.144961	1.370970	1.375424	1.573589	1.750576	1.002477	1.000000	1.573911	1.746184
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5945.3	1.009441	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1381.4	excluded	excluded	2.161181	2.162782	1.000000	1.001037	2.163184	2.159156	1.026062	1.007960
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1048.1	5.565107	2.374063	1.563804	1.559486	1.252199	1.304443	1.002866	1.000000	1.234201	1.307820
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	177865.8	13.833088	5.391952	1.399377	1.399270	1.510589	1.742064	1.001683	1.000000	1.526282	1.743310
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4947.6	1.000575	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	661.6	excluded	excluded	1.456500	1.452141	1.004254	1.000000	1.446715	1.449698	1.075090	1.011179
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	655.2	8.120022	3.157468	1.374223	1.375475	1.379640	1.463857	1.000000	1.003566	1.355267	1.467465
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	245062.6	8.834072	3.492962	1.002929	1.000000	1.003979	1.112448	1.002979	1.001682	1.002113	1.113050
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6904.7	1.000000	1.011662	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1993.3	excluded	excluded	1.000000	1.000261	1.001145	1.000048	1.020351	1.020365	1.017263	1.007336
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1291.8	4.511445	2.007046	1.014970	1.012451	1.014424	1.056609	1.000566	1.000000	1.001475	1.061794
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	319094.6	13.293583	5.179752	1.499466	1.502455	1.320276	1.638334	1.000000	1.000764	1.405068	1.629580
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4515.9	1.005080	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	479.8	excluded	excluded	1.133381	1.139613	1.000000	1.018143	1.137242	1.135846	1.087008	1.016032
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	527.1	9.496220	3.820864	1.223045	1.205965	1.344357	1.525498	1.000000	1.001563	1.363139	1.528217
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	154629.1	13.948609	5.133902	1.375478	1.368436	1.588998	1.769382	1.004468	1.000000	1.588995	1.763274
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6926.4	1.000178	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1994.3	excluded	excluded	6.229909	6.222665	1.001877	1.000000	6.225903	6.231946	1.019134	1.006242
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1044.8	5.564273	2.359060	1.568538	1.567106	1.250858	1.307232	1.001443	1.000000	1.236358	1.312528
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	157613.6	13.873270	5.491428	1.371327	1.371241	1.582536	1.760326	1.000000	1.000255	1.582893	1.758472
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6444.9	1.000000	1.001897	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1690.1	excluded	excluded	2.307745	2.307104	1.002302	1.000000	2.307924	2.303427	1.021954	1.006516
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	1046.5	5.553267	2.414872	1.562168	1.565063	1.250185	1.307265	1.000000	1.000593	1.235140	1.312496
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	182616.2	12.674138	5.007012	1.448538	1.445233	1.501191	1.697654	1.000000	1.004414	1.498779	1.699990
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5210.2	1.000119	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	879.0	excluded	excluded	1.683172	1.688792	1.000000	1.008566	1.682439	1.687811	1.047782	1.018544
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	790.6	6.815584	2.867478	1.514492	1.516410	1.321764	1.391682	1.000000	1.002496	1.300527	1.397364
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna	245983.9	8.807082	3.226727	refused	refused	1.000000	1.110435	refused	refused	1.009574	1.114341
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6928.7	1.004070	1.000000	refused	refused	excluded	excluded	refused	refused	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1993.2	excluded	excluded	refused	refused	1.000710	1.000000	refused	refused	1.018485	1.006382
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_288d505_vm-caps-simdna	1294.1	4.495948	1.942865	refused	refused	1.013662	1.056363	refused	refused	1.000000	1.061335
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	236727.9	13.786288	5.055581	1.472401	1.491353	1.507505	1.742997	1.000690	1.000000	1.630841	1.740022
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4617.5	1.002562	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_288d505_vm-in-caps-simdna	530.6	excluded	excluded	1.114726	1.100601	1.036382	1.001242	1.110029	1.113765	1.063658	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	545.3	9.257262	3.715518	1.251206	1.245477	1.456238	1.523031	1.000731	1.000000	1.432935	1.529992
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	154193.3	14.080647	5.160060	1.371405	1.372069	1.592295	1.771096	1.002200	1.000000	1.593713	1.768191
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6946.9	1.000000	1.000086	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.7	excluded	excluded	6.221265	6.218259	1.000000	1.000076	6.232917	6.229147	1.016770	1.005211
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1046.6	5.577336	2.383011	1.560321	1.561748	1.256120	1.310329	1.001621	1.000000	1.235271	1.311174
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	1670.0	1.082312	1.980673	1.001840	1.002169	10699.537293	10668.454500	1.000000	1.001506	10709.705899	10695.870820
bounded@0.3	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2282.9	1.007839	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_288d505_auto-nocaps-simdna	1986.4	excluded	excluded	1.001211	1.001106	2.991770	2.907026	1.001377	1.000000	2.868279	2.919091
bounded@0.3	csv5	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	943.9	22.052200	6.419179	1.010228	1.007490	381.779807	381.457866	1.004053	1.000000	380.583355	381.386180
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	105418.0	5.263868	1.000000	1.897273	1.900350	4.485073	4.493062	1.897976	1.898760	4.497696	4.489768
bounded@0.3	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2543.8	1.003223	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_288d505_vm-caps-simdna	969.9	excluded	excluded	1.029380	1.027102	1.027733	1.095582	1.018844	1.019241	1.000000	1.096391
bounded@0.3	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5066.3	4.704489	1.000000	1.428986	1.426674	4.308502	4.302031	1.417677	1.417958	4.295864	4.298129
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104268.7	5.332331	1.000000	1.897754	1.892351	4.232956	4.234726	1.892463	1.892520	4.231347	4.231967
bounded@0.3	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	7552.4	1.000332	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	2165.3	excluded	excluded	1.013532	1.010952	1.006536	1.044465	1.000000	1.002766	1.004539	1.043594
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6200.2	5.831632	1.000000	1.556401	1.552280	3.846242	3.843025	1.551597	1.552984	3.845266	3.840893
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104146.4	5.327199	1.000000	1.898062	1.895919	4.239995	4.242445	1.895497	1.895631	4.236658	4.235277
bounded@0.3	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7549.4	1.000000	1.001246	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_288d505_auto-caps-simdna	2162.1	excluded	excluded	1.013640	1.014517	1.010116	1.046090	1.000000	1.000786	1.005248	1.045903
bounded@0.3	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6254.9	5.765543	1.000000	1.539423	1.539827	3.813320	3.809713	1.537502	1.538916	3.807385	3.804120
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104388.9	5.315666	1.000000	1.893404	1.891071	4.230628	4.225766	1.890327	1.890794	4.235796	4.228021
bounded@0.3	ctx-lazy-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6153.5	1.000000	1.004820	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_288d505_auto-nocaps-simdna	1860.6	excluded	excluded	1.003616	1.000216	1.013896	1.054114	1.000511	1.000000	1.004012	1.054120
bounded@0.3	ctx-lazy-64	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5279.9	5.503073	1.000000	1.693359	1.690669	4.606449	4.604482	1.685300	1.686126	4.605984	4.612002
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	74586.7	2.817329	1.292656	1.000928	1.000000	4.410674	4.389655	1.005670	1.008361	4.457666	4.482345
bounded@0.3	dig-exact-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2455.0	1.000000	1.011214	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_288d505_vm-in-caps-simdna	620.4	excluded	excluded	1.157844	1.161174	1.013151	1.000490	1.166332	1.166076	1.054698	1.000000
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	2275.8	8.381636	1.785568	1.009977	1.011584	5.264273	5.326877	1.000868	1.000000	5.370224	5.525045
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	150463.6	6.890578	2.980961	1.004963	1.000000	2.487868	2.581250	1.000682	1.001645	2.517744	2.673013
bounded@0.3	dig-exact-2	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3043.6	1.000000	1.007288	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	469.6	excluded	excluded	1.148134	1.161739	1.000000	1.019562	1.164094	1.164166	1.087925	1.020208
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1105.5	4.550163	2.257665	1.020736	1.024171	3.747244	3.525161	1.000084	1.000000	3.590993	3.530171
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	66013.0	2.358999	1.089396	1.003198	1.000000	4.159400	4.181469	1.010889	1.008151	4.158578	4.175115
bounded@0.3	dig-exact-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2083.5	1.002225	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	647.9	excluded	excluded	1.383235	1.388674	1.003613	1.000000	1.384560	1.386455	1.081490	1.018781
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	2262.5	7.110398	1.688294	1.012198	1.015595	5.677840	5.683596	1.003183	1.000000	5.663342	5.679201
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	89957.3	3.576877	1.620458	1.004606	1.000000	3.824907	3.733919	1.000209	1.001433	3.802528	3.867726
bounded@0.3	dig-exact-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2752.3	1.002814	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_288d505_vm-in-caps-simdna	552.6	excluded	excluded	1.102987	1.106678	1.007442	1.002621	1.103025	1.105892	1.053085	1.000000
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	2079.8	8.357563	1.814422	1.006732	1.000000	5.068790	5.240705	1.004842	1.002189	5.207919	5.239786
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	83762.8	2.492996	1.388899	1.000000	1.003350	3.836015	3.997543	1.009374	1.007317	3.977438	3.997236
bounded@0.3	dig-upto-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3647.0	1.000000	1.002323	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_288d505_vm-in-caps-simdna	663.1	excluded	excluded	1.123292	1.129532	1.017763	1.002770	1.126729	1.125292	1.072152	1.000000
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	1400.7	3.634151	1.927000	1.000057	1.015839	2.720161	2.808298	1.000000	1.004218	2.863088	2.940263
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_288d505_auto-nocaps-simdna	147694.3	7.273554	3.139817	1.006137	1.007280	2.427841	2.500690	1.006004	1.000000	2.582790	2.695980
bounded@0.3	dig-upto-2	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3412.5	1.002229	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	458.3	excluded	excluded	1.180636	1.191752	1.000000	1.007774	1.195301	1.196601	1.029836	1.007097
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_288d505_auto-nocaps-simdna	1021.4	4.806226	2.536718	1.016246	1.018552	3.509445	3.593380	1.002023	1.000000	3.538669	3.573880
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	76109.3	1.879546	1.173232	1.000000	1.000322	3.597284	3.618049	1.000633	1.001074	3.602076	3.615763
bounded@0.3	dig-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3761.0	1.004618	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_288d505_vm-in-caps-simdna	692.9	excluded	excluded	1.368630	1.368004	1.025884	1.007486	1.360322	1.360776	1.063846	1.000000
