# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.1, since=2026-08-30T11:00:00Z, until=2026-08-30T15:00:00Z; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.1; machines: budu-ryzen1600; schema_versions: 1.3; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_96e44c2_auto-caps-simdna,pcrec_96e44c2_auto-nocaps-simdna,pcrec_96e44c2_vm-caps-simdna,pcrec_96e44c2_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_96e44c2_auto-caps-simdna	pcrec_96e44c2_auto-nocaps-simdna	pcrec_96e44c2_vm-caps-simdna	pcrec_96e44c2_vm-in-caps-simdna
bounded@0.1	cls-upto-16384	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	724.0	excluded	excluded	1.017414	1.016011	1.025246	1.000000
bounded@0.1	cls-upto-16384	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	834.4	4.570767	1.938924	2.903229	2.903319	1.000000	1.087695
bounded@0.1	cls-upto-256	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	205730.3	8.686182	3.236253	1.932759	1.929832	1.000000	1.138938
bounded@0.1	cls-upto-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3369.3	1.000000	1.001448	excluded	excluded	excluded	excluded
bounded@0.1	cls-upto-256	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	723.4	excluded	excluded	1.897369	1.903661	1.021763	1.000000
bounded@0.1	cls-upto-256	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	835.1	4.596795	1.990422	2.906540	2.910650	1.000000	1.084090
bounded@0.1	cls-upto-32768	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	197654.4	8.836860	3.527950	3.574068	3.577047	1.000000	1.134709
bounded@0.1	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3399.6	1.000000	1.003419	excluded	excluded	excluded	excluded
bounded@0.1	cls-upto-32768	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	724.0	excluded	excluded	1.013966	1.013265	1.032830	1.000000
bounded@0.1	cls-upto-32768	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	834.8	4.585184	1.945945	3.698679	3.698172	1.000000	1.086587
bounded@0.1	cls-upto-4096	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	197981.5	8.853707	3.727047	2.001235	1.995181	1.000000	1.138354
bounded@0.1	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3383.0	1.000218	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	cls-upto-4096	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	723.1	excluded	excluded	7.125383	7.132384	1.032006	1.000000
bounded@0.1	cls-upto-4096	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	833.8	4.575769	1.937593	2.902504	2.902397	1.000000	1.086827
bounded@0.1	cls-upto-65535	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	199705.7	8.763354	3.332524	refused	refused	1.000000	1.125487
bounded@0.1	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3382.0	1.001663	1.000000	refused	refused	excluded	excluded
bounded@0.1	cls-upto-65535	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	724.2	excluded	excluded	refused	refused	1.027048	1.000000
bounded@0.1	cls-upto-65535	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	834.6	4.569542	1.936343	refused	refused	1.000000	1.086896
bounded@0.1	csv5	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	1612.3	1.068882	1.954023	1.004506	1.000000	10662.478752	10665.611329
bounded@0.1	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1618.8	1.016232	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	csv5	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	1316.2	excluded	excluded	1.000000	1.001531	2.918966	2.965769
bounded@0.1	csv5	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	972.7	20.864946	5.598851	1.000000	1.001904	330.617712	331.398591
bounded@0.1	ctx-greedy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	102877.9	5.368522	1.000000	1.872543	1.875383	4.427053	4.424375
bounded@0.1	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1981.6	1.000000	1.003928	excluded	excluded	excluded	excluded
bounded@0.1	ctx-greedy-256	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	676.5	excluded	excluded	1.000000	1.002047	1.000971	1.073025
bounded@0.1	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4322.5	5.092034	1.000000	1.468428	1.464574	4.531617	4.530383
bounded@0.1	ctx-lazy-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	101552.1	5.458539	1.000000	1.871607	1.874067	4.197605	4.195374
bounded@0.1	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7007.0	1.000000	1.002552	excluded	excluded	excluded	excluded
bounded@0.1	ctx-lazy-1024	match-compliance	whole-subject	pcrec_96e44c2_auto-nocaps-simdna	1882.8	excluded	excluded	1.002765	1.000000	1.000781	1.029134
bounded@0.1	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5479.5	6.281393	1.000000	1.609911	1.608998	3.960906	3.979610
bounded@0.1	ctx-lazy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	101667.5	5.441559	1.000000	1.868406	1.869800	4.197527	4.193060
bounded@0.1	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7012.3	1.000000	1.000950	excluded	excluded	excluded	excluded
bounded@0.1	ctx-lazy-256	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	1877.1	excluded	excluded	1.003698	1.000925	1.000000	1.034522
bounded@0.1	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5451.2	6.320591	1.000000	1.621295	1.619949	3.989973	3.992168
bounded@0.1	ctx-lazy-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	101694.9	5.416080	1.000000	1.872818	1.871713	4.189081	4.185964
bounded@0.1	ctx-lazy-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	5625.9	1.000000	1.000010	excluded	excluded	excluded	excluded
bounded@0.1	ctx-lazy-64	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	1565.8	excluded	excluded	1.009837	1.008630	1.000000	1.038012
bounded@0.1	ctx-lazy-64	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4545.8	6.000890	1.000000	1.789218	1.786846	4.883375	4.890561
bounded@0.1	dotted4	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	33734.0	1.853429	1.000000	1.762677	1.763092	25.342018	24.871074
bounded@0.1	dotted4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1484.5	1.001202	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	dotted4	match-compliance	whole-subject	pcrec_96e44c2_auto-nocaps-simdna	363.5	excluded	excluded	1.001852	1.000000	1.326255	1.487018
bounded@0.1	dotted4	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	2354.0	4.807285	1.050510	1.004217	1.000000	9.315153	9.482553
bounded@0.1	floor	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	1614.3	1.063227	2.517173	1.000000	1.001571	168.996816	169.182388
bounded@0.1	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	863.7	1.003392	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	floor	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	240.3	excluded	excluded	1.223888	1.214155	1.000000	1.148050
bounded@0.1	floor	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	327.7	4.227539	3.658079	1.000412	1.000000	13.621512	13.663064
bounded@0.1	grp-upto-1024	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	199073.7	32.300345	4.562120	1.986890	1.981335	1.000000	1.138738
bounded@0.1	grp-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	33542.0	1.002744	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	grp-upto-1024	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	725.1	excluded	excluded	1.873833	1.873131	1.024868	1.000000
bounded@0.1	grp-upto-1024	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	833.6	39.827894	3.719159	2.907727	2.909620	1.000000	1.085495
bounded@0.1	hex32	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	278562.3	4.270159	1.000000	1.075425	1.073537	2.031537	2.034228
bounded@0.1	hex32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1415.1	1.029105	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	hex32	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	482.8	excluded	excluded	1.163582	1.164983	1.000000	1.030047
bounded@0.1	hex32	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	2928.2	10.221742	1.409439	1.000000	1.003257	5.194540	5.189527
bounded@0.1	line-80	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	30883.1	3.960633	1.000000	2.360388	2.357699	2.465517	2.467554
bounded@0.1	line-80	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5289.8	1.004472	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	line-80	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	2350.6	excluded	excluded	1.410178	1.411542	1.000000	1.021612
bounded@0.1	line-80	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2188.3	2.439786	1.000000	2.437350	2.436701	6.021301	6.076293
bounded@0.1	nest2-4	large-subject-throughput	plain	pcrec_96e44c2_auto-caps-simdna	85698.9	4.445739	1.067713	1.000000	1.002701	5.397769	5.362842
bounded@0.1	nest2-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	53361.6	1.001694	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	nest2-4	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	401.9	excluded	excluded	1.000000	1.000372	23.386734	23.756643
bounded@0.1	nest2-4	short-subject-search	plain	pcrec_96e44c2_auto-nocaps-simdna	925.6	5.772499	1.936312	1.001205	1.000000	4.231175	4.319040
bounded@0.1	nest2-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	68417.0	1.318713	1.000000	1.307685	1.304081	6.887549	6.763172
bounded@0.1	nest2-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4093.1	1.000000	1.003648	excluded	excluded	excluded	excluded
bounded@0.1	nest2-64	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	873.7	excluded	excluded	1.003317	1.000849	1.000000	1.075590
bounded@0.1	nest2-64	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1884.4	2.618315	1.109215	1.000000	1.000098	2.330495	2.360346
bounded@0.1	nest2-letters-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	175061.1	5.341168	1.000000	1.761307	1.760265	1.180110	1.453010
bounded@0.1	nest2-letters-6	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4873879.6	1.000718	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	nest2-letters-6	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	590.9	excluded	excluded	1.000000	1.006812	1736.544104	1732.830016
bounded@0.1	nest2-letters-6	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1070.0	4.559210	1.683271	1.000000	1.001145	2.731008	3.024232
bounded@0.1	nest3-16	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	54310.3	2.223507	1.000000	1.641761	1.645707	14.785256	14.750544
bounded@0.1	nest3-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6481.8	1.007218	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	nest3-16	match-compliance	whole-subject	pcrec_96e44c2_auto-nocaps-simdna	1680.3	excluded	excluded	1.002407	1.000000	1.025194	1.041612
bounded@0.1	nest3-16	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1882.4	3.427990	1.131469	1.000000	1.000634	3.877907	4.010892
bounded@0.1	nest3-3	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	79463.6	5.392531	1.000000	1.103126	1.098782	5.702872	5.780350
bounded@0.1	nest3-3	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6116523.2	1.001280	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	nest3-3	match-compliance	whole-subject	pcrec_96e44c2_auto-caps-simdna	474.4	excluded	excluded	1.000000	1.000574	2023.264579	2014.993350
bounded@0.1	nest3-3	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1051.5	6.937409	1.734925	1.000000	1.003283	3.874397	4.025046
bounded@0.1	pw-8-64	large-subject-throughput	plain	pcrec_96e44c2_vm-caps-simdna	121256.6	2.780863	1.028610	3.120165	3.120479	1.000000	1.023917
bounded@0.1	pw-8-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4717.8	1.000000	1.016659	excluded	excluded	excluded	excluded
bounded@0.1	pw-8-64	match-compliance	whole-subject	pcrec_96e44c2_vm-caps-simdna	1465.5	excluded	excluded	1.647699	1.650895	1.000000	1.019086
bounded@0.1	pw-8-64	short-subject-search	plain	pcrec_96e44c2_vm-caps-simdna	1638.0	3.138255	1.143814	2.637207	2.641230	1.000000	1.057462
bounded@0.1	year4	large-subject-throughput	plain	pcrec_96e44c2_auto-nocaps-simdna	96955.2	4.757180	2.212714	1.000558	1.000000	2.817102	2.959259
bounded@0.1	year4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1757.8	1.001275	1.000000	excluded	excluded	excluded	excluded
bounded@0.1	year4	match-compliance	whole-subject	pcrec_96e44c2_vm-in-caps-simdna	305.5	excluded	excluded	1.056516	1.040389	1.029361	1.000000
bounded@0.1	year4	short-subject-search	plain	pcrec_96e44c2_auto-caps-simdna	1575.8	8.157085	1.743872	1.000000	1.004581	4.183320	4.193155
