# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.2, until=2026-09-01T00:00:00Z; source: store/index.tsv (7 record(s) matching this query); records: 6; subbench_versions: bounded@0.2; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_auto-nocaps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_auto-nocaps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_263b013_vm-in-caps-simdna
bounded@0.2	hex32	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	287254.6	4.200163	1.000000	1.098170	1.091922	1.990282	1.996618
bounded@0.2	hex32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1416.4	1.026794	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	hex32	match-compliance	whole-subject	pcrec_263b013_vm-caps-simdna	483.9	excluded	excluded	1.170595	1.160347	1.000000	1.036066
bounded@0.2	hex32	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	2938.3	10.210484	1.394553	1.009523	1.000000	5.188788	5.178168
bounded@0.2	line-80	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	32295.3	3.946521	1.000000	2.424059	2.351398	2.468819	2.452950
bounded@0.2	line-80	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5283.6	1.002787	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	line-80	match-compliance	whole-subject	pcrec_263b013_vm-caps-simdna	2351.5	excluded	excluded	1.419391	1.409266	1.000000	1.021955
bounded@0.2	line-80	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2150.4	2.491943	1.000000	2.503932	2.480312	6.126010	6.170814
bounded@0.2	nest2-4	large-subject-throughput	plain	pcrec_263b013_auto-nocaps-simdna	99846.6	4.602591	1.072518	1.001712	1.000000	4.716831	6.350936
bounded@0.2	nest2-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	53506.3	1.001949	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	nest2-4	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	406.3	excluded	excluded	1.001066	1.000000	23.155390	23.493267
bounded@0.2	nest2-4	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	925.2	5.746547	1.947169	1.003412	1.000000	4.297881	5.562822
bounded@0.2	nest2-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	72881.3	1.313528	1.000000	1.428621	1.427393	6.572297	6.395675
bounded@0.2	nest2-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4102.8	1.000748	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	nest2-64	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	875.5	excluded	excluded	1.001021	1.000000	1.000632	1.081038
bounded@0.2	nest2-64	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	1883.0	2.621126	1.105746	1.001876	1.000000	2.335264	2.365030
bounded@0.2	nest2-letters-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	176229.6	5.317449	1.000000	1.759681	1.759536	1.491165	1.763351
bounded@0.2	nest2-letters-6	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4881375.6	1.000430	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	nest2-letters-6	match-compliance	whole-subject	pcrec_263b013_auto-caps-simdna	595.5	excluded	excluded	1.000000	1.000533	1724.764835	1726.505523
bounded@0.2	nest2-letters-6	short-subject-search	plain	pcrec_263b013_auto-caps-simdna	1075.3	4.515925	1.668728	1.000000	1.000247	2.767150	3.007299
bounded@0.2	nest3-16	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	58364.0	2.333568	1.000000	1.786840	1.785750	13.834126	13.858937
bounded@0.2	nest3-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6481.0	1.002075	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	nest3-16	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	1683.5	excluded	excluded	1.002596	1.000000	1.022887	1.041661
bounded@0.2	nest3-16	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	1883.4	3.423203	1.121862	1.000167	1.000000	3.884513	4.026645
bounded@0.2	nest3-3	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	90252.0	5.793716	1.000000	1.126513	1.127647	5.125331	5.273899
bounded@0.2	nest3-3	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6129581.9	1.003487	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	nest3-3	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	471.1	excluded	excluded	1.005891	1.000000	2024.780454	2019.560013
bounded@0.2	nest3-3	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	1051.4	6.978013	1.733869	1.004669	1.000000	3.874178	4.644447
bounded@0.2	pw-8-64	large-subject-throughput	plain	pcrec_263b013_vm-caps-simdna	125943.9	2.798475	1.037664	3.168827	3.131015	1.000000	1.027476
bounded@0.2	pw-8-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4763.3	1.000000	1.000724	excluded	excluded	excluded	excluded
bounded@0.2	pw-8-64	match-compliance	whole-subject	pcrec_263b013_vm-caps-simdna	1466.4	excluded	excluded	1.669592	1.647661	1.000000	1.017525
bounded@0.2	pw-8-64	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	1636.5	3.129422	1.137203	2.665998	2.639751	1.000000	1.055179
bounded@0.2	year4	large-subject-throughput	plain	pcrec_263b013_auto-nocaps-simdna	114221.0	4.928847	2.198252	1.015978	1.000000	2.494853	2.642917
bounded@0.2	year4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1758.1	1.006615	1.000000	excluded	excluded	excluded	excluded
bounded@0.2	year4	match-compliance	whole-subject	pcrec_263b013_vm-in-caps-simdna	306.4	excluded	excluded	1.056407	1.048274	1.037071	1.000000
bounded@0.2	year4	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	1583.1	8.023508	1.724513	1.009861	1.000000	4.177876	4.175971
