# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-04T23:00:00Z, until=2026-09-06T18:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_288d505_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_288d505_vm-in-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
bounded@0.3	cls-upto-128	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	136243.4	16.403925	6.497821	2.142679	1.000000	1.369698	1.007145	1.372497	1.414904
bounded@0.3	cls-upto-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5471.1	1.011759	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-128	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	984.6	excluded	excluded	1.106675	2.072767	1.003144	2.090008	1.000000	1.006955
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	833.2	6.731478	2.751397	1.465220	1.000000	1.146621	1.023103	1.156474	1.139773
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	165029.3	16.518073	6.062278	2.127992	1.000000	1.421675	1.018461	1.411463	1.364634
bounded@0.3	cls-upto-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4744.2	1.005442	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	490.6	excluded	excluded	1.223170	1.418546	1.062104	1.447974	1.120664	1.000000
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	509.2	9.977735	3.951806	1.722858	1.006936	1.340116	1.000000	1.312841	1.279558
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	123893.5	17.491285	6.584542	2.203874	1.000093	1.389384	1.000000	1.392693	1.440522
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6965.9	1.000000	1.007866	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	excluded	excluded	1.097147	1.001614	1.002046	1.022096	1.020468	1.000000
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	986.5	5.914867	2.566748	1.390640	1.000000	1.121869	1.013834	1.131388	1.115605
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	124523.2	17.384174	6.875357	2.195503	1.000000	1.389793	1.001251	1.391302	1.437653
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6915.4	1.000000	1.006451	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.3	excluded	excluded	1.095310	6.781785	1.002011	6.786363	1.021371	1.000000
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	990.1	5.893602	2.582970	1.385537	1.000000	1.118743	1.008624	1.123881	1.110903
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	130462.6	16.873882	6.360476	2.158726	1.000000	1.375514	1.045936	1.376674	1.422832
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5945.3	1.009441	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1247.2	excluded	excluded	1.116407	2.383943	1.158455	2.397059	1.067458	1.000000
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	989.0	5.898077	2.516108	1.386069	1.000000	1.119710	1.010458	1.127916	1.113392
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	157896.5	15.582568	6.073876	1.963787	1.000000	1.147033	1.005520	1.151651	1.238328
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4947.6	1.000575	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	517.6	excluded	excluded	1.292525	1.834388	1.125586	1.883148	1.097680	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	576.7	9.225849	3.587469	1.667312	1.000000	1.179479	1.020849	1.185797	1.174833
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_334fd10e_vm-caps-simdna	172256.4	12.567894	4.969303	1.583493	1.000553	1.000000	1.000496	1.001101	1.034826
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6904.7	1.000000	1.011662	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1830.0	excluded	excluded	1.097220	1.001353	1.001506	1.020535	1.019443	1.000000
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	1100.6	5.295085	2.355671	1.246229	1.006562	1.003730	1.013352	1.012301	1.000000
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	200381.7	21.169156	8.248414	2.595000	1.000048	1.452497	1.000000	1.428291	1.543692
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4515.9	1.005080	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	378.3	excluded	excluded	1.288406	1.403825	1.183846	1.425168	1.178899	1.000000
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	454.1	11.022509	4.434976	1.773841	1.000000	1.208732	1.019593	1.173981	1.215481
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124214.1	17.364066	6.390989	2.195029	1.000828	1.388927	1.000000	1.393815	1.444927
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6926.4	1.000178	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.8	excluded	excluded	1.096725	6.791301	1.001578	6.792794	1.021953	1.000000
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	985.8	5.897351	2.500274	1.391096	1.000000	1.119529	1.012685	1.131225	1.115220
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	127100.7	17.203815	6.809751	2.180627	1.000000	1.384277	1.009250	1.385458	1.431763
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6444.9	1.000000	1.001897	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1547.5	excluded	excluded	1.099304	2.512582	1.083228	2.522632	1.020555	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	987.4	5.885505	2.559347	1.391020	1.000000	1.121500	1.012853	1.127171	1.114624
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	159886.9	14.475872	5.718800	1.941658	1.000000	1.206248	1.000333	1.205600	1.283624
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5210.2	1.000119	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	749.8	excluded	excluded	1.194098	1.959472	1.080730	1.977924	1.061074	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	710.3	7.585675	3.191473	1.555252	1.000000	1.160719	1.014811	1.157766	1.156146
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	172330.8	12.571174	4.605810	1.590604	refused	1.000003	refused	1.000000	1.035721
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6928.7	1.004070	1.000000	excluded	refused	excluded	refused	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1829.2	excluded	excluded	1.096629	refused	1.002595	refused	1.024801	1.000000
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	1100.7	5.286269	2.284391	1.247901	refused	1.005853	refused	1.013468	1.000000
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	174454.8	18.707423	6.860214	2.361138	1.000000	1.469221	1.002922	1.455902	1.503310
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4617.5	1.002562	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	432.2	excluded	excluded	1.227760	1.328982	1.194956	1.359773	1.227311	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	474.7	10.632307	4.267409	1.757253	1.000000	1.329385	1.007168	1.307530	1.257423
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	124040.2	17.503534	6.414427	2.198023	1.001492	1.392762	1.000000	1.391109	1.439914
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6946.9	1.000000	1.000086	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	1828.8	excluded	excluded	1.096433	6.792962	1.002539	1.023205	1.023793	1.000000
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	985.1	5.925272	2.531673	1.392971	1.000000	1.125080	1.014472	1.131405	1.116778
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	1672.2	1.080883	1.978058	10681.748945	1.000000	10695.604503	1.000660	10688.742790	10697.690236
bounded@0.3	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2282.9	1.007839	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	1981.6	excluded	excluded	2.926193	1.000000	2.860531	1.005206	2.876855	2.917468
bounded@0.3	csv5	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	988.6	21.053514	6.128471	364.114200	1.000000	363.738787	1.000952	364.180625	364.406824
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	105418.0	5.263868	1.000000	4.489768	1.884550	4.186692	1.880618	4.190423	4.189087
bounded@0.3	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2543.8	1.003223	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	638.5	excluded	excluded	1.665330	1.047451	1.087493	1.000318	1.000000	1.162089
bounded@0.3	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5066.3	4.704489	1.000000	4.298129	1.419902	3.323406	1.431262	3.323502	3.356639
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104268.7	5.332331	1.000000	4.231967	1.922428	3.674801	1.923370	3.679853	3.681622
bounded@0.3	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	7552.4	1.000332	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1423.6	excluded	excluded	1.587298	1.017519	1.000000	1.006714	1.015595	1.052011
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6200.2	5.831632	1.000000	3.840893	1.422832	2.726653	1.424552	2.722228	2.725916
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104146.4	5.327199	1.000000	4.235277	1.922628	3.677378	1.925871	3.684965	3.679159
bounded@0.3	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7549.4	1.000000	1.001246	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1427.5	excluded	excluded	1.584091	1.016050	1.000000	1.004096	1.008156	1.048754
bounded@0.3	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6254.9	5.765543	1.000000	3.804120	1.408364	2.691339	1.413341	2.695681	2.694195
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104388.9	5.315666	1.000000	4.228021	1.917471	3.671183	1.920528	3.676137	3.674912
bounded@0.3	ctx-lazy-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6153.5	1.000000	1.004820	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_d34c9131_auto-caps-simdna	1187.8	excluded	excluded	1.651135	1.020028	1.015222	1.000000	1.001069	1.059422
bounded@0.3	ctx-lazy-64	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5279.9	5.503073	1.000000	4.612002	1.586716	3.251741	1.585058	3.248447	3.260612
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	62685.5	3.352211	1.538072	5.333338	1.000000	3.164498	1.020164	3.151768	3.169712
bounded@0.3	dig-exact-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2455.0	1.000000	1.011214	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	514.9	excluded	excluded	1.204999	1.381662	1.164781	1.410587	1.142252	1.000000
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	2144.6	8.894718	1.894871	5.863261	1.000000	3.875420	1.005400	3.872836	3.932975
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	100009.8	10.366798	4.484824	4.021519	1.000635	1.903522	1.000000	1.912166	1.999190
bounded@0.3	dig-exact-2	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3043.6	1.000000	1.007288	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	347.4	excluded	excluded	1.378886	1.529722	1.219425	1.571856	1.173253	1.000000
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	935.3	5.378503	2.668664	4.172825	1.000000	2.241053	1.008786	2.247430	2.203880
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	65766.9	2.367828	1.093473	4.190741	1.015749	2.173398	1.000000	2.177450	2.193156
bounded@0.3	dig-exact-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2083.5	1.002225	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	587.8	excluded	excluded	1.122953	1.507588	1.137765	1.543559	1.106239	1.000000
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	2173.6	7.401192	1.757341	5.911464	1.000773	3.582501	1.000000	3.578986	3.540276
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	71360.3	4.509033	2.042760	4.875679	1.023363	2.856480	1.000000	2.838315	2.900210
bounded@0.3	dig-exact-8	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2752.3	1.002814	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	427.3	excluded	excluded	1.293288	1.397837	1.130233	1.435614	1.144557	1.000000
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1933.0	8.992424	1.952250	5.637813	1.007026	3.710737	1.000000	3.714526	3.748485
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	74708.4	2.795140	1.557229	4.481689	1.006929	2.649908	1.000000	2.673341	2.657529
bounded@0.3	dig-upto-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3647.0	1.000000	1.002323	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	521.8	excluded	excluded	1.270640	1.377704	1.057568	1.435190	1.107141	1.000000
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1292.5	3.938401	2.088328	3.186422	1.000427	2.029049	1.000000	2.021995	1.977020
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	147662.3	7.275133	3.140499	2.696566	1.000000	1.313075	1.000835	1.309541	1.356894
bounded@0.3	dig-upto-2	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3412.5	1.002229	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	348.4	excluded	excluded	1.324798	1.520238	1.221333	1.567552	1.185294	1.000000
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1033.7	4.749031	2.506531	3.531350	1.000000	1.806797	1.009660	1.791187	1.790210
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	68206.9	2.097307	1.309161	4.034679	1.000000	2.095102	1.005258	2.113779	2.109114
bounded@0.3	dig-upto-32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3761.0	1.004618	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	576.0	excluded	excluded	1.202984	1.585509	1.035518	1.648235	1.033241	1.000000
bounded@0.3	dig-upto-32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1402.1	3.689137	1.961649	2.625161	1.000000	1.451630	1.003196	1.464686	1.432573
bounded@0.3	dig-upto-4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	116764.6	5.000555	2.219339	2.985261	1.009085	1.656721	1.000000	1.667203	1.681581
bounded@0.3	dig-upto-4	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3464.1	1.000000	1.004319	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-4	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	389.8	excluded	excluded	1.288091	1.326092	1.173520	1.442936	1.137789	1.000000
bounded@0.3	dig-upto-4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1179.3	4.206790	2.206598	3.145536	1.000000	1.831826	1.003262	1.809762	1.793975
bounded@0.3	dig-upto-8	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	88075.1	3.749989	1.858885	3.967526	1.004683	2.314990	1.000000	2.302319	2.324450
bounded@0.3	dig-upto-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3528.4	1.000000	1.005237	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dig-upto-8	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	435.2	excluded	excluded	1.352641	1.356280	1.087007	1.428220	1.107804	1.000000
bounded@0.3	dig-upto-8	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1226.3	4.061943	2.149739	3.203417	1.000473	2.091038	1.000000	2.086562	2.040084
bounded@0.3	dotted4	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	34566.7	1.794999	1.000000	26.687109	2.162093	26.715917	2.165068	26.292975	26.653798
bounded@0.3	dotted4	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2073.6	1.000000	1.003169	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	dotted4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	537.5	excluded	excluded	1.605079	1.000000	1.396626	1.069668	1.417739	1.605188
bounded@0.3	dotted4	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3155.7	3.799791	1.000000	8.208561	1.027126	8.149475	1.032354	8.103417	8.196960
