# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, until=2026-09-21T03:49:17Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=re2_11.0.0_default-caps-simdna, testee=re2_11.0.0_longest-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=tre_0.9.0_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (17 record(s) matching this query); records: 13; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 4; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,rust_1.13.1_default-caps-simdna,tre_0.9.0_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,re2_11.0.0_default-caps-simdna,re2_11.0.0_longest-caps-simdna,tre_0.9.0_default-caps-simdna; no=libpcre2_10.46_dfa-nocaps-simdna,pcrec_25b1984f_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	re2_11.0.0_default-caps-simdna	re2_11.0.0_longest-caps-simdna	rust_1.13.1_default-caps-simdna	tre_0.9.0_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	490.9	pcrec_25b1984f_auto-caps-simdna	869.7	pcrec_25b1984f_auto-nocaps-simdna	490.9	8.631784	8.834375	6.868756	11.679057	1.771711	1.000000	12.439313	12.832397	19.620365	19.692912	3.589953	28.011046	3.801225
capability@0.1	doubled-word	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	13111656.5	libpcre2_10.46_jit-caps-simdna	13111656.5	pcrec_25b1984f_auto-nocaps-simdna	25353507.5	unsup	6.837077	1.000000	6.104197	1.943230	1.933662	1.937197	1.968655	unsup	unsup	unsup	16.370519	unsup
capability@0.1	doubled-word	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13186.3	libpcre2_10.46_jit-caps-simdna	13186.3	pcrec_25b1984f_auto-nocaps-simdna	20836.9	unsup	6.314447	1.000000	6.750209	1.583696	1.580190	1.587112	1.593517	unsup	unsup	unsup	16.028676	unsup
capability@0.1	dup-param-detect	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23240.8	libpcre2_10.46_interp-caps-simdna	23240.8	pcrec_25b1984f_auto-nocaps-simdna	13395576.0	unsup	1.000000	142.040895	95.900206	579.202219	576.382657	579.089581	578.871417	unsup	unsup	unsup	7962.253078	unsup
capability@0.1	dup-param-detect	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3338.5	libpcre2_10.46_jit-caps-simdna	3338.5	pcrec_25b1984f_auto-nocaps-simdna	10836.8	unsup	1.738828	1.000000	2.664831	3.257181	3.246006	3.252655	3.282341	unsup	unsup	unsup	58.919027	unsup
capability@0.1	email-local-nodup	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	258.8	libpcre2_10.46_jit-caps-simdna	258.8	pcrec_25b1984f_auto-nocaps-simdna	981.0	15.013144	10.676525	1.000000	5.335995	3.781777	3.790376	14942.983474	14934.899862	unsup	unsup	unsup	unsup	unsup
capability@0.1	email-local-nodup	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5321.7	libpcre2_10.46_jit-caps-simdna	5321.7	pcrec_25b1984f_auto-nocaps-simdna	10607.1	7.986336	6.292178	1.000000	3.494480	1.999039	1.993176	2.993885	3.031982	unsup	unsup	unsup	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	32.7	pcrec_25b1984f_auto-caps-simdna	48.2	pcrec_25b1984f_auto-nocaps-simdna	32.7	77.244084	847.061524	426.569073	68261.660575	1.476413	1.000000	137350.422144	137362.168080	10.455961	10.521683	3.288120	672155.555679	968.075076
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	975.5	pcrec_25b1984f_auto-caps-simdna	1429.6	pcrec_25b1984f_auto-nocaps-simdna	975.5	9.025944	3.251832	3.156792	5.196060	1.465460	1.000000	gave-up	gave-up	45.146160	45.645374	4.162407	209.773522	1.888972
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	27.3	re2_11.0.0_longest-caps-simdna	310.1	pcrec_25b1984f_auto-nocaps-simdna	27.3	57.929275	780.231705	71.495557	647.112110	157716.094337	1.000000	157117.112554	157117.715217	11.491101	11.378789	3.217626	375441.263877	6.230272
capability@0.1	evil-alt-nested	short-subject-search	plain							no-expectation	gave-up	gave-up	gave-up	gave-up	no-expectation	gave-up	gave-up	no-expectation	no-expectation	no-expectation	no-expectation	no-expectation
capability@0.1	file-ext-order	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	46454.2	libpcre2_10.46_jit-caps-simdna	76758.0	rust_1.13.1_default-caps-simdna	46454.2	24.429987	26.323661	1.652336	25.418071	6.301904	6.299301	83.019237	83.042131	5.393214	5.385392	1.000000	552.356176	1.823786
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	828.8	pcrec_25b1984f_auto-caps-simdna	852.6	pcrec_25b1984f_auto-nocaps-simdna	828.8	wrong	4.917112	3.387179	3.858149	1.028682	1.000000	5.886063	5.535724	9.221120	wrong	1.718851	wrong	2.989522
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1788992.7	pcrec_25b1984f_auto-caps-simdna	1789282.2	pcrec_25b1984f_auto-nocaps-simdna	1788992.7	10.403280	8.468646	1.189603	7.434646	1.000162	1.000000	10.544671	10.673695	unsup	unsup	unsup	unsup	unsup
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2483.2	pcrec_25b1984f_auto-caps-simdna	2487.3	pcrec_25b1984f_auto-nocaps-simdna	2483.2	2.359358	2.210961	1.402346	8.240385	1.001626	1.000000	7.986147	8.088409	unsup	unsup	unsup	unsup	unsup
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23114.5	pcrec_25b1984f_auto-caps-simdna	23114.5	pcrec_25b1984f_auto-nocaps-simdna	23139.1	1.005550	1.005576	2.247722	96.413895	1.000000	1.001067	35.270367	35.233659	1.027685	1.029726	1.013329	1.005068	1.400482
capability@0.1	floor-byte	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	665.2	pcrec_25b1984f_auto-caps-simdna	667.2	pcrec_25b1984f_auto-nocaps-simdna	665.2	3.423648	3.882645	4.558006	6.610258	1.003055	1.000000	2.034626	1.950230	11.273136	11.293928	1.846469	3.146915	3.068135
capability@0.1	high-byte-run	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	64041.8	libpcre2_10.46_jit-caps-simdna	407488.7	vectorscan_5.4.11_block-nosom-nocaps-simd	64041.8	15.812086	15.892892	6.362857	31.779189	7.541762	7.544066	31.781104	31.787305	34.931052	35.035522	38.164157	wrong	1.000000
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1105.3	pcrec_25b1984f_auto-caps-simdna	1119.7	pcrec_25b1984f_auto-nocaps-simdna	1105.3	2.960543	3.192833	3.044210	4.700461	1.013005	1.000000	2.594737	2.511763	8.760937	8.803630	wrong	wrong	2.391462
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	18.1	pcrec_25b1984f_auto-caps-simdna	18.7	rust_1.13.1_default-caps-simdna	18.1	4.508109	5.096592	7.943377	20.267822	1.034015	1.032727	224448.525376	224644.505754	15.824527	15.850898	1.000000	850419.480585	1.681421
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	493.0	pcrec_25b1984f_auto-caps-simdna	493.0	pcrec_25b1984f_auto-nocaps-simdna	494.1	5.562366	6.012841	6.117323	6.916789	1.000000	1.002239	12.819459	13.019231	13.829032	13.890136	2.911112	62.278229	1.928790
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	291.4	libpcre2_10.46_jit-caps-simdna	511780.6	vectorscan_5.4.11_block-nosom-nocaps-simd	291.4	10784.836405	11381.108095	1756.100756	13605.638414	2509.061687	2508.550564	14383.360565	14392.738474	8355.860239	8533.912531	1255.923072	101130.747430	1.000000
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	774.2	pcrec_25b1984f_auto-caps-simdna	774.2	pcrec_25b1984f_auto-nocaps-simdna	774.6	wrong	5.184871	3.711697	5.221302	1.000000	1.000515	6.029038	6.139066	10.271269	wrong	2.092005	wrong	3.445384
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	30.2	pcrec_25b1984f_auto-caps-simdna	30.2	pcrec_25b1984f_auto-nocaps-simdna	31.4	8.132818	8.665883	4.273798	3.238340	1.000000	1.040430	94386.001895	97213.860829	unsup	unsup	unsup	unsup	unsup
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	837.3	pcrec_25b1984f_auto-caps-simdna	844.3	pcrec_25b1984f_auto-nocaps-simdna	837.3	6.258298	5.922780	3.844808	6.006903	1.008403	1.000000	4.911767	4.921497	unsup	unsup	unsup	unsup	unsup
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	18.7	pcrec_25b1984f_auto-caps-simdna	30.3	pcrec_25b1984f_auto-nocaps-simdna	18.7	10.359922	13.397179	6.881561	5.200288	1.618124	1.000000	195264.034014	195457.393556	15.314400	15.356577	4.615664	1025681.232849	7.202456
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	492.7	pcrec_25b1984f_auto-caps-simdna	811.4	pcrec_25b1984f_auto-nocaps-simdna	492.7	9.299915	9.810819	6.532912	10.114404	1.646854	1.000000	9.765990	9.734250	16.013557	16.293697	3.171279	84.160559	2.334815
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	23119.1	pcrec_25b1984f_auto-caps-simdna	23138.5	pcrec_25b1984f_auto-nocaps-simdna	23119.1	1.006307	1.005127	1.732163	96.412180	1.000837	1.000000	35.217304	35.209930	1.028629	1.027910	refused	939.502641	1.367011
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	682.6	pcrec_25b1984f_auto-caps-simdna	682.6	pcrec_25b1984f_auto-nocaps-simdna	683.2	4.186074	4.138073	4.328278	6.477720	1.000000	1.000847	2.231406	2.220741	11.075806	11.029084	refused	wrong	2.995484
capability@0.1	negation-scope-lookbehind-var	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51588.5	libpcre2_10.46_jit-caps-simdna	51588.5			gave-up	944.904161	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	negation-scope-lookbehind-var	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3119.1	libpcre2_10.46_jit-caps-simdna	3119.1			gave-up	2.944491	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	52006.5	libpcre2_10.46_jit-caps-simdna	52006.5	libpcre2_10.46_dfa-nocaps-simdna	2105602.6	40.487263	51.634501	1.000000	28.817137	150.118018	150.162913	150.137531	149.793325	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3232.4	libpcre2_10.46_jit-caps-simdna	3232.4	libpcre2_10.46_dfa-nocaps-simdna	6937.2	2.146135	1.618442	1.000000	1.380334	2.883156	2.879093	2.873151	2.881753	unsup	unsup	unsup	unsup	unsup
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	15.2	pcrec_25b1984f_auto-caps-simdna	27.8	pcrec_25b1984f_auto-nocaps-simdna	15.2	5.283613	6.197865	8.161389	6.271263	1.828798	1.000000	267562.816712	268332.423052	18.857885	18.754358	5.696333	571998.037222	11.021982
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	470.7	pcrec_25b1984f_auto-caps-simdna	834.5	pcrec_25b1984f_auto-nocaps-simdna	470.7	28.128895	72286.860902	6614.031194	26748.272896	1.772945	1.000000	19624.323597	19770.201191	20.517760	20.402504	5.680846	28.245657	4.172055
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	15.2	pcrec_25b1984f_auto-caps-simdna	28.5	pcrec_25b1984f_auto-nocaps-simdna	15.2	5.315455	6.179904	8.149340	6.217835	1.872658	1.000000	253566.608062	253621.694241	18.779708	18.796222	5.695361	569874.867269	10.959868
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	480.6	pcrec_25b1984f_auto-caps-simdna	902.4	pcrec_25b1984f_auto-nocaps-simdna	480.6	31.632275	83178.204138	8105.538875	34734.119293	1.877626	1.000000	20775.826466	20757.929525	20.838257	21.026403	6.179100	31.221035	4.128119
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2212527.9	libpcre2_10.46_jit-caps-simdna	2212527.9	pcrec_25b1984f_auto-nocaps-simdna	7588174.4	unsup	9.188432	1.000000	6.543550	3.232773	3.429640	3.216614	3.439455	unsup	unsup	unsup	13.090820	unsup
capability@0.1	phone-palindrome-6	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4545.7	libpcre2_10.46_jit-caps-simdna	4545.7	pcrec_25b1984f_auto-nocaps-simdna	7559.1	unsup	3.857302	1.000000	5.004846	1.589507	1.662892	1.586604	1.720601	unsup	unsup	unsup	6.708264	unsup
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	222.2	pcrec_25b1984f_auto-caps-simdna	225.0	pcrec_25b1984f_auto-nocaps-simdna	222.2	54.486890	23.278480	5.094864	18.221158	1.012654	1.000000	16554.862415	16541.995905	unsup	unsup	unsup	unsup	unsup
capability@0.1	pwd-strength-chain	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	8323.2	libpcre2_10.46_jit-caps-simdna	8323.2	pcrec_25b1984f_auto-nocaps-simdna	12651.4	11.474081	4.338114	1.000000	4.328622	1.490098	1.520022	1.740342	1.766804	unsup	unsup	unsup	unsup	unsup
capability@0.1	quoted-delim-match	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	460903.3	libpcre2_10.46_jit-caps-simdna	460903.3	pcrec_25b1984f_auto-nocaps-simdna	9769774.0	unsup	9.125004	1.000000	8.326746	21.925777	21.197015	21.881508	21.909161	unsup	unsup	unsup	unsup	unsup
capability@0.1	quoted-delim-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3317.1	libpcre2_10.46_jit-caps-simdna	3317.1	pcrec_25b1984f_auto-nocaps-simdna	11161.3	unsup	2.523402	1.000000	2.138969	3.424547	3.364786	3.442560	3.469907	unsup	unsup	unsup	unsup	unsup
