# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.1, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: altwide@0.1; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
altwide@0.1	nar4-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	422646.1	9.899286	1.000000	refused	refused	refused	refused
altwide@0.1	nar4-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	1862350.2	65.710951	4.085416	1.001992	1.000000	82.027621	81.474777
altwide@0.1	nar4-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1396.4	1.000000	1.007177	excluded	excluded	excluded	excluded
altwide@0.1	nar4-64	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	568.2	excluded	excluded	1.000686	1.000000	12.137934	12.113866
altwide@0.1	nar4-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	4381.5	124.777342	8.244439	1.001756	1.000000	184.358493	184.033354
altwide@0.1	pfx3-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	809667.0	330.446663	1.000000	refused	refused	refused	refused
altwide@0.1	pfx3-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	11508.5	1.007161	1.000000	refused	refused	refused	refused
altwide@0.1	pfx3-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	7498.8	147.067057	1.000000	refused	refused	refused	refused
altwide@0.1	s-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2613118634.0	7.081636	1.000000	refused	refused	refused	refused
altwide@0.1	s-2048	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	395382.8	1.000133	1.000000	refused	refused	refused	refused
altwide@0.1	s-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13749619.5	6.876100	1.000000	refused	refused	refused	refused
altwide@0.1	s-4096	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	19125723570.0	1.933061	1.000000	refused	refused	refused	refused
altwide@0.1	s-4096	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	798064.7	1.003009	1.000000	refused	refused	refused	refused
altwide@0.1	s-4096	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	98725737.8	1.858899	1.000000	refused	refused	refused	refused
altwide@0.1	sfx-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	585299761.0	8.038216	1.000000	refused	refused	refused	refused
altwide@0.1	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15392.2	1.000000	1.001174	refused	refused	refused	refused
altwide@0.1	sfx-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2353421.3	7.970863	1.000000	refused	refused	refused	refused
altwide@0.1	sfx-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	3108108.6	193.154153	10.878468	1.001149	1.000000	105.620941	105.108893
altwide@0.1	sfx-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2317.9	1.005946	1.000000	excluded	excluded	excluded	excluded
altwide@0.1	sfx-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	626.4	excluded	excluded	1.000000	1.001770	20.385177	20.502775
altwide@0.1	sfx-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7590.6	312.519251	18.098767	1.001129	1.000000	230.407572	230.138830
altwide@0.1	sh1-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	22876377.3	10.650597	1.000000	refused	refused	refused	refused
altwide@0.1	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11125.0	1.000000	1.000703	refused	refused	refused	refused
altwide@0.1	sh1-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	120723.1	10.608952	1.000000	refused	refused	refused	refused
altwide@0.1	sh1-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	455307.0	72.358241	3.842311	1.000000	1.000276	25.653013	25.582335
altwide@0.1	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2556.2	1.006850	1.000000	excluded	excluded	excluded	excluded
altwide@0.1	sh1-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	534.4	excluded	excluded	1.000000	1.000641	1.207341	1.386186
altwide@0.1	sh1-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1419.7	122.889239	7.083660	1.000000	1.000303	43.703789	43.719571
altwide@0.1	srt-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	583399010.0	7.783408	1.000000	refused	refused	refused	refused
altwide@0.1	srt-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	105027.3	1.003563	1.000000	refused	refused	refused	refused
altwide@0.1	srt-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2538526.6	7.763327	1.000000	refused	refused	refused	refused
altwide@0.1	w-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1193165816.0	7.743434	1.000000	refused	refused	refused	refused
altwide@0.1	w-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	181005.3	1.000000	1.000036	refused	refused	refused	refused
altwide@0.1	w-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4805938.4	7.944292	1.000000	refused	refused	refused	refused
altwide@0.1	w-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	3045669017.0	6.058256	1.000000	refused	refused	refused	refused
altwide@0.1	w-2048	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	350730.7	1.000966	1.000000	refused	refused	refused	refused
altwide@0.1	w-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	10537308.1	6.701696	1.000000	refused	refused	refused	refused
altwide@0.1	w-256	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2920132.0	799.642438	83.438968	1.002722	1.000000	659.273405	652.947670
altwide@0.1	w-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	50057.0	1.000641	1.000000	refused	refused	excluded	excluded
altwide@0.1	w-256	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	100778.3	excluded	excluded	refused	refused	1.014799	1.000000
altwide@0.1	w-256	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7603.4	1327.243134	143.526490	1.000680	1.000000	1176.662094	1167.041565
altwide@0.1	w-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	590741367.0	7.875016	1.000000	refused	refused	refused	refused
altwide@0.1	w-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	95680.6	1.000359	1.000000	refused	refused	refused	refused
altwide@0.1	w-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2551915.5	7.880591	1.000000	refused	refused	refused	refused
altwide@0.1	w-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	3433795.6	164.541191	9.876796	1.000000	1.000576	89.369223	89.544511
altwide@0.1	w-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	14253.4	1.000000	1.002224	excluded	excluded	excluded	excluded
altwide@0.1	w-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	845.0	excluded	excluded	1.000000	1.003327	18.658220	18.221280
altwide@0.1	w-64	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	7303.3	345.444510	20.903379	1.000184	1.000000	200.891560	201.921912
altwide@0.1	w-8	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	2238004.9	12.920466	1.471957	1.000498	1.000000	9.588597	9.559972
altwide@0.1	w-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2753.1	1.000000	1.004412	excluded	excluded	excluded	excluded
altwide@0.1	w-8	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	642.2	excluded	excluded	1.005611	1.000000	1.610616	1.757790
altwide@0.1	w-8	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	4405.2	29.040515	2.423791	1.000129	1.000000	23.010462	23.017846
altwide@0.1	wb-512	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	88707042.2	8.068487	1.000000	refused	refused	refused	refused
altwide@0.1	wb-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	96062.4	1.000000	1.070445	refused	refused	refused	refused
altwide@0.1	wb-512	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	459145.7	8.142736	1.000000	refused	refused	refused	refused
