# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=syntax, version=0.1, since=2026-09-01T00:00:00Z, until=2026-09-21T10:30:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-nocaps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,pcrec_d34c9131_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_auto-nocaps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
syntax@0.1	anc-dollar	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	779.7	pcrec_d34c9131_auto-caps-simdna	780.5	pcrec_d34c9131_auto-nocaps-simdna	779.7	4.140452	2.097019	1.002993	1.004394	1.876401	1.808954	1.001010	1.000000	1.888586	1.790872
syntax@0.1	anc-g-uc	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	18.7	pcrec_d34c9131_auto-caps-simdna	18.7	pcrec_25b1984f_auto-nocaps-simdna	18.8	4.788258	5.694199	1.011616	1.004793	65254.635737	65288.212438	1.000000	1.016942	65238.044349	65218.752393
syntax@0.1	anc-g-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1905.6	libpcre2_10.46_jit-caps-simdna	1905.6			1.002910	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-g-uc	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	256.8	pcrec_25b1984f_vm-in-caps-simdna	256.8	pcrec_d34c9131_auto-nocaps-simdna	431.1	excluded	excluded	1.682770	1.681849	1.033885	1.000000	1.682522	1.679021	1.040689	1.018295
syntax@0.1	anc-g-uc	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	312.8	pcrec_d34c9131_auto-caps-simdna	312.8	pcrec_d34c9131_auto-nocaps-simdna	313.2	6.373813	5.104318	1.013624	1.011976	3.342943	3.197679	1.000000	1.001392	3.337831	3.184418
syntax@0.1	anc-m-caret	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	189762.0	libpcre2_10.46_jit-caps-simdna	189762.0	pcrec_d34c9131_auto-nocaps-simdna	397076.4	16.970795	1.000000	2.090917	2.092643	6.252556	6.252208	2.090441	2.092497	6.248566	6.244100
syntax@0.1	anc-m-caret	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2355.2	libpcre2_10.46_jit-caps-simdna	2355.2			1.003824	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-m-caret	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	258.1	pcrec_25b1984f_vm-in-caps-simdna	258.1	pcrec_d34c9131_auto-nocaps-simdna	767.5	excluded	excluded	2.973279	3.002728	1.120682	1.000000	2.960603	2.973545	1.123701	1.016594
syntax@0.1	anc-m-caret	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	493.6	pcrec_25b1984f_auto-caps-simdna	494.5	pcrec_d34c9131_auto-nocaps-simdna	493.6	6.092314	3.550042	1.001771	1.006093	1.814610	1.672164	1.001812	1.000000	1.811034	1.676378
syntax@0.1	anc-m-dollar	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	220209.8	libpcre2_10.46_jit-caps-simdna	220209.8	pcrec_25b1984f_auto-nocaps-simdna	524059.6	13.524661	1.000000	2.384195	2.379820	8.034221	8.044545	2.392543	2.390902	8.008420	8.043253
syntax@0.1	anc-m-dollar	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1326.5	libpcre2_10.46_jit-caps-simdna	1326.5			1.013546	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-m-dollar	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	251.1	pcrec_25b1984f_vm-in-caps-simdna	251.1	pcrec_d34c9131_auto-nocaps-simdna	433.0	excluded	excluded	1.724618	1.753088	1.003594	1.000000	1.745459	1.724380	1.000767	1.022382
syntax@0.1	anc-m-dollar	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	762.0	pcrec_d34c9131_auto-caps-simdna	762.0	pcrec_d34c9131_auto-nocaps-simdna	762.2	4.213474	2.157282	1.010854	1.005278	1.635979	1.559589	1.000000	1.000320	1.636302	1.556027
syntax@0.1	anc-z-lc	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	212948.5	libpcre2_10.46_jit-caps-simdna	212948.5	pcrec_25b1984f_auto-nocaps-simdna	520860.8	13.841324	1.000000	2.443633	2.445947	8.318736	8.301123	2.457626	2.457195	8.296084	8.310814
syntax@0.1	anc-z-lc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1320.4	libpcre2_10.46_jit-caps-simdna	1320.4			1.019057	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-z-lc	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	251.0	pcrec_25b1984f_vm-in-caps-simdna	251.0	pcrec_25b1984f_auto-nocaps-simdna	432.9	excluded	excluded	1.723857	1.724602	1.049835	1.000000	1.726369	1.730098	1.049719	1.021809
syntax@0.1	anc-z-lc	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	686.2	pcrec_d34c9131_auto-caps-simdna	699.9	pcrec_d34c9131_auto-nocaps-simdna	686.2	4.616814	2.561875	1.022077	1.018605	1.808625	1.715448	1.020000	1.000000	1.815923	1.715554
syntax@0.1	anc-z-uc	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	211505.9	libpcre2_10.46_jit-caps-simdna	211505.9	pcrec_25b1984f_auto-nocaps-simdna	512652.4	14.009157	1.000000	2.423525	2.423821	10.338161	10.306583	2.424137	2.424510	10.357030	10.357839
syntax@0.1	anc-z-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1325.1	libpcre2_10.46_jit-caps-simdna	1325.1			1.014830	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-z-uc	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	251.2	pcrec_25b1984f_vm-caps-simdna	251.2	pcrec_d34c9131_auto-nocaps-simdna	434.9	excluded	excluded	1.725419	1.738706	1.000000	1.000913	1.723267	1.731417	1.000698	1.022037
syntax@0.1	anc-z-uc	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	779.5	pcrec_d34c9131_auto-caps-simdna	780.1	pcrec_d34c9131_auto-nocaps-simdna	779.5	4.137989	2.093537	1.005236	1.002100	1.893962	1.813634	1.000766	1.000000	1.889437	1.800987
syntax@0.1	asr-k-uc	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	95008.3	pcrec_25b1984f_auto-caps-simdna	95008.3	pcrec_25b1984f_auto-nocaps-simdna	95477.1	8.005363	1.521284	1.000000	1.004935	14.453332	18.654209	1.014159	1.011995	14.428989	18.640012
syntax@0.1	asr-k-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1465.0	libpcre2_10.46_jit-caps-simdna	1465.0			1.025817	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	asr-k-uc	match-compliance	whole-subject							excluded	excluded	wrong	wrong	wrong	wrong	wrong	wrong	wrong	wrong
syntax@0.1	asr-k-uc	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	538.2	pcrec_25b1984f_auto-caps-simdna	538.2	pcrec_d34c9131_auto-nocaps-simdna	538.7	3.067075	3.225290	1.000000	1.003910	2.042877	2.392763	1.000239	1.000856	2.040363	2.355220
syntax@0.1	asr-nwb	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	368396.5	libpcre2_10.46_jit-caps-simdna	368396.5	pcrec_d34c9131_auto-nocaps-simdna	1000968.8	7.590712	1.000000	2.724243	2.724603	12.717111	12.754175	2.718550	2.717097	12.744109	12.719467
syntax@0.1	asr-nwb	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1376.2	libpcre2_10.46_jit-caps-simdna	1376.2			1.015264	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	asr-nwb	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	223.5	pcrec_25b1984f_vm-in-caps-simdna	223.5	pcrec_25b1984f_auto-nocaps-simdna	415.8	excluded	excluded	1.866490	1.860138	1.222110	1.000000	1.861658	1.871807	1.220535	1.026437
syntax@0.1	asr-nwb	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	1105.4	pcrec_d34c9131_auto-caps-simdna	1107.5	pcrec_d34c9131_auto-nocaps-simdna	1105.4	2.085971	1.504784	1.002828	1.003201	1.637327	1.624846	1.001939	1.000000	1.636495	1.620533
syntax@0.1	asr-wb	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	392820.4	libpcre2_10.46_jit-caps-simdna	392820.4	pcrec_d34c9131_auto-nocaps-simdna	985619.0	7.821617	1.000000	2.528468	2.541516	12.305466	12.264727	2.512055	2.509083	12.289239	12.296149
syntax@0.1	asr-wb	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1440.1	libpcre2_10.46_jit-caps-simdna	1440.1			1.002615	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	asr-wb	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	266.7	pcrec_25b1984f_vm-in-caps-simdna	266.7	pcrec_25b1984f_auto-nocaps-simdna	438.8	excluded	excluded	1.653239	1.645449	1.111973	1.000000	1.664284	1.655957	1.105141	1.016974
syntax@0.1	asr-wb	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	1071.4	pcrec_d34c9131_auto-caps-simdna	1073.2	pcrec_d34c9131_auto-nocaps-simdna	1071.4	2.017725	1.608002	1.004924	1.009104	1.389470	1.389978	1.001626	1.000000	1.390756	1.391248
syntax@0.1	bak-1	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12779433.1	libpcre2_10.46_jit-caps-simdna	12779433.1	pcrec_25b1984f_auto-nocaps-simdna	15843669.8	7.684477	1.000000	1.266883	1.239779	1.263495	1.266649	1.267102	1.240340	1.265684	1.273075
syntax@0.1	bak-1	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2831.2	libpcre2_10.46_jit-caps-simdna	2831.2			1.021362	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	bak-1	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	482.5	pcrec_25b1984f_auto-caps-simdna	497.1	pcrec_25b1984f_auto-nocaps-simdna	482.5	excluded	excluded	1.030199	1.000000	1.030790	1.172686	1.039014	1.007219	1.038825	1.179542
syntax@0.1	bak-1	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5422.6	libpcre2_10.46_jit-caps-simdna	5422.6	pcrec_d34c9131_auto-nocaps-simdna	7220.8	6.144235	1.000000	1.321379	1.333301	1.320581	1.351494	1.319035	1.331628	1.317969	1.354750
syntax@0.1	bak-2	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	9965626.6	libpcre2_10.46_jit-caps-simdna	9965626.6	pcrec_d34c9131_auto-nocaps-simdna	13386379.2	9.902203	1.000000	1.367925	1.348617	1.360397	1.777384	1.367669	1.343255	1.375476	1.691220
syntax@0.1	bak-2	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4640.5	libpcre2_10.46_interp-caps-simdna	4640.5			1.000000	1.000411	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	bak-2	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	425.5	pcrec_25b1984f_auto-caps-simdna	425.5	pcrec_25b1984f_auto-nocaps-simdna	430.7	excluded	excluded	1.000000	1.012415	1.011795	1.243010	1.017713	1.028084	1.005524	1.265748
syntax@0.1	bak-2	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5228.1	libpcre2_10.46_jit-caps-simdna	5228.1	pcrec_d34c9131_auto-nocaps-simdna	6585.8	8.203820	1.000000	1.496519	1.278142	1.494841	1.511358	1.528318	1.259694	1.525735	1.392220
syntax@0.1	bak-g-rel	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12803377.6	libpcre2_10.46_jit-caps-simdna	12803377.6	pcrec_d34c9131_auto-nocaps-simdna	15981747.0	7.742105	1.000000	1.247803	1.250687	1.248791	1.270782	1.264266	1.248245	1.263309	1.263727
syntax@0.1	bak-g-rel	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2851.7	libpcre2_10.46_jit-caps-simdna	2851.7			1.000591	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	bak-g-rel	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	481.4	pcrec_25b1984f_auto-caps-simdna	495.5	pcrec_25b1984f_auto-nocaps-simdna	481.4	excluded	excluded	1.029376	1.000000	1.033556	1.176816	1.043231	1.006094	1.041520	1.182950
syntax@0.1	bak-g-rel	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5410.6	libpcre2_10.46_jit-caps-simdna	5410.6	pcrec_d34c9131_auto-nocaps-simdna	7216.7	6.169764	1.000000	1.324627	1.336765	1.324384	1.360493	1.323173	1.333813	1.319953	1.356337
syntax@0.1	bak-k-named	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	464541.4	libpcre2_10.46_jit-caps-simdna	464541.4	pcrec_d34c9131_auto-nocaps-simdna	1804324.7	2.734207	1.000000	3.911362	3.886183	3.909141	3.125986	3.904770	3.884099	3.901417	3.122083
syntax@0.1	bak-k-named	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1526.8	libpcre2_10.46_interp-caps-simdna	1526.8			1.000000	1.024265	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
syntax@0.1	bak-k-named	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	262.6	pcrec_25b1984f_vm-caps-simdna	262.6	pcrec_25b1984f_auto-nocaps-simdna	263.3	excluded	excluded	1.002056	1.002560	1.000000	1.332989	1.023826	1.023567	1.020005	1.351805
syntax@0.1	bak-k-named	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	1149.5	pcrec_25b1984f_vm-in-caps-simdna	1149.5	pcrec_d34c9131_auto-nocaps-simdna	1305.3	1.454696	1.441638	1.148413	1.141612	1.153113	1.000000	1.148072	1.135532	1.145825	1.013791
syntax@0.1	bak-py	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12758094.4	libpcre2_10.46_jit-caps-simdna	12758094.4	pcrec_d34c9131_auto-nocaps-simdna	15873208.7	7.776853	1.000000	1.269832	1.254409	1.253692	1.261221	1.268254	1.244168	1.267231	1.249402
