# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-05T07:48:00Z, until=2026-09-05T08:00:00Z, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_noisland; source: store/index.tsv (2 record(s) matching this query); records: 2; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland; capture_class: yes=pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_noisland; no=; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_noisland
altwide@0.2	pfx3-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	443.5	pcrec_334fd10e_auto-caps-simdna	443.5			1.000000	1.003388
altwide@0.2	pfx3-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1219.9	pcrec_334fd10e_auto-caps-simdna_noisland	1219.9			1.000836	1.000000
altwide@0.2	pfx3-512									refused	refused
altwide@0.2	s-2048									refused	refused
altwide@0.2	s-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	2884310.7	pcrec_334fd10e_auto-caps-simdna_noisland	2884310.7			1.001624	1.000000
altwide@0.2	s-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	451.3	pcrec_334fd10e_auto-caps-simdna_noisland	451.3			1.001081	1.000000
altwide@0.2	s-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	8246.2	pcrec_334fd10e_auto-caps-simdna_noisland	8246.2			1.000749	1.000000
altwide@0.2	s-4096									refused	refused
altwide@0.2	s-512	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	3182411.5	pcrec_334fd10e_auto-caps-simdna	3182411.5			1.000000	1.000414
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	455.3	pcrec_334fd10e_auto-caps-simdna	455.3			1.000000	1.001250
altwide@0.2	s-512	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	8265.3	pcrec_334fd10e_auto-caps-simdna_noisland	8265.3			1.001572	1.000000
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	2898256.7	pcrec_334fd10e_auto-caps-simdna_noisland	2898256.7			1.003669	1.000000
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	448.0	pcrec_334fd10e_auto-caps-simdna	448.0			1.000000	1.008263
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	8222.0	pcrec_334fd10e_auto-caps-simdna	8222.0			1.000000	1.001099
altwide@0.2	sfx-512									refused	refused
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	3124759.3	pcrec_334fd10e_auto-caps-simdna	3124759.3			1.000000	1.000323
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	446.7	pcrec_334fd10e_auto-caps-simdna	446.7			1.000000	1.001685
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	8091.8	pcrec_334fd10e_auto-caps-simdna	8091.8			1.000000	1.000822
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	501134.0	pcrec_334fd10e_auto-caps-simdna_noisland	501134.0			1.001076	1.000000
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	442.5	pcrec_334fd10e_auto-caps-simdna_noisland	442.5			1.008933	1.000000
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1501.1	pcrec_334fd10e_auto-caps-simdna_noisland	1501.1			1.000095	1.000000
altwide@0.2	sh1-512									refused	refused
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	455687.2	pcrec_334fd10e_auto-caps-simdna	455687.2			1.000000	1.000999
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	422.0	pcrec_334fd10e_auto-caps-simdna	422.0			1.000000	1.001571
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	1467.8	pcrec_334fd10e_auto-caps-simdna_noisland	1467.8			1.008580	1.000000
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	2905532.1	pcrec_334fd10e_auto-caps-simdna_noisland	2905532.1			1.002208	1.000000
altwide@0.2	srt-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	7616.3	pcrec_334fd10e_auto-caps-simdna	7616.3			1.000000	1.001773
altwide@0.2	srt-512									refused	refused
altwide@0.2	w-1024									refused	refused
altwide@0.2	w-128	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	3115332.3	pcrec_334fd10e_auto-caps-simdna	3115332.3			1.000000	1.000149
altwide@0.2	w-128	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	505.5	pcrec_334fd10e_auto-caps-simdna	505.5			1.000000	1.001070
altwide@0.2	w-128	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	7583.0	pcrec_334fd10e_auto-caps-simdna	7583.0			1.000000	1.000320
altwide@0.2	w-192	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	3114421.4	pcrec_334fd10e_auto-caps-simdna_noisland	3114421.4			1.001974	1.000000
altwide@0.2	w-192	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	502.3	pcrec_334fd10e_auto-caps-simdna_noisland	502.3			1.006525	1.000000
altwide@0.2	w-192	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	7594.4	pcrec_334fd10e_auto-caps-simdna_noisland	7594.4			1.000375	1.000000
altwide@0.2	w-2048									refused	refused
altwide@0.2	w-256	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	2899328.6	pcrec_334fd10e_auto-caps-simdna	2899328.6			1.000000	1.001055
altwide@0.2	w-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	7617.8	pcrec_334fd10e_auto-caps-simdna_noisland	7617.8			1.000919	1.000000
altwide@0.2	w-384									refused	refused
altwide@0.2	w-512									refused	refused
altwide@0.2	w-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	3411706.9	pcrec_334fd10e_auto-caps-simdna_noisland	3411706.9			1.004049	1.000000
altwide@0.2	w-64	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	498.2	pcrec_334fd10e_auto-caps-simdna_noisland	498.2			1.010190	1.000000
altwide@0.2	w-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	7420.4	pcrec_334fd10e_auto-caps-simdna_noisland	7420.4			1.000552	1.000000
altwide@0.2	w-8	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	2256567.5	pcrec_334fd10e_auto-caps-simdna_noisland	2256567.5			1.000514	1.000000
altwide@0.2	w-8	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	464.6	pcrec_334fd10e_auto-caps-simdna_noisland	464.6			1.004014	1.000000
altwide@0.2	w-8	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_noisland	4648.0	pcrec_334fd10e_auto-caps-simdna_noisland	4648.0			1.000760	1.000000
altwide@0.2	w-96	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_noisland	3132478.6	pcrec_334fd10e_auto-caps-simdna_noisland	3132478.6			1.001915	1.000000
altwide@0.2	w-96	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_noisland	525.4	pcrec_334fd10e_auto-caps-simdna_noisland	525.4			1.001608	1.000000
altwide@0.2	w-96	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	7577.8	pcrec_334fd10e_auto-caps-simdna	7577.8			1.000000	1.000306
altwide@0.2	wb-256									refused	refused
altwide@0.2	wb-512									refused	refused
