# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=altwide, version=0.2, since=2026-09-01T00:00:00Z, until=2026-09-21T07:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_334fd10e_auto-nocaps-simdna, testee=pcrec_334fd10e_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (10 record(s) matching this query); records: 10; subbench_versions: altwide@0.2; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_334fd10e_auto-nocaps-simdna,pcrec_334fd10e_vm-in-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_334fd10e_auto-nocaps-simdna	pcrec_334fd10e_vm-in-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna
altwide@0.2	s-512	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	379.7	excluded	excluded	1.195229	1.195512	1.000000	1.004547	1.205694	1.019774	1.203514	1.002478
altwide@0.2	s-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	8267.8	2923.761537	373.387177	1.000496	1.000000	7.469670	7.446605	1.000428	7.435880	1.000928	7.304890
altwide@0.2	sfx-256	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	2898317.8	808.151277	82.817692	1.003449	1.006387	5.646878	5.637913	1.000000	5.659979	1.002281	5.643717
altwide@0.2	sfx-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	8331.7	1.008259	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	360.9	excluded	excluded	1.268262	1.250586	1.002913	1.046947	1.260138	1.061859	1.264739	1.000000
altwide@0.2	sfx-256	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	8220.1	1208.241187	127.565885	1.003906	1.000256	6.366932	6.466209	1.000000	6.463271	1.001184	6.357077
altwide@0.2	sfx-512	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3173913.4	1467.864044	184.760569	1.004090	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15487.4	1.000000	1.006240	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-512	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	8923.5	excluded	excluded	1.000000	1.000867	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	8248.0	2385.035006	300.045123	1.000000	1.001183	refused	refused	refused	refused	refused	refused
altwide@0.2	sfx-64	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3123459.1	195.706214	10.869441	1.001698	1.000000	4.414738	4.432703	1.001331	4.418390	1.001988	4.418895
altwide@0.2	sfx-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2369.3	1.000000	1.006662	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sfx-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	356.3	excluded	excluded	1.257403	1.248690	1.007354	1.125947	1.253400	1.142411	1.252953	1.000000
altwide@0.2	sfx-64	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	8090.0	307.624162	21.034778	1.002773	1.001043	6.940153	6.992253	1.000000	6.931177	1.001261	6.983148
altwide@0.2	sh1-256	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	498114.3	246.587278	19.017548	1.000862	1.000000	5.281354	5.303037	1.006573	5.277905	1.006730	5.295258
altwide@0.2	sh1-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6280.9	1.012695	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-256	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	338.1	excluded	excluded	1.324109	1.325636	1.000000	1.066737	1.312615	1.083349	1.329455	1.006455
altwide@0.2	sh1-256	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1489.6	462.116766	34.946983	1.000000	1.003658	9.529962	9.519214	1.008624	9.481565	1.009905	9.542654
altwide@0.2	sh1-512	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	555001.4	440.289600	41.169699	1.000000	1.002599	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	11146.8	1.000000	1.005600	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-512	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	2189.9	excluded	excluded	1.000000	1.002260	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1507.5	895.957092	84.464889	1.000000	1.002472	refused	refused	refused	refused	refused	refused
altwide@0.2	sh1-64	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	451806.9	72.338343	3.972639	1.000558	1.000000	5.958450	5.927705	1.009704	6.079674	1.010628	5.976758
altwide@0.2	sh1-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2628.2	1.001501	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	sh1-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	338.3	excluded	excluded	1.262791	1.268039	1.000000	1.098756	1.247117	1.114510	1.254996	1.003525
altwide@0.2	sh1-64	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1461.5	125.813725	7.385457	1.000000	1.002914	10.537399	10.494805	1.007734	10.506385	1.011060	9.262808
altwide@0.2	srt-256	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	2903220.2	789.745836	84.514653	1.000000	1.005534	5.471813	5.479182	1.005434	5.473874	1.000877	5.493777
altwide@0.2	srt-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	56706.2	1.000141	1.000000	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	srt-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	382.4	excluded	excluded	23.578849	23.487591	1.011259	1.051665	refused	1.065350	refused	1.000000
altwide@0.2	srt-256	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	7610.5	1374.837399	156.953953	1.001027	1.000000	5.829010	5.837442	1.001429	5.821527	1.001307	5.834053
altwide@0.2	srt-512	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	4100226.8	1107.865309	142.767208	1.002908	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	srt-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	112185.3	1.000000	1.002536	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	srt-512	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	14886.1	excluded	excluded	1.000000	1.002127	refused	refused	refused	refused	refused	refused
altwide@0.2	srt-512	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	13684.5	1521.533430	195.321847	1.000746	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	w-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1193710872.0	7.743314	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	194477.3	1.000000	1.000965	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5097629.2	7.913849	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-128	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	3114195.5	370.133704	26.924275	1.010600	1.000891	4.722969	4.657030	1.001063	4.679389	1.000000	4.749253
altwide@0.2	w-128	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	27694.0	1.000222	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	w-128	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	367.9	excluded	excluded	1.397173	1.387278	1.004694	1.066811	1.370630	1.081153	1.393874	1.000000
altwide@0.2	w-128	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7584.5	703.983636	53.099026	1.003090	1.001035	5.611387	5.648575	1.000838	5.634458	1.000000	5.609658
altwide@0.2	w-192	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3105784.5	554.445390	53.479841	1.003539	1.000000	5.110166	5.114609	1.004015	5.109009	1.011795	5.126027
altwide@0.2	w-192	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	40106.0	1.000098	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	w-192	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	384.6	excluded	excluded	1.327491	1.333381	1.000000	1.023566	1.306736	1.037401	1.328343	1.000787
altwide@0.2	w-192	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	7596.6	1044.330504	104.620666	1.000849	1.001131	5.945813	5.960169	1.000000	5.979844	1.002341	5.947264
altwide@0.2	w-2048	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	3096624395.0	5.969307	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-2048	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	377102.2	1.001027	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-2048	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	11547658.0	6.480261	1.000000	refused	refused	refused	refused	refused	refused	refused	refused
altwide@0.2	w-256	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	2900625.5	809.049889	82.200963	1.009296	1.006359	5.478720	5.482865	1.000920	5.478707	1.000000	5.482513
altwide@0.2	w-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	53454.8	1.005552	1.000000	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	w-256	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	382.2	excluded	excluded	23.513721	23.503197	1.003906	1.051448	refused	1.066812	refused	1.000000
altwide@0.2	w-256	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	7610.3	1400.537674	150.606555	1.001878	1.001578	5.828786	5.828868	1.002165	5.827667	1.000000	5.820835
altwide@0.2	w-384	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	3020842.6	1155.972257	136.137785	1.000000	1.007690	5.544720	5.486770	refused	5.539609	refused	5.565158
altwide@0.2	w-384	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	76997.9	1.000931	1.000000	excluded	excluded	excluded	excluded	refused	excluded	refused	excluded
altwide@0.2	w-384	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	391.1	excluded	excluded	37.904402	37.805927	1.000000	1.032102	refused	1.045857	refused	1.015086
altwide@0.2	w-384	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	7627.9	2081.889906	248.167112	1.002509	1.000000	7.001136	6.957393	refused	6.897661	refused	6.930293
altwide@0.2	w-512	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	4101746.1	1133.457603	143.366705	1.001670	1.000000	refused	refused	refused	refused	refused	refused
altwide@0.2	w-512	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	102346.8	1.000000	1.002173	excluded	excluded	refused	refused	refused	refused	refused	refused
altwide@0.2	w-512	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	14884.5	excluded	excluded	1.000000	1.000247	refused	refused	refused	refused	refused	refused
altwide@0.2	w-512	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	13677.8	1545.623348	196.479766	1.000000	1.000652	refused	refused	refused	refused	refused	refused
altwide@0.2	w-64	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3407831.3	166.352872	9.952730	1.002377	1.001433	3.871811	3.862496	1.000000	3.864839	1.002563	3.868012
altwide@0.2	w-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	15229.1	1.000000	1.000350	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	w-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	408.3	excluded	excluded	1.236739	1.244988	1.000000	1.014505	1.227507	1.027552	1.234039	1.004970
altwide@0.2	w-64	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	7424.7	357.041144	22.041833	1.000783	1.001273	6.321042	6.314702	1.000000	6.298769	1.000359	6.287193
altwide@0.2	w-8	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	2252692.7	12.764232	1.463339	1.002399	1.001405	4.075084	4.087227	1.000000	4.074572	1.001582	4.073178
altwide@0.2	w-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2991.2	1.000000	1.004107	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	w-8	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	370.8	excluded	excluded	1.162873	1.160574	1.000701	1.051368	1.257737	1.065402	1.161172	1.000000
altwide@0.2	w-8	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	4653.8	29.096013	2.443143	1.000939	1.001791	6.842024	6.829652	1.000000	6.842955	1.001305	6.858592
altwide@0.2	w-96	large-subject-throughput	plain	pcrec_334fd10e_auto-nocaps-simdna	3127120.0	276.734046	24.332504	1.001895	1.004010	4.548735	4.511407	1.000000	4.513907	1.004366	4.508879
altwide@0.2	w-96	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	21495.5	1.000000	1.001735	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
altwide@0.2	w-96	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	396.5	excluded	excluded	1.248666	1.255729	1.000000	1.080077	1.324526	1.094211	1.255553	1.000667
altwide@0.2	w-96	short-subject-search	plain	pcrec_334fd10e_auto-nocaps-simdna	7575.5	532.305563	46.108608	1.000337	1.001114	6.648304	6.573152	1.000000	6.586592	1.001215	6.560642
altwide@0.2	wb-256	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3089467.6	120.722591	12.200680	1.000799	1.000000	2.312447	2.331449	refused	2.328065	refused	2.347498
