# reporter: v21 (2026-09-23); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; superseded: 0; newer_not_measured: 0; testees: oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_auto-nocaps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; capture_class: yes=oniguruma_6.9.10_default-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_8d716693_auto-caps-simdna,pcrec_8d716693_vm-caps-simdna,pcrec_8d716693_vm-in-caps-simdna; no=pcrec_25b1984f_auto-nocaps-simdna,pcrec_8d716693_auto-nocaps-simdna,rust_1.13.1_default-caps-simdna,vectorscan_5.4.11_block-nosom-nocaps-simd; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99): best_testee/best_ns and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. This is a DIFFERENT number from the report's own class-pure ranking sections; matrix_page.py recomputes a class-pure ratio per its two split tables from this line plus each cell's own ratio x best_ns, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee	best_ns	oniguruma_6.9.10_default-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_8d716693_auto-caps-simdna	pcrec_8d716693_auto-nocaps-simdna	pcrec_8d716693_vm-caps-simdna	pcrec_8d716693_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna	vectorscan_5.4.11_block-nosom-nocaps-simd
capability@0.1	dup-param-detect	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1573.8	5.629609	6.861542	6.898113	6.909071	6.968176	1.002684	1.000000	1.001333	1.042044	unsup	unsup
capability@0.1	email-local-nodup	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	916.4	1.504138	1.070094	1.066314	4215.514414	4221.408217	1.062993	1.066958	1.000000	1.022022	unsup	unsup
capability@0.1	email-local-nodup	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	10539.4	1.758716	1.009179	1.010342	1.512871	1.530093	1.000000	1.000018	1.050504	1.098319	unsup	unsup
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	32.0	69657.179889	1.478357	1.000000	140100.830931	140106.015756	722.529888	723.527241	723.986904	723.400289	3.365158	989.353226
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	645.2	7.837179	2.225832	1.512989	gave-up	gave-up	1.403965	1.000000	1.291407	1.388072	6.278639	2.869849
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	24.4	720.721076	175341.705864	1.103204	175332.759739	175267.384786	496.529220	1.000000	490.586933	491.737955	3.590106	6.952690
capability@0.1	evil-alt-nested	short-subject-search	plain			gave-up	gave-up	no-expectation	gave-up	gave-up	gave-up	no-expectation	gave-up	gave-up	no-expectation	no-expectation
capability@0.1	file-ext-order	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	46487.5	25.385467	6.297765	6.290147	82.906445	82.952716	6.296519	6.297660	91.868765	91.808980	1.000000	1.823121
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	745.3	4.252466	1.125361	1.157143	6.328034	6.150204	1.000000	1.002589	3.444565	3.726246	1.902346	3.322467
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1790225.4	7.459946	1.000743	1.000000	10.553677	10.636174	1.083543	1.079537	12.366315	12.333607	unsup	unsup
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1632.6	12.574792	1.524826	1.532646	12.152069	12.303918	1.006983	1.000000	3.371722	3.454849	unsup	unsup
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	23088.0	96.562459	1.002371	1.001665	35.259840	35.267620	1.001097	1.002900	1.000000	1.002026	1.014320	1.402030
capability@0.1	floor-byte	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	599.0	7.340737	1.114831	1.112249	2.262704	2.168124	1.000000	1.001741	1.108753	1.095832	2.045884	3.407828
capability@0.1	high-byte-run	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	64145.5	31.722605	7.531809	7.530017	31.730544	31.713312	7.527221	7.532739	31.725634	31.735523	38.098364	1.000000
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1095.9	4.742704	1.037572	1.016384	2.614051	2.521960	1.000000	1.018453	2.613582	2.521348	wrong	2.452565
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	17.9	20.652817	1.047204	1.044189	226654.102659	226583.246811	1.391082	1.386981	1.585880	1.922933	1.000000	1.695317
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	492.1	6.976875	1.000000	1.009991	13.020764	12.990145	1.273851	1.274165	2.003313	2.075566	2.948585	1.933476
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	290.0	13646.300909	2520.714246	2521.639713	14417.392128	14457.594841	2670.943090	2672.150718	14767.117330	14779.327096	1221.808976	1.000000
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	774.4	5.218059	1.000186	1.000000	6.084501	6.127044	1.036071	1.033884	3.008770	3.100720	2.082049	3.451957
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	30.0	3.267672	1.000000	1.076327	95130.122230	94855.659579	1.383229	1.344098	1.452100	1.638442	unsup	unsup
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_8d716693_vm-caps-simdna	836.8	5.995284	1.018344	1.002272	4.926611	4.928123	1.047316	1.027522	1.000000	1.136435	unsup	unsup
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	18.8	5.206501	1.615192	1.000000	194953.871625	194875.143615	2.154552	1.598302	2.075182	2.419710	4.700361	8.600684
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	492.6	10.180584	1.643274	1.000000	9.778333	9.722932	1.742896	1.340628	1.643122	1.811055	3.215241	2.406172
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	23114.2	96.414028	1.000519	1.001380	35.221945	35.237727	1.000000	1.001351	1.000573	1.001243	refused	1.367866
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	619.1	7.153191	1.116319	1.120512	2.459591	2.447985	1.000000	1.000295	1.081170	1.102847	refused	3.296237
capability@0.1	negation-scope-lookbehind-var					unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	1498979.2	1.000000	5.202284	5.208989	5.203129	5.203248	6.222288	6.188179	6.238154	6.501931	unsup	unsup
capability@0.1	nested-comment-rec	short-subject-search	plain	pcrec_8d716693_vm-in-caps-simdna	2228.8	1.999426	4.168072	4.170558	4.164648	4.067846	1.195563	1.192929	1.213208	1.000000	unsup	unsup
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	14.3	6.585064	1.927554	1.059069	283574.648250	284719.878810	1.929093	1.000000	2.727822	3.194956	5.949453	11.636427
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	470.1	26704.667665	1.799877	1.000287	19646.791423	19656.320859	1.754268	1.000000	19887.110196	19862.939524	5.670799	4.169368
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	14.3	6.597252	1.993864	1.059087	270819.981138	270631.173991	1.983366	1.000000	2.737731	3.129287	6.143435	11.693994
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	477.4	34971.287247	1.874169	1.006183	20927.631467	20889.368404	1.904621	1.000000	21087.240576	21106.003079	6.201058	4.159825
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	6585253.9	2.200881	1.000000	1.143325	1.057577	1.133998	1.084605	1.144178	1.000204	1.068915	unsup	unsup
capability@0.1	phone-palindrome-6	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	7031.5	3.254135	1.058887	1.080273	1.053149	1.107627	1.000000	1.059202	1.007795	1.089289	unsup	unsup
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	221.3	18.319439	1.001855	1.004947	16632.623334	16626.449288	1.001809	1.000000	7.399539	7.442220	unsup	unsup
capability@0.1	pwd-strength-chain	short-subject-search	plain	pcrec_8d716693_vm-caps-simdna	10831.8	3.358013	1.143174	1.143324	1.335139	1.358937	1.117711	1.125070	1.000000	1.015358	unsup	unsup
capability@0.1	quoted-delim-match	large-subject-throughput	plain	oniguruma_6.9.10_default-caps-simdna	3862308.4	1.000000	2.609349	2.571496	2.628832	2.620301	2.623326	2.535255	2.612761	2.617077	unsup	unsup
capability@0.1	quoted-delim-match	short-subject-search	plain	oniguruma_6.9.10_default-caps-simdna	7091.1	1.000000	1.600543	1.593066	1.597523	1.633535	1.600983	1.589620	1.597708	1.624301	unsup	unsup
capability@0.1	router-prefix-order	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	1245.7	1092.840885	316.096989	316.290623	3265.969374	3265.445216	319.842593	320.107012	3251.631790	3250.946480	48.553102	1.000000
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	750.3	3.747564	1.046384	1.044083	6.152547	6.123802	1.000000	1.001358	3.114380	3.223720	1.744500	3.073517
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	pcrec_8d716693_vm-in-caps-simdna	23113.9	96.442516	194.585516	202.707224	195.001690	194.195891	1.001174	1.001984	1.002735	1.000000	unsup	unsup
capability@0.1	tag-depth3-bound	short-subject-search	plain	pcrec_8d716693_vm-in-caps-simdna	2004.7	3.281121	3.656576	3.470875	3.638771	3.520552	1.088967	1.090119	1.092323	1.000000	unsup	unsup
capability@0.1	tag-pair-match	large-subject-throughput	plain	pcrec_8d716693_vm-caps-simdna	23116.5	96.376488	201.226490	200.671413	201.043571	201.209979	1.000502	1.001864	1.000000	1.001192	unsup	unsup
capability@0.1	tag-pair-match	short-subject-search	plain	pcrec_8d716693_vm-caps-simdna	1371.5	4.371504	4.387071	4.456397	4.348788	4.574905	1.000181	1.001070	1.000000	1.085555	unsup	unsup
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	14.2	51.684315	228866.430866	1.065932	228498.956569	228595.463037	3.304855	1.000000	3.311134	4.255083	5.823200	11.717933
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	423.6	29641.023312	21150.948078	1.008874	21153.530547	21277.216264	24096.054454	1.000000	24046.166173	24162.548802	4.697574	4.397934
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	480709.1	4.233916	1.001174	1.000000	7.616844	7.622317	1.001462	1.002169	7.616402	7.617068	unsup	unsup
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1224.7	4.027516	1.020899	1.027740	4.038994	4.112157	1.000554	1.000000	4.035155	4.048425	unsup	unsup
capability@0.1	uuid-near-miss	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	18.3	5.093805	1.087944	1.087064	133466.521273	151038.126217	1.505335	1.506038	1.842824	2.212473	1.000000	1.654192
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	562.0	4.968537	1.000000	1.006382	7.923609	8.466593	1.187416	1.195050	1.368700	1.602726	1.238946	1.020906
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	124.3	32115.411326	2121.964141	2120.611847	7687.834291	7704.581445	2811.588093	2812.021309	8793.755941	8895.136816	2469.366992	1.000000
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	624.1	7.451297	1.096541	1.107121	2.137326	2.042468	1.000000	1.001084	1.097391	1.098960	2.133849	3.320586
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	182624.7	35.947495	22.983803	22.978605	25.818263	25.861139	22.993986	22.988522	25.813440	25.791782	1.536013	1.000000
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	2423.2	5.554028	1.010795	1.011316	1.412267	1.382144	1.000253	1.000000	1.400348	1.399490	1.266540	1.241669
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	2447249.4	9.538722	1.000125	1.004682	4.058121	4.119809	1.000000	1.001794	4.072695	4.128237	4.330734	refused
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1393.3	8.400791	1.017451	1.016011	5.271307	5.331314	1.000000	1.000392	5.276686	5.323946	8.369038	refused
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_8d716693_vm-in-caps-simdna	23112.1	96.414329	1.000428	1.000947	35.257025	35.201185	1.000784	1.003149	1.000834	1.000000	1.013383	1.398326
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	597.9	7.341039	1.108489	1.112755	2.268405	2.189404	1.000000	1.000458	1.098958	1.099591	2.051717	3.416742
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_8d716693_auto-caps-simdna	23122.2	96.381243	1.001662	1.002040	169.393237	169.343318	1.000000	1.000512	1.000249	1.001757	1.019318	refused
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	674.5	7.457512	1.090723	1.109759	8.228676	8.026610	1.000000	1.000629	1.251131	1.411972	4.373788	refused
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	vectorscan_5.4.11_block-nosom-nocaps-simd	664.5	3205933.516904	refused	15677.150607	refused	refused	refused	15634.557398	refused	refused	52607.147985	1.000000
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1949.6	393.038044	refused	1.032374	refused	refused	refused	1.000000	refused	refused	44.981970	1.926501
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	19.7	50.056192	1.671853	1.000000	216980.063229	217035.863639	2.472765	1.874970	3.776981	3.975921	15.265389	7.459252
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	589.1	19.760465	1.664843	1.000000	10.732473	10.686373	1.434131	1.072052	1.434901	1.565490	3.490846	2.747535
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	4033368.0	6.728056	1.000000	1.012128	5.788264	5.899258	1.002665	1.002548	5.773088	5.875707	unsup	unsup
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	2488.5	6.377292	1.004422	1.007187	7.350489	7.491874	1.000000	1.002235	7.355404	7.455395	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3986220.4	6.437914	1.000266	1.000000	5.860931	5.888933	1.003103	1.000977	5.830258	5.837212	unsup	unsup
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	2446.7	6.504537	1.010434	1.012664	7.351347	7.361587	1.000000	1.000185	7.288018	7.336967	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	1010265.0	3.432925	1.002824	1.000493	46.336762	46.194239	1.000681	1.000000	46.267570	46.157513	unsup	unsup
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1946.3	3.236070	1.007694	1.008454	25.173499	25.252903	1.000000	1.001149	25.162279	25.319270	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	929769.2	3.511974	1.003266	1.000000	24.731153	24.768635	1.000899	1.000813	24.904767	24.931036	unsup	unsup
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_8d716693_auto-caps-simdna	1847.0	156.507937	1.007599	1.004396	61.780234	62.025226	1.000000	1.001853	61.885338	62.012013	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	3989575.1	17.426946	1.000126	1.000093	10.424089	10.383376	1.000304	1.000000	9.985759	9.956849	unsup	unsup
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_8d716693_auto-nocaps-simdna	1591.0	14.747468	2.368769	2.248727	25.172649	25.746075	1.119406	1.000000	4.608007	4.660053	unsup	unsup
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	pcrec_8d716693_auto-nocaps-simdna	23127.1	96.363745	150.171945	150.296731	846.884809	871.183809	1.001441	1.000000	1.000816	1.002158	unsup	unsup
