# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T10:20:00Z, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna_cc-clang; source: store/index.tsv (3 record(s) matching this query); records: 2; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4,1.5; superseded: 1; newer_not_measured: 0; testees: pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-caps-simdna_cc-clang
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-caps-simdna_cc-clang
bounded@0.3	cls-upto-128	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1336.5	1.000000	1.010725
bounded@0.3	cls-upto-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	205757.0	1.400083	1.000000
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	439.1	1.612619	1.000000
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	612.0	1.268600	1.000000
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	169922.9	1.243270	1.000000
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1995.9	1.000000	1.010704
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1557.4	1.051718	1.000000
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	170887.5	1.245250	1.000000
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	12406.4	1.000000	1.045732
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1552.4	1.053191	1.000000
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	179804.3	1.229763	1.000000
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	2668.8	1.118668	1.000000
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1551.5	1.056470	1.000000
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	218859.8	1.137264	1.000000
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	685.6	1.405424	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	834.6	1.078808	1.000000
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	147061.0	1.671281	1.000000
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1993.3	1.000000	1.012371
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1113.9	1.177041	1.000000
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	194878.3	2.455233	1.000000
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	263.3	2.065440	1.000000
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	418.6	1.540134	1.000000
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	169608.2	1.254002	1.000000
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	12424.6	1.000000	1.045690
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1554.4	1.054332	1.000000
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	174175.8	1.240929	1.000000
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	3578.3	1.089989	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1555.9	1.050681	1.000000
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	220304.3	1.200731	1.000000
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	1179.7	1.254201	1.000000
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1065.2	1.123987	1.000000
bounded@0.3	cls-upto-65535					refused	refused
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	155458.9	2.242126	1.000000
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	322.2	1.836118	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	452.3	1.508218	1.000000
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	169188.1	1.249861	1.000000
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	12409.6	1.000000	1.046080
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1553.1	1.051456	1.000000
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1670.5	1.001483	1.000000
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	1775.8	1.119929	1.000000
bounded@0.3	csv5	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	953.5	1.000000	1.049701
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	200006.7	1.000000	1.110490
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	940.1	1.062026	1.000000
bounded@0.3	ctx-greedy-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	7239.7	1.000000	1.321409
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	197876.4	1.000000	1.139809
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	2194.6	1.000000	1.110224
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	9650.0	1.000000	1.308866
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	197676.3	1.000000	1.138637
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	2191.6	1.000000	1.111731
bounded@0.3	ctx-lazy-256	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	9628.9	1.000000	1.310831
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	197650.3	1.000000	1.137601
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1867.3	1.000000	1.102626
bounded@0.3	ctx-lazy-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	8940.8	1.000000	1.388414
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	74655.9	1.000000	1.161499
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	464.4	1.546721	1.000000
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2298.5	1.000000	1.063537
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	123750.6	1.221895	1.000000
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	259.8	2.074869	1.000000
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1128.5	1.000000	1.007348
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	66224.1	1.000000	1.339908
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	637.1	1.406694	1.000000
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	2290.1	1.000000	1.066363
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	82005.8	1.102014	1.000000
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	350.3	1.740248	1.000000
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	2071.7	1.010678	1.000000
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	83762.8	1.000000	1.071041
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	499.1	1.492328	1.000000
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1400.8	1.000000	1.055616
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	147989.0	1.004133	1.000000
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	264.4	2.046530	1.000000
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	919.8	1.128514	1.000000
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	76109.3	1.000000	1.129636
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	691.5	1.371299	1.000000
bounded@0.3	dig-upto-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1510.7	1.000000	1.069182
bounded@0.3	dig-upto-4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	104222.5	1.306476	1.000000
bounded@0.3	dig-upto-4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	296.2	1.878037	1.000000
bounded@0.3	dig-upto-4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1234.3	1.000000	1.014023
bounded@0.3	dig-upto-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	64258.4	1.573986	1.000000
bounded@0.3	dig-upto-8	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	371.9	1.667402	1.000000
bounded@0.3	dig-upto-8	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1081.2	1.198475	1.000000
bounded@0.3	dotted4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	66451.2	1.000000	1.319639
bounded@0.3	dotted4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	312.0	1.860907	1.000000
bounded@0.3	dotted4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	3131.1	1.000000	1.288283
bounded@0.3	floor	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1669.8	1.001932	1.000000
bounded@0.3	floor	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	217.5	2.314528	1.000000
bounded@0.3	floor	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	440.3	1.085886	1.000000
bounded@0.3	grp-upto-1024	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	171375.2	1.247832	1.000000
bounded@0.3	grp-upto-1024	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	4491.2	1.074520	1.000000
bounded@0.3	grp-upto-1024	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1557.8	1.051389	1.000000
bounded@0.3	hex32	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	255558.4	1.000774	1.000000
bounded@0.3	hex32	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	732.7	1.354707	1.000000
bounded@0.3	hex32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	2558.8	1.184322	1.000000
bounded@0.3	line-80	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	75618.4	1.000000	1.173080
bounded@0.3	line-80	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	5463.7	1.000000	1.061416
bounded@0.3	line-80	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	3427.5	1.115216	1.000000
bounded@0.3	nest2-4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	83802.0	1.000000	1.069689
bounded@0.3	nest2-4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	499.3	1.496894	1.000000
bounded@0.3	nest2-4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1434.1	1.000000	1.035161
bounded@0.3	nest2-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	65575.3	1.000000	1.148790
bounded@0.3	nest2-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	2161.1	1.000000	1.035859
bounded@0.3	nest2-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1774.4	1.000000	1.059664
bounded@0.3	nest2-letters-6	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	155209.8	1.259952	1.000000
bounded@0.3	nest2-letters-6	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	923.1	1.306179	1.000000
bounded@0.3	nest2-letters-6	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1305.5	1.000000	1.023470
bounded@0.3	nest3-16	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	63053.6	1.000000	1.197359
bounded@0.3	nest3-16	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	3786.3	1.020797	1.000000
bounded@0.3	nest3-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1779.3	1.000000	1.055770
bounded@0.3	nest3-3	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	77714.9	1.000000	1.111337
bounded@0.3	nest3-3	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	635.5	1.399170	1.000000
bounded@0.3	nest3-3	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	1526.1	1.000000	1.046299
bounded@0.3	pw-8-64	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	166538.0	1.265294	1.000000
bounded@0.3	pw-8-64	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	3255.5	1.087716	1.000000
bounded@0.3	pw-8-64	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	2450.2	1.201190	1.000000
bounded@0.3	year4	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	96371.9	1.311045	1.000000
bounded@0.3	year4	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna_cc-clang	283.8	1.971368	1.000000
bounded@0.3	year4	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna_cc-clang	1875.3	1.043785	1.000000
