# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-23T00:00:00Z, until=2026-09-26T06:00:00Z, testee=pcrec_6ef76820_auto-caps-simdna, testee=pcrec_6ef76820_auto-nocaps-simdna, testee=pcrec_6ef76820_vm-caps-simdna, testee=pcrec_6ef76820_vm-in-caps-simdna, testee=pcrec_ce658cb7_auto-caps-simdna, testee=pcrec_ce658cb7_auto-nocaps-simdna, testee=pcrec_ce658cb7_vm-caps-simdna, testee=pcrec_ce658cb7_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6,1.7; superseded: 0; newer_not_measured: 0; testees: pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_auto-nocaps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_ce658cb7_auto-caps-simdna,pcrec_ce658cb7_auto-nocaps-simdna,pcrec_ce658cb7_vm-caps-simdna,pcrec_ce658cb7_vm-in-caps-simdna; capture_class: yes=pcrec_6ef76820_auto-caps-simdna,pcrec_6ef76820_vm-caps-simdna,pcrec_6ef76820_vm-in-caps-simdna,pcrec_ce658cb7_auto-caps-simdna,pcrec_ce658cb7_vm-caps-simdna,pcrec_ce658cb7_vm-in-caps-simdna; no=pcrec_6ef76820_auto-nocaps-simdna,pcrec_ce658cb7_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	pcrec_6ef76820_auto-caps-simdna	pcrec_6ef76820_auto-nocaps-simdna	pcrec_6ef76820_vm-caps-simdna	pcrec_6ef76820_vm-in-caps-simdna	pcrec_ce658cb7_auto-caps-simdna	pcrec_ce658cb7_auto-nocaps-simdna	pcrec_ce658cb7_vm-caps-simdna	pcrec_ce658cb7_vm-in-caps-simdna
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	478.3	pcrec_ce658cb7_auto-caps-simdna	834.7	pcrec_ce658cb7_auto-nocaps-simdna	478.3	1.792769	1.034127	3.576918	4.048580	1.745239	1.000000	3.546842	4.013610
capability@0.1	doubled-word	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	25348551.7	pcrec_ce658cb7_vm-in-caps-simdna	25379971.5	pcrec_ce658cb7_auto-nocaps-simdna	25348551.7	1.005897	1.004145	1.008084	1.016339	1.003101	1.000000	1.002972	1.001240
capability@0.1	doubled-word	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	20833.4	pcrec_6ef76820_auto-caps-simdna	20857.9	pcrec_ce658cb7_auto-nocaps-simdna	20833.4	1.001176	1.000525	1.001524	1.013180	1.003980	1.000000	1.003247	1.064424
capability@0.1	dup-param-detect	large-subject-throughput	plain	pcrec_6ef76820_vm-in-caps-simdna	23115.7	pcrec_6ef76820_vm-in-caps-simdna	23115.7	pcrec_6ef76820_auto-nocaps-simdna	23130.4	1.000709	1.000636	1.001289	1.000000	1.002528	1.002196	1.000910	1.000575
capability@0.1	dup-param-detect	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1160.0	pcrec_ce658cb7_auto-caps-simdna	1162.1	pcrec_6ef76820_auto-nocaps-simdna	1160.0	1.002136	1.000000	1.002703	1.071453	1.001748	1.002263	1.004836	1.060015
capability@0.1	email-local-nodup	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	917.5	pcrec_6ef76820_vm-caps-simdna	917.5	pcrec_ce658cb7_auto-nocaps-simdna	976.1	1.063339	1.063908	1.000000	1.024634	1.064784	1.063860	1.001430	1.022742
capability@0.1	email-local-nodup	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	10495.0	pcrec_ce658cb7_auto-caps-simdna	10520.3	pcrec_ce658cb7_auto-nocaps-simdna	10495.0	1.004705	1.004307	1.055732	1.104591	1.002405	1.000000	1.056151	1.097983
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	37.1	pcrec_6ef76820_auto-caps-simdna	48.1	pcrec_6ef76820_auto-nocaps-simdna	37.1	1.296557	1.000000	194.426312	195.788653	1.308818	1.016442	622.849674	623.417933
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	825.0	pcrec_ce658cb7_vm-caps-simdna	825.0	pcrec_ce658cb7_auto-nocaps-simdna	972.4	1.690192	1.212070	gave-up	gave-up	1.641672	1.178641	1.000000	1.081901
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	25.1	pcrec_ce658cb7_auto-caps-simdna	11625.4	pcrec_6ef76820_auto-nocaps-simdna	25.1	478.435169	1.000000	479.194117	481.840851	463.132053	1.062459	481.772881	482.167003
capability@0.1	evil-alt-nested	short-subject-search	plain							gave-up	no-expectation	gave-up	gave-up	gave-up	no-expectation	gave-up	gave-up
capability@0.1	file-ext-order	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	260008.7	pcrec_6ef76820_vm-caps-simdna	260008.7	pcrec_6ef76820_auto-nocaps-simdna	260532.5	1.002267	1.002014	1.000000	1.001203	1.002314	1.002512	1.000607	1.001489
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	675.9	pcrec_ce658cb7_auto-caps-simdna	675.9	pcrec_ce658cb7_auto-nocaps-simdna	676.6	1.010881	1.012309	1.243642	1.431306	1.000000	1.000966	1.220554	1.411788
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	1890117.5	pcrec_ce658cb7_auto-caps-simdna	1892212.5	pcrec_6ef76820_auto-nocaps-simdna	1890117.5	1.003870	1.000000	11.621892	11.697031	1.001108	1.010790	11.623514	11.682330
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	1636.8	pcrec_6ef76820_auto-caps-simdna	1647.8	pcrec_ce658cb7_auto-nocaps-simdna	1636.8	1.006705	1.002909	3.395381	3.433222	1.009930	1.000000	3.392927	3.448766
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_ce658cb7_auto-caps-simdna	23095.2	pcrec_ce658cb7_auto-caps-simdna	23095.2	pcrec_6ef76820_auto-nocaps-simdna	23110.3	1.003681	1.000652	1.001909	1.000413	1.000000	1.003137	1.002712	1.000908
capability@0.1	floor-byte	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	637.4	pcrec_ce658cb7_vm-caps-simdna	637.4	pcrec_ce658cb7_auto-nocaps-simdna	665.5	1.084964	1.064515	1.032984	1.033356	1.046840	1.044094	1.000000	1.033953
capability@0.1	high-byte-run	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	482648.3	pcrec_6ef76820_auto-caps-simdna	482648.3	pcrec_ce658cb7_auto-nocaps-simdna	482766.3	1.000000	1.000936	4.217466	4.216808	1.000029	1.000244	4.217134	4.216198
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	1067.4	pcrec_ce658cb7_auto-caps-simdna	1067.4	pcrec_ce658cb7_auto-nocaps-simdna	1078.9	1.047244	1.030267	2.662779	2.570300	1.000000	1.010733	2.640322	2.555623
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	pcrec_6ef76820_auto-caps-simdna	12.6	pcrec_6ef76820_auto-caps-simdna	12.6	pcrec_6ef76820_auto-nocaps-simdna	12.6	1.000000	1.005174	2.972480	3.385678	1.100679	1.083974	2.314574	2.879334
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	413.1	pcrec_ce658cb7_auto-caps-simdna	413.1	pcrec_ce658cb7_auto-nocaps-simdna	413.7	1.076958	1.076751	2.890654	3.073315	1.000000	1.001352	2.157994	2.746907
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	1160652.2	pcrec_ce658cb7_auto-caps-simdna	1161262.1	pcrec_ce658cb7_auto-nocaps-simdna	1160652.2	1.067060	1.067571	3.978711	3.997824	1.000526	1.000000	3.989577	3.998197
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	717.9	pcrec_ce658cb7_auto-caps-simdna	717.9	pcrec_ce658cb7_auto-nocaps-simdna	718.3	1.021909	1.020365	1.382594	1.474406	1.000000	1.000636	1.313446	1.465555
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_6ef76820_vm-caps-simdna	27.2	pcrec_6ef76820_vm-caps-simdna	27.2	pcrec_6ef76820_auto-nocaps-simdna	30.2	1.109203	1.111427	1.000000	1.272390	1.135692	1.149447	1.090374	1.257066
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	662.0	pcrec_ce658cb7_vm-caps-simdna	662.0	pcrec_ce658cb7_auto-nocaps-simdna	801.9	1.274668	1.269906	1.043130	1.289661	1.226111	1.211267	1.000000	1.284853
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	18.9	pcrec_6ef76820_vm-caps-simdna	25.2	pcrec_6ef76820_auto-nocaps-simdna	18.9	1.592280	1.000000	1.329872	1.570771	1.715179	1.095214	1.467438	1.587201
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	488.7	pcrec_ce658cb7_vm-caps-simdna	611.2	pcrec_ce658cb7_auto-nocaps-simdna	488.7	1.683007	1.059377	1.310884	1.541792	1.653366	1.000000	1.250490	1.536336
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_ce658cb7_vm-in-caps-simdna	23071.4	pcrec_ce658cb7_vm-in-caps-simdna	23071.4	pcrec_ce658cb7_auto-nocaps-simdna	23125.4	1.002624	1.003985	1.000976	1.004175	1.004015	1.002342	1.002995	1.000000
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	645.8	pcrec_ce658cb7_vm-caps-simdna	645.8	pcrec_ce658cb7_auto-nocaps-simdna	685.1	1.074809	1.076687	1.028642	1.057701	1.062697	1.060865	1.000000	1.024286
capability@0.1	negation-scope-lookbehind-var									unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	23098.3	pcrec_ce658cb7_vm-caps-simdna	23122.8	pcrec_ce658cb7_auto-nocaps-simdna	23098.3	1.003227	1.002180	1.001751	1.001517	1.003737	1.000000	1.001064	1.002930
capability@0.1	nested-comment-rec	short-subject-search	plain	pcrec_ce658cb7_vm-in-caps-simdna	1101.5	pcrec_ce658cb7_vm-in-caps-simdna	1101.5	pcrec_ce658cb7_auto-nocaps-simdna	1518.4	1.414667	1.454493	1.398584	1.015387	1.337817	1.378522	1.326389	1.000000
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	16.0	pcrec_6ef76820_auto-caps-simdna	27.6	pcrec_6ef76820_auto-nocaps-simdna	16.0	1.724354	1.000000	2.498446	2.881813	1.865977	1.226233	2.609548	2.933068
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	477.9	pcrec_ce658cb7_auto-caps-simdna	816.5	pcrec_ce658cb7_auto-nocaps-simdna	477.9	1.786094	1.043034	19500.179598	19512.564958	1.708599	1.000000	19455.238545	19517.686876
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	16.0	pcrec_6ef76820_auto-caps-simdna	28.5	pcrec_6ef76820_auto-nocaps-simdna	16.0	1.777251	1.000000	2.499595	2.736080	1.878417	1.129166	3.325391	2.901078
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	478.3	pcrec_ce658cb7_auto-caps-simdna	874.3	pcrec_ce658cb7_auto-nocaps-simdna	478.3	1.916049	1.056266	21061.765061	21057.268743	1.827920	1.000000	21046.305447	21048.007878
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	pcrec_ce658cb7_vm-caps-simdna	6524726.9	pcrec_ce658cb7_vm-caps-simdna	6524726.9	pcrec_ce658cb7_auto-nocaps-simdna	6593094.8	1.066020	1.150620	1.008209	1.118808	1.001045	1.010478	1.000000	1.133749
capability@0.1	phone-palindrome-6	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	6430.1	pcrec_ce658cb7_auto-caps-simdna	6623.3	pcrec_ce658cb7_auto-nocaps-simdna	6430.1	1.097557	1.133925	1.094854	1.207825	1.030042	1.000000	1.047607	1.241668
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	220.8	pcrec_6ef76820_auto-caps-simdna	221.1	pcrec_6ef76820_auto-nocaps-simdna	220.8	1.001740	1.000000	7.401147	7.492103	1.007659	1.011615	7.457163	7.487357
capability@0.1	pwd-strength-chain	short-subject-search	plain	pcrec_ce658cb7_vm-caps-simdna	10769.7	pcrec_ce658cb7_vm-caps-simdna	10769.7	pcrec_ce658cb7_auto-nocaps-simdna	12087.0	1.129632	1.127654	1.002728	1.022629	1.126692	1.122312	1.000000	1.023250
capability@0.1	quoted-delim-match	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	9822352.0	pcrec_ce658cb7_auto-caps-simdna	9979301.2	pcrec_6ef76820_auto-nocaps-simdna	9822352.0	1.030353	1.000000	1.029512	1.031093	1.015979	1.010501	1.020626	1.017695
capability@0.1	quoted-delim-match	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	10859.8	pcrec_ce658cb7_auto-caps-simdna	10859.8	pcrec_ce658cb7_auto-nocaps-simdna	11040.0	1.040857	1.037141	1.042797	1.062134	1.000000	1.016600	1.025170	1.017353
capability@0.1	router-prefix-order	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	717820.7	pcrec_ce658cb7_auto-caps-simdna	718170.1	pcrec_ce658cb7_auto-nocaps-simdna	717820.7	1.003030	1.003417	6.212209	6.189769	1.000487	1.000000	6.213646	6.195257
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	709.4	pcrec_ce658cb7_auto-caps-simdna	709.4	pcrec_6ef76820_auto-nocaps-simdna	712.7	1.003517	1.004568	1.138086	1.288578	1.000000	1.019103	1.114622	1.288162
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	23110.2	pcrec_ce658cb7_vm-caps-simdna	23124.3	pcrec_ce658cb7_auto-nocaps-simdna	23110.2	1.003020	1.000057	1.003123	1.001677	1.001687	1.000000	1.000609	1.001080
capability@0.1	tag-depth3-bound	short-subject-search	plain	pcrec_6ef76820_auto-nocaps-simdna	1105.6	pcrec_6ef76820_auto-caps-simdna	1108.9	pcrec_6ef76820_auto-nocaps-simdna	1105.6	1.002955	1.000000	1.007582	1.074655	1.013732	1.009212	1.009871	1.072986
capability@0.1	tag-pair-match	large-subject-throughput	plain	pcrec_ce658cb7_vm-caps-simdna	23111.8	pcrec_ce658cb7_vm-caps-simdna	23111.8	pcrec_ce658cb7_auto-nocaps-simdna	23160.4	1.000601	1.002563	1.001965	1.001281	1.000449	1.002099	1.000000	1.002026
capability@0.1	tag-pair-match	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	1066.1	pcrec_ce658cb7_auto-caps-simdna	1066.1	pcrec_ce658cb7_auto-nocaps-simdna	1099.6	1.047931	1.077418	1.042979	1.125118	1.000000	1.031418	1.000315	1.124466
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	15.2	pcrec_6ef76820_vm-caps-simdna	46.9	pcrec_6ef76820_auto-nocaps-simdna	15.2	3.092811	1.000000	3.088785	3.992687	3.119564	1.151603	3.109807	3.983078
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	422.0	pcrec_ce658cb7_auto-caps-simdna	10180134.9	pcrec_ce658cb7_auto-nocaps-simdna	422.0	24165.689426	1.030147	24166.100700	24264.019266	24121.838214	1.000000	24127.975636	24512.009027
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_ce658cb7_auto-nocaps-simdna	480264.1	pcrec_ce658cb7_auto-caps-simdna	480758.4	pcrec_ce658cb7_auto-nocaps-simdna	480264.1	1.002542	1.002700	7.623459	7.625221	1.001029	1.000000	7.626796	7.624329
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_ce658cb7_auto-nocaps-simdna	1202.5	pcrec_ce658cb7_auto-caps-simdna	1204.7	pcrec_ce658cb7_auto-nocaps-simdna	1202.5	1.022522	1.022551	4.119280	4.173752	1.001886	1.000000	4.086835	4.147494
capability@0.1	uuid-near-miss	large-subject-throughput	plain	pcrec_6ef76820_auto-nocaps-simdna	13.3	pcrec_6ef76820_auto-caps-simdna	13.5	pcrec_6ef76820_auto-nocaps-simdna	13.3	1.009907	1.000000	1.996764	2.256013	1.099836	1.105363	2.234781	2.340341
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_ce658cb7_auto-caps-simdna	520.7	pcrec_ce658cb7_auto-caps-simdna	520.7	pcrec_ce658cb7_auto-nocaps-simdna	522.3	1.052202	1.053390	1.852431	1.749451	1.000000	1.002922	1.816789	1.732319
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	pcrec_ce658cb7_auto-caps-simdna	219742.8	pcrec_ce658cb7_auto-caps-simdna	219742.8	pcrec_ce658cb7_auto-nocaps-simdna	219767.9	1.198283	1.199464	4.999786	5.073981	1.000000	1.000114	5.029964	5.000219
