# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-17T00:00:00Z, until=2026-09-18T03:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_a770139e_auto-caps-simdna, testee=pcrec_a770139e_auto-nocaps-simdna, testee=pcrec_a770139e_vm-caps-simdna, testee=pcrec_a770139e_vm-in-caps-simdna, testee=pcrec_cf0962e3_auto-caps-simdna, testee=pcrec_cf0962e3_auto-nocaps-simdna, testee=pcrec_cf0962e3_vm-caps-simdna, testee=pcrec_cf0962e3_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_a770139e_auto-caps-simdna,pcrec_a770139e_auto-nocaps-simdna,pcrec_a770139e_vm-caps-simdna,pcrec_a770139e_vm-in-caps-simdna,pcrec_cf0962e3_auto-caps-simdna,pcrec_cf0962e3_auto-nocaps-simdna,pcrec_cf0962e3_vm-caps-simdna,pcrec_cf0962e3_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_a770139e_auto-caps-simdna	pcrec_a770139e_auto-nocaps-simdna	pcrec_a770139e_vm-caps-simdna	pcrec_a770139e_vm-in-caps-simdna	pcrec_cf0962e3_auto-caps-simdna	pcrec_cf0962e3_auto-nocaps-simdna	pcrec_cf0962e3_vm-caps-simdna	pcrec_cf0962e3_vm-in-caps-simdna
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1106.5	2.957395	3.189438	3.040974	1.001109	1.000149	2.590971	2.516662	1.028490	1.000000	2.594364	2.502276
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	pcrec_a770139e_auto-caps-simdna	18.7	4.358358	4.927292	7.679513	1.000000	1.007306	217034.036709	217053.534824	1.004363	1.000525	216805.875456	216964.540290
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	492.0	5.573997	6.025413	6.130114	1.000418	1.005730	13.014558	13.070591	1.000869	1.000000	12.886300	12.878028
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	511780.6	6.141354	6.480897	1.000000	1.429852	1.427660	8.167992	8.202904	1.428127	1.427453	8.168014	8.196498
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	774.3	wrong	5.183818	3.710943	1.005014	1.003072	6.041784	6.153131	1.007792	1.000000	6.059797	6.142565
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	30.0	8.177478	8.713470	4.297266	1.005198	1.000825	94855.520327	94875.640952	1.002522	1.000000	94955.771247	94894.647909
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	839.4	6.242289	5.907629	3.834972	1.013430	1.000000	4.908578	4.918138	1.013010	1.003089	4.929063	4.908853
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	18.7	10.356368	13.392583	6.879201	1.615501	1.000000	195326.378966	195249.101023	1.617227	1.002383	196467.000162	195262.842197
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	493.6	9.283835	9.793856	6.521616	1.638432	1.000000	9.751119	9.729833	1.642228	1.003961	9.752722	9.712416
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	23150.8	1.004930	1.003752	1.729793	1.000688	1.000265	17.604587	17.598334	1.000000	1.000584	35.191768	35.156864
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	689.0	4.147058	4.099505	4.287937	wrong	wrong	wrong	wrong	1.000000	1.001889	2.213001	2.200649
capability@0.1	negation-scope-lookbehind-var	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51588.5	gave-up	944.904161	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	negation-scope-lookbehind-var	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3119.1	gave-up	2.944491	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	52006.5	40.487263	51.634501	1.000000	149.944958	150.105677	150.122452	150.255139	149.899045	150.043364	149.991871	150.002606
capability@0.1	nested-comment-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3232.4	2.146135	1.618442	1.000000	2.878462	2.867406	2.871924	2.808542	2.878242	2.873219	2.868801	2.805220
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	15.2	5.291149	6.206707	8.173031	1.832253	1.000000	268024.852695	268490.111373	1.832472	1.000169	267974.094480	268156.116802
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	470.6	28.135998	72305.115313	6615.701418	1.800121	1.000000	19637.123970	19621.701299	1.800255	1.005486	19628.142679	19647.379728
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	15.1	5.347968	6.217705	8.199187	1.881590	1.001236	255308.759139	255135.886311	1.878854	1.000000	255233.959638	255118.674677
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	481.2	31.593469	83076.160642	8095.594953	1.854212	1.000000	20749.777625	20733.087205	1.858488	1.001686	20720.752244	20729.555486
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2212527.9	unsup	9.188432	1.000000	2.996401	3.401468	3.018864	3.204413	3.026333	3.349957	2.973372	3.405711
capability@0.1	phone-palindrome-6	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4545.7	unsup	3.857302	1.000000	1.618509	1.623102	1.686294	1.692600	1.616771	1.623233	1.616014	1.695752
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	221.5	54.651541	23.348824	5.110260	1.003500	1.000820	16666.488445	16634.745006	1.000000	1.005133	16593.314452	16601.305773
capability@0.1	pwd-strength-chain	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	8323.2	11.474081	4.338114	1.000000	1.485394	1.485205	1.739141	1.775001	1.489888	1.484608	1.736896	1.768252
capability@0.1	quoted-delim-match	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	460903.3	unsup	9.125004	1.000000	21.430712	21.171899	21.859373	21.824681	21.858247	21.506079	21.928078	21.932100
capability@0.1	quoted-delim-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3317.1	unsup	2.523402	1.000000	3.438616	3.355706	3.417154	3.459597	3.428005	3.404342	3.423658	3.454673
capability@0.1	router-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91706.5	23.798981	24.350659	1.000000	4.293633	4.292323	44.284793	44.321040	4.300120	4.292306	44.292652	44.315028
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	779.5	wrong	4.750445	3.621156	1.002148	1.000000	5.923599	5.800071	1.007909	1.003066	5.733237	5.961718
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23238.0	1.000618	1.000000	1.728957	193.369002	201.552953	193.417261	193.276434	192.990499	201.857966	193.348094	193.099181
capability@0.1	tag-depth3-bound	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3585.2	gave-up	1.994892	1.000000	2.002147	1.944022	1.995904	1.924074	2.011598	1.952108	2.023752	1.968113
capability@0.1	tag-pair-match	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23229.8	unsup	1.000000	1.721666	199.916369	199.474751	200.210732	200.198794	200.314468	199.616442	200.518573	200.351564
capability@0.1	tag-pair-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3274.2	unsup	1.326656	1.000000	1.844048	1.872091	1.833364	1.918472	1.843598	1.870096	1.839119	1.911548
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	15.2	16.702784	23.469693	8.356889	214572.178426	1.001009	214512.607682	214373.751051	214351.490183	1.000000	214377.840706	214641.838613
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	427.0	31.940959	79379.074037	7940.357112	20996.928956	1.001947	20972.134331	21071.258713	20990.754776	1.000000	20986.830359	21118.778590
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	479321.9	2.122188	2.121803	1.002445	1.002390	1.002956	7.639261	7.644324	1.000000	1.003153	7.644965	7.638521
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1250.8	2.494823	2.765945	2.736209	1.000191	1.000760	3.952396	4.046035	1.003312	1.000000	3.950788	4.023648
capability@0.1	uuid-near-miss	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	19.9	8.432328	7.778595	5.895854	1.004625	1.012438	123083.420456	122663.604155	1.002176	1.000000	126724.150867	153788.721443
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	560.7	5.650805	5.047559	5.010207	1.005122	1.000000	8.142540	8.414092	1.003295	1.006606	7.874023	8.211920
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	263393.7	2.924041	3.231793	1.500360	1.000857	1.000442	3.626986	3.626295	1.000963	1.000000	3.624668	3.634576
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	689.8	3.474388	4.081140	4.040425	1.029667	1.000000	1.931946	1.850755	1.020604	1.026348	1.932737	1.847916
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1983449.3	3.129551	3.593915	1.000000	2.115878	2.116980	2.381268	2.379963	2.117080	2.118905	2.374008	2.372010
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	2446.4	2.893327	3.132805	1.398053	1.000186	1.002942	1.398716	1.383676	1.002770	1.000000	1.397390	1.374938
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	2444234.0	8.938826	7.717213	1.831632	1.008773	1.004962	4.075254	4.113748	1.000000	1.002392	4.061347	4.120279
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1407.9	8.840292	7.062926	2.604314	1.005397	1.002528	5.204293	5.280265	1.001269	1.000000	5.214470	5.293271
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	23138.9	1.006427	1.003923	2.240824	1.000595	1.001455	35.186557	35.204496	1.000525	1.000000	35.202691	35.197426
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	662.8	3.455237	4.100109	4.525554	1.026689	1.000000	2.047503	1.960506	1.002089	1.023518	2.046915	1.957780
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	23126.3	1.009410	1.003808	1.739039	1.000854	1.001578	169.389981	169.327449	1.000773	1.000000	169.344755	169.314126
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	727.5	3.902411	4.325883	3.911770	1.000000	1.022179	7.291803	7.678072	1.029919	1.004399	7.579001	7.629229
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	10425108.0	963.669150	433.077630	24.858333	refused	1.000000	refused	refused	refused	1.000173	refused	refused
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	2018.8	1960.812839	867.329348	43.692014	refused	1.000000	refused	refused	refused	1.000007	refused	refused
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	19.6	5.935943	4.977950	8.904803	1.684642	1.008220	217797.387725	218237.611013	1.675209	1.000000	217622.517550	217383.072826
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	590.8	6.423944	5.984695	5.524556	1.662244	1.002817	10.705722	10.705689	1.667888	1.000000	10.703927	10.662095
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	4022098.6	6.789028	4.924552	1.183566	1.002074	1.000000	5.794930	5.883933	1.002938	1.001244	5.797320	5.894834
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	2498.5	6.577836	4.774956	1.700103	1.004483	1.010281	7.329934	7.455335	1.000000	1.011297	7.352381	7.476542
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	3984108.3	5.582751	5.187909	1.201725	1.001589	1.000000	5.824596	5.876847	1.000708	1.001856	5.833303	5.883975
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	2476.4	5.602606	4.928963	1.674498	1.000000	1.032161	7.230454	7.287616	1.011377	1.000053	7.269317	7.288156
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	1008666.8	3.820191	2.053246	1.437361	1.000136	1.000544	46.334681	46.252453	1.000000	1.000414	46.359266	46.273371
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1954.2	wrong	2.526952	2.141550	1.000000	1.002232	25.058069	25.150352	1.002723	1.001883	25.105454	25.154401
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	928957.6	9.468595	2.273503	1.552368	1.002423	1.000000	24.882984	24.791527	1.000126	1.000095	24.784901	25.142129
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_a770139e_auto-caps-simdna	1850.7	8.079412	564.868869	56.666701	1.000000	1.000666	61.695605	61.825673	1.000516	1.001631	61.665738	61.928214
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_a770139e_auto-nocaps-simdna	3987494.3	7.571325	18.478045	1.584831	1.000374	1.000000	10.100996	10.044246	1.000473	1.000495	10.407332	10.367975
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	3578.3	1.993185	2.552642	2.495326	1.048735	1.002282	10.753419	10.764145	1.061149	1.000000	11.171534	11.449272
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23249.3	1.003827	1.000000	126.780814	149.257653	149.324046	841.476866	878.613792	149.278242	149.058242	817.963945	854.174590
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	2638.7	2.201975	1.511903	1.251870	1.001976	1.002913	8.704759	8.983400	1.004896	1.000000	8.704861	8.987735
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91325.3	2.320079	2.386075	1.000000	43.901815	46.053701	102.315063	102.003294	43.888751	46.017214	102.428406	102.347122
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	2470.7	1.725285	1.841406	1.419513	1.104202	1.000000	3.129789	3.208281	1.105670	1.001154	3.134703	3.200951
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	98609.1	10.584512	10.923236	1.000000	1.263132	1.262716	53.034886	48.384194	1.261724	1.261894	53.039247	48.414184
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1375.2	2.455740	2.181061	2.262660	1.245175	1.001983	2.287306	2.656826	1.240587	1.000000	2.292132	2.651119
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51806.5	35.643931	34.281775	1.000000	6.584896	6.531006	92.518000	92.453054	6.583225	6.531582	92.226849	92.197772
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	pcrec_a770139e_auto-nocaps-simdna	927.7	4.265093	5.191166	3.327668	1.405908	1.000000	6.047836	6.184605	1.406361	1.000633	6.057191	6.164131
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23276.3	1.002165	1.000000	5.764118	55.360160	55.068466	252.735377	252.823439	55.143790	55.109302	252.693049	252.660579
