# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-05T02:00:00Z, until=2026-09-05T11:00:00Z, testee=pcrec_288d505_auto-caps-simdna, testee=pcrec_288d505_vm-caps-simdna, testee=pcrec_288d505_auto-caps-simdna_cc-clang, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna_cc-clang; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: pcrec_288d505_auto-caps-simdna,pcrec_288d505_auto-caps-simdna_cc-clang,pcrec_288d505_vm-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_auto-caps-simdna_cc-clang,pcrec_334fd10e_vm-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	pcrec_288d505_auto-caps-simdna	pcrec_288d505_auto-caps-simdna_cc-clang	pcrec_288d505_vm-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_auto-caps-simdna_cc-clang	pcrec_334fd10e_vm-caps-simdna
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	197322.8	1.000000	1.134960	2.235915	1.015844	1.130523	1.941827
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	1409.5	1.535069	1.716795	1.543175	1.027695	1.000000	1.010001
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	8821.9	1.090430	1.444773	2.702544	1.000000	1.264785	1.916356
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	197405.9	1.000000	1.132549	2.235153	1.014330	1.131579	1.940091
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	1409.5	1.537571	1.717795	1.542050	1.029086	1.000000	1.012830
bounded@0.3	ctx-lazy-256	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	8809.2	1.092304	1.448447	2.703411	1.000000	1.264463	1.910969
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	197403.2	1.000000	1.132233	2.239934	1.013979	1.131493	1.941360
bounded@0.3	ctx-lazy-64	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	1151.9	1.616848	1.788847	1.621668	1.051823	1.000000	1.046867
bounded@0.3	ctx-lazy-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	8377.7	1.063495	1.434927	2.902840	1.000000	1.305328	2.049352
bounded@0.3	dig-exact-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	62685.5	1.197456	1.382576	5.303974	1.000000	1.057271	3.164498
bounded@0.3	dig-exact-16	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	463.4	1.546054	1.026617	1.411981	1.535026	1.000000	1.294071
bounded@0.3	dig-exact-16	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	2092.3	1.098084	1.151719	5.841226	1.024963	1.000000	3.972162
bounded@0.3	dig-exact-2	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	100073.3	1.503226	1.235192	3.785514	1.000000	1.266715	1.902314
bounded@0.3	dig-exact-2	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	260.4	2.093301	1.064684	1.961870	2.041005	1.000000	1.626996
bounded@0.3	dig-exact-2	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	935.3	1.182547	1.197468	4.244720	1.000000	1.211624	2.241053
bounded@0.3	dig-exact-32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	62939.6	1.048726	1.406539	4.361651	1.061378	1.000000	2.271030
bounded@0.3	dig-exact-32	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	635.6	1.414487	1.018033	1.102428	1.394214	1.000000	1.052202
bounded@0.3	dig-exact-32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	2102.8	1.063694	1.167162	6.093538	1.034486	1.000000	3.703183
bounded@0.3	dig-exact-8	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	73027.6	1.231475	1.123012	4.684055	1.000000	1.132147	2.791266
bounded@0.3	dig-exact-8	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	348.5	1.739448	1.034656	1.670034	1.714050	1.000000	1.385909
bounded@0.3	dig-exact-8	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1946.6	1.082052	1.056832	5.564432	1.000000	1.097529	3.684849
bounded@0.3	dig-upto-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	65177.1	1.291524	1.375129	5.111635	1.154179	1.000000	3.037423
bounded@0.3	dig-upto-16	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	498.8	1.495193	1.019230	1.425166	1.441260	1.000000	1.106356
bounded@0.3	dig-upto-16	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1181.2	1.186431	1.235486	3.395289	1.094738	1.000000	2.220330
bounded@0.3	dig-upto-2	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	147662.3	1.003606	1.148786	2.583350	1.000000	1.005146	1.313075
bounded@0.3	dig-upto-2	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	264.8	2.061879	1.049681	1.782546	2.000350	1.000000	1.607046
bounded@0.3	dig-upto-2	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	944.2	1.081672	1.179970	3.828056	1.094807	1.000000	1.978094
bounded@0.3	dig-upto-32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	60862.0	1.251730	1.404349	4.504479	1.120683	1.000000	2.347945
bounded@0.3	dig-upto-32	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	596.4	1.584875	1.192213	1.235893	1.531127	1.159577	1.000000
bounded@0.3	dig-upto-32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1315.8	1.165593	1.206756	2.759290	1.065526	1.000000	1.546749
bounded@0.3	dig-upto-4	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	106956.5	1.286852	1.000000	3.175257	1.101620	1.028985	1.808645
bounded@0.3	dig-upto-4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	297.1	1.875861	1.028692	1.631025	1.739946	1.000000	1.539759
bounded@0.3	dig-upto-4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1179.3	1.048233	1.057091	3.103191	1.000000	1.055420	1.831826
bounded@0.3	dig-upto-8	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	64247.8	1.603717	1.000000	5.354587	1.377285	1.336123	3.173539
bounded@0.3	dig-upto-8	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	371.7	1.664763	1.025413	1.707458	1.587842	1.000000	1.272596
bounded@0.3	dig-upto-8	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	1061.9	1.234385	1.000000	3.691035	1.155327	1.182249	2.414690
bounded@0.3	dotted4	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna	66389.3	1.000000	1.318834	13.517530	1.125730	1.316512	13.910095
bounded@0.3	dotted4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	313.3	1.886408	1.037894	2.429091	1.715513	1.000000	2.395930
bounded@0.3	dotted4	short-subject-search	plain	pcrec_288d505_auto-caps-simdna	3106.2	1.000000	1.278479	8.175743	1.043516	1.096246	8.279517
bounded@0.3	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1667.1	1.002575	1.000766	18.977790	1.002494	1.000000	37.874859
bounded@0.3	floor	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	217.1	2.266709	1.066224	1.267529	2.116495	1.000000	1.267274
bounded@0.3	floor	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	438.3	1.077814	1.000000	2.426245	1.096911	1.028317	3.413763
bounded@0.3	grp-upto-1024	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	109588.8	1.424029	1.000536	2.256727	1.144516	1.000000	1.587491
bounded@0.3	grp-upto-1024	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1874.7	2.577087	2.402683	1.083064	2.568218	2.393881	1.000000
bounded@0.3	grp-upto-1024	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	943.1	1.108846	1.000000	1.369837	1.048688	1.008782	1.170760
bounded@0.3	hex32	large-subject-throughput	plain	pcrec_288d505_auto-caps-simdna_cc-clang	254301.5	1.005931	1.000000	2.212598	1.057663	1.018763	1.458737
bounded@0.3	hex32	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	697.0	1.422220	1.063932	1.147056	1.407100	1.048833	1.000000
bounded@0.3	hex32	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	2566.5	1.145110	1.000000	6.887421	1.093692	1.063637	4.351373
bounded@0.3	line-80	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	75437.8	1.000360	1.177473	1.048509	1.000000	1.178644	1.047610
bounded@0.3	line-80	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	4643.8	1.173893	1.260205	1.018363	1.165638	1.248110	1.000000
bounded@0.3	line-80	short-subject-search	plain	pcrec_288d505_auto-caps-simdna_cc-clang	3421.6	1.125683	1.000000	5.339467	1.075238	1.024171	4.726682
bounded@0.3	nest2-4	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	65320.4	1.291625	1.372912	7.121014	1.130531	1.000000	9.696246
bounded@0.3	nest2-4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	498.9	1.493496	1.019685	37.198994	1.432001	1.000000	37.157620
bounded@0.3	nest2-4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1170.3	1.200218	1.242685	4.767087	1.103664	1.000000	4.780418
bounded@0.3	nest2-64	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	62469.8	1.036075	1.206099	7.629690	1.000000	1.212810	7.653110
bounded@0.3	nest2-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	2102.0	1.024470	1.047230	1.003972	1.036057	1.054653	1.000000
bounded@0.3	nest2-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1697.1	1.045538	1.092184	3.605747	1.000000	1.119065	3.608688
bounded@0.3	nest2-letters-6	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	132748.3	1.473142	1.168645	1.978387	1.000000	1.034994	1.691669
bounded@0.3	nest2-letters-6	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	914.6	1.315975	1.017862	2607.296824	1.284849	1.000000	2604.316581
bounded@0.3	nest2-letters-6	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1094.3	1.173272	1.184521	4.421642	1.060607	1.000000	3.732327
bounded@0.3	nest3-16	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	62420.1	1.060080	1.206763	12.962090	1.000000	1.210987	12.905143
bounded@0.3	nest3-16	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	3573.0	1.116035	1.070907	1.099455	1.080913	1.000000	1.097222
bounded@0.3	nest3-16	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1699.2	1.047200	1.092399	5.941969	1.000000	1.118912	5.947406
bounded@0.3	nest3-3	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	61685.4	1.263771	1.398522	10.272637	1.129975	1.000000	7.279693
bounded@0.3	nest3-3	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	635.4	1.398136	1.014440	4548.284835	1.355137	1.000000	4488.819530
bounded@0.3	nest3-3	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna_cc-clang	1268.2	1.185030	1.238392	5.932732	1.076693	1.000000	4.504949
bounded@0.3	pw-8-64	large-subject-throughput	plain	pcrec_334fd10e_vm-caps-simdna	118252.1	1.773438	1.404419	1.082462	1.620677	1.516876	1.000000
bounded@0.3	pw-8-64	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	2091.0	1.684195	1.565268	1.050777	1.688820	1.560894	1.000000
bounded@0.3	pw-8-64	short-subject-search	plain	pcrec_288d505_vm-caps-simdna	2262.9	1.347629	1.073889	1.000000	1.311684	1.134772	1.100990
bounded@0.3	year4	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	90085.2	1.403038	1.069187	3.750661	1.000000	1.119346	2.145288
bounded@0.3	year4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna_cc-clang	282.7	1.953210	1.045350	1.870901	1.926069	1.000000	1.648544
bounded@0.3	year4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1772.8	1.096534	1.044987	4.675778	1.000000	1.110929	2.732847
