# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=capability, version=0.1, since=2026-09-17T00:00:00Z, until=2026-09-21T01:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=libpcre2_10.46_dfa-nocaps-simdna, testee=pcrec_cf0962e3_auto-caps-simdna, testee=pcrec_cf0962e3_auto-nocaps-simdna, testee=pcrec_cf0962e3_vm-caps-simdna, testee=pcrec_cf0962e3_vm-in-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna; source: store/index.tsv (12 record(s) matching this query); records: 11; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_dfa-nocaps-simdna,libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,pcrec_cf0962e3_auto-caps-simdna,pcrec_cf0962e3_auto-nocaps-simdna,pcrec_cf0962e3_vm-caps-simdna,pcrec_cf0962e3_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_dfa-nocaps-simdna	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	pcrec_cf0962e3_auto-caps-simdna	pcrec_cf0962e3_auto-nocaps-simdna	pcrec_cf0962e3_vm-caps-simdna	pcrec_cf0962e3_vm-in-caps-simdna
capability@0.1	date-nested-plus	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	16.0	6.447066	6.096107	8.756768	1.913821	1.006140	241205.079230	241170.114472	1.905314	1.000000	240849.918358	240804.547242
capability@0.1	date-nested-plus	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	489.7	8.652413	8.855488	6.885172	1.775945	1.002390	12.469042	12.863065	1.774689	1.000000	12.486588	12.859443
capability@0.1	doubled-word	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	13111656.5	unsup	6.837077	1.000000	1.943230	1.933662	1.937197	1.968655	1.949514	1.932041	1.940899	1.949865
capability@0.1	doubled-word	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	13186.3	unsup	6.314447	1.000000	1.583696	1.580190	1.587112	1.593517	1.580923	1.585397	1.582409	1.595887
capability@0.1	dup-param-detect	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23240.8	unsup	1.000000	142.040895	579.202219	576.382657	579.089581	578.871417	579.094620	576.594808	578.931127	578.466101
capability@0.1	dup-param-detect	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3338.5	unsup	1.738828	1.000000	3.257181	3.246006	3.252655	3.282341	3.244172	3.251424	3.255310	3.269919
capability@0.1	email-local-nodup	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	258.8	15.013144	10.676525	1.000000	3.781777	3.790376	14942.983474	14934.899862	3.796122	3.802128	14932.912779	14926.750137
capability@0.1	email-local-nodup	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5321.7	7.986336	6.292178	1.000000	1.999039	1.993176	2.993885	3.031982	2.000892	2.002463	2.994450	3.026540
capability@0.1	email-nested-plus	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	32.7	77.244084	847.061524	426.569073	1.476413	1.000000	137350.422144	137362.168080	1.503497	1.069630	137460.222908	137253.635319
capability@0.1	email-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	975.5	9.025944	3.251832	3.156792	1.465460	1.000000	gave-up	gave-up	1.472487	1.002218	gave-up	gave-up
capability@0.1	evil-alt-nested	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	27.3	57.929275	780.231705	71.495557	157716.094337	1.000000	157117.112554	157117.715217	157595.408398	1.007800	157094.635839	157117.830671
capability@0.1	evil-alt-nested	short-subject-search	plain			wrong	gave-up	gave-up	gave-up	wrong	gave-up	gave-up	gave-up	wrong	gave-up	gave-up
capability@0.1	file-ext-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	76758.0	14.785117	15.931176	1.000000	3.813935	3.812360	50.243546	50.257401	3.809674	3.812162	50.215395	50.252663
capability@0.1	file-ext-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	828.8	wrong	4.917112	3.387179	1.028682	1.000000	5.886063	5.535724	1.022639	1.008493	5.889808	5.718795
capability@0.1	float-literal-bound	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	1788992.7	10.403280	8.468646	1.189603	1.000162	1.000000	10.544671	10.673695	1.001898	1.000565	10.543588	10.699377
capability@0.1	float-literal-bound	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	2482.0	2.360510	2.212040	1.403031	1.002115	1.000488	7.990044	8.092356	1.000000	1.002037	7.994939	8.097550
capability@0.1	floor-byte	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23114.5	1.005550	1.005576	2.247722	1.000000	1.001067	35.270367	35.233659	1.002297	1.000677	35.250846	35.220309
capability@0.1	floor-byte	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	665.2	3.423648	3.882645	4.558006	1.003055	1.000000	2.034626	1.950230	1.003659	1.001168	2.041218	1.951427
capability@0.1	high-byte-run	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	407488.7	2.485061	2.497760	1.000000	1.185279	1.185641	4.994785	4.995760	1.185641	1.184955	4.993306	4.991887
capability@0.1	high-byte-run	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1105.3	2.960543	3.192833	3.044210	1.013005	1.000000	2.594737	2.511763	1.029584	1.001064	2.597126	2.504939
capability@0.1	ipv4-near-miss	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	18.7	4.365247	4.935080	7.691651	1.001247	1.000000	217335.746086	217525.515841	1.005950	1.002107	217148.565177	217307.480801
capability@0.1	ipv4-near-miss	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	492.0	5.573997	6.025413	6.130114	1.002091	1.004335	12.846264	13.046454	1.000869	1.000000	12.886300	12.878028
capability@0.1	keyword-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	511780.6	6.141354	6.480897	1.000000	1.428769	1.428478	8.190510	8.195850	1.428127	1.427453	8.168014	8.196498
capability@0.1	keyword-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	774.2	wrong	5.184871	3.711697	1.000000	1.000515	6.029038	6.139066	1.007996	1.000203	6.061028	6.143813
capability@0.1	logparse-atomic	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	30.0	8.177478	8.713470	4.297266	1.005491	1.046143	94904.306606	97747.694247	1.002522	1.000000	94955.771247	94894.647909
capability@0.1	logparse-atomic	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	837.3	6.258298	5.922780	3.844808	1.008403	1.000000	4.911767	4.921497	1.015608	1.005662	4.941704	4.921443
capability@0.1	logparse-atomic-removed	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	18.7	10.359922	13.397179	6.881561	1.618124	1.000000	195264.034014	195457.393556	1.617782	1.002727	196534.426285	195329.855062
capability@0.1	logparse-atomic-removed	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	492.7	9.299915	9.810819	6.532912	1.646854	1.000000	9.765990	9.734250	1.645073	1.005699	9.769614	9.729238
capability@0.1	mojibake-curly-quote	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	23119.1	1.006307	1.005127	1.732163	1.000837	1.000000	35.217304	35.209930	1.001370	1.001955	35.239987	35.205035
capability@0.1	mojibake-curly-quote	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	682.6	4.186074	4.138073	4.328278	1.000000	1.000847	2.231406	2.220741	1.009408	1.011315	2.233821	2.221353
capability@0.1	negation-scope-lookbehind-var	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51588.5	gave-up	944.904161	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	negation-scope-lookbehind-var	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3119.1	gave-up	2.944491	1.000000	unsup	unsup	unsup	unsup	unsup	unsup	unsup	unsup
capability@0.1	nested-comment-rec	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	52006.5	40.487263	51.634501	1.000000	150.118018	150.162913	150.137531	149.793325	149.899045	150.043364	149.991871	150.002606
capability@0.1	nested-comment-rec	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3232.4	2.146135	1.618442	1.000000	2.883156	2.879093	2.873151	2.881753	2.878242	2.873219	2.868801	2.805220
capability@0.1	numeric-id-nested-plus	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	15.2	5.290257	6.205660	8.171653	1.831098	1.001258	267899.296465	268669.870641	1.832163	1.000000	267928.899892	268110.891516
capability@0.1	numeric-id-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	470.7	28.128895	72286.860902	6614.031194	1.772945	1.000000	19624.323597	19770.201191	1.799801	1.005232	19623.187287	19642.419479
capability@0.1	phone-list-nested-plus	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	15.1	5.347968	6.217705	8.199187	1.884112	1.006117	255117.606582	255173.029708	1.878854	1.000000	255233.959638	255118.674677
capability@0.1	phone-list-nested-plus	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	480.6	31.632275	83178.204138	8105.538875	1.877626	1.000000	20775.826466	20757.929525	1.860771	1.002916	20746.203806	20755.017861
capability@0.1	phone-palindrome-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	2212527.9	unsup	9.188432	1.000000	3.232773	3.429640	3.216614	3.439455	3.026333	3.349957	2.973372	3.405711
capability@0.1	phone-palindrome-6	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4545.7	unsup	3.857302	1.000000	1.589507	1.662892	1.586604	1.720601	1.616771	1.623233	1.616014	1.695752
capability@0.1	pwd-strength-chain	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	221.5	54.651541	23.348824	5.110260	1.015714	1.003022	16604.888821	16591.983430	1.000000	1.005133	16593.314452	16601.305773
capability@0.1	pwd-strength-chain	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	8323.2	11.474081	4.338114	1.000000	1.490098	1.520022	1.740342	1.766804	1.489888	1.484608	1.736896	1.768252
capability@0.1	quoted-delim-match	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	460903.3	unsup	9.125004	1.000000	21.925777	21.197015	21.881508	21.909161	21.858247	21.506079	21.928078	21.932100
capability@0.1	quoted-delim-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3317.1	unsup	2.523402	1.000000	3.424547	3.364786	3.442560	3.469907	3.428005	3.404342	3.423658	3.454673
capability@0.1	router-prefix-order	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91706.5	23.798981	24.350659	1.000000	4.291919	4.293868	44.340116	44.324307	4.300120	4.292306	44.292652	44.315028
capability@0.1	router-prefix-order	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	775.5	wrong	4.775232	3.640050	1.013754	1.000000	5.965634	5.761519	1.013168	1.008300	5.763152	5.992825
capability@0.1	tag-depth3-bound	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23238.0	1.000618	1.000000	1.728957	194.190512	201.732577	194.224739	193.188140	192.990499	201.857966	193.348094	193.099181
capability@0.1	tag-depth3-bound	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3585.2	gave-up	1.994892	1.000000	1.992323	1.945847	2.014908	1.923920	2.011598	1.952108	2.023752	1.968113
capability@0.1	tag-pair-match	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23229.8	unsup	1.000000	1.721666	200.488878	199.497393	200.338254	200.482746	200.314468	199.616442	200.518573	200.351564
capability@0.1	tag-pair-match	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	3274.2	unsup	1.326656	1.000000	1.839816	1.870934	1.846427	1.915745	1.843598	1.870096	1.839119	1.911548
capability@0.1	trim-nested-star	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	15.2	16.702784	23.469693	8.356889	214524.595824	1.003852	214600.536684	214609.958547	214351.490183	1.000000	214377.840706	214641.838613
capability@0.1	trim-nested-star	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	427.0	31.940959	79379.074037	7940.357112	21010.977954	1.001730	20967.417961	21069.736232	20990.754776	1.000000	20986.830359	21118.778590
capability@0.1	utf8-lead-no-cont	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	479321.9	2.122188	2.121803	1.002445	1.003743	1.003643	7.640368	7.645584	1.000000	1.003153	7.644965	7.638521
capability@0.1	utf8-lead-no-cont	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1250.8	2.494823	2.765945	2.736209	1.001153	1.002202	3.954512	4.021365	1.003312	1.000000	3.950788	4.023648
capability@0.1	uuid-near-miss	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	19.9	8.432328	7.778595	5.895854	1.000158	1.003144	162327.417609	145247.005406	1.002176	1.000000	126724.150867	153788.721443
capability@0.1	uuid-near-miss	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	562.5	5.632244	5.030980	4.993750	1.002578	1.001071	8.050296	8.232314	1.000000	1.003300	7.848160	8.184947
capability@0.1	wild-codegrammar-json-array-begin	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	263393.7	2.924041	3.231793	1.500360	1.001025	1.001089	3.631781	3.627087	1.000963	1.000000	3.624668	3.634576
capability@0.1	wild-codegrammar-json-array-begin	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	687.8	3.484707	4.093261	4.052425	1.000000	1.031569	1.941363	1.867009	1.023635	1.029396	1.938477	1.853404
capability@0.1	wild-codegrammar-json-constant	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	1983449.3	3.129551	3.593915	1.000000	2.116802	2.117144	2.379948	2.380045	2.117080	2.118905	2.374008	2.372010
capability@0.1	wild-codegrammar-json-constant	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	2446.4	2.893327	3.132805	1.398053	1.003553	1.001265	1.399322	1.377460	1.002770	1.000000	1.397390	1.374938
capability@0.1	wild-codegrammar-json-number-extended	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	2444234.0	8.938826	7.717213	1.831632	1.001426	1.001663	4.084365	4.128144	1.000000	1.002392	4.061347	4.120279
capability@0.1	wild-codegrammar-json-number-extended	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1407.9	8.840292	7.062926	2.604314	1.001706	1.006902	5.217293	5.301121	1.001269	1.000000	5.214470	5.293271
capability@0.1	wild-codegrammar-json-object-begin	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	23090.6	1.008531	1.006022	2.245509	1.002727	1.000000	35.288906	35.254018	1.002617	1.002091	35.276288	35.271012
capability@0.1	wild-codegrammar-json-object-begin	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	664.1	3.448034	4.091563	4.516121	1.035468	1.002607	2.039693	1.955291	1.000000	1.021385	2.042648	1.953700
capability@0.1	wild-codegrammar-json-stringcontent-escape	large-subject-throughput	plain	pcrec_25b1984f_auto-caps-simdna	23123.6	1.009527	1.003924	1.739239	1.000000	1.000332	169.418190	169.409425	1.000889	1.000115	169.364295	169.333663
capability@0.1	wild-codegrammar-json-stringcontent-escape	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	730.7	3.885320	4.306937	3.894638	1.022468	1.015252	7.669938	7.350198	1.025408	1.000000	7.545807	7.595816
capability@0.1	wild-datetime-datefinder-alternation	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	10424041.4	963.767753	433.121943	24.860876	refused	1.000000	refused	refused	refused	1.000276	refused	refused
capability@0.1	wild-datetime-datefinder-alternation	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2010.0	1969.389712	871.123169	43.883129	refused	1.000000	refused	refused	refused	1.004381	refused	refused
capability@0.1	wild-datetime-moment-iso8601	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	19.6	5.940551	4.981814	8.911715	1.683533	1.000000	217943.413898	217829.354666	1.676509	1.000776	217791.436619	217551.806038
capability@0.1	wild-datetime-moment-iso8601	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	589.8	6.434070	5.994128	5.533264	1.665378	1.000000	10.719254	11.542077	1.670517	1.001576	10.720799	10.678900
capability@0.1	wild-logparse-base10num-grok	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	4024029.9	6.785770	4.922189	1.182998	1.000051	1.000000	5.803679	5.891818	1.002457	1.000764	5.794538	5.892005
capability@0.1	wild-logparse-base10num-grok	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	2498.5	6.577836	4.774956	1.700103	1.003338	1.006862	7.323875	7.460229	1.000000	1.011297	7.352381	7.476542
capability@0.1	wild-logparse-base10num-noatomic	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3983529.8	5.583561	5.188662	1.201899	1.000019	1.000000	5.831533	5.881847	1.000854	1.002002	5.834150	5.884830
capability@0.1	wild-logparse-base10num-noatomic	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2474.9	5.605964	4.931917	1.675501	1.009779	1.000000	7.348965	7.290401	1.011984	1.000653	7.273674	7.292524
capability@0.1	wild-logparse-quotedstring-grok	large-subject-throughput	plain	pcrec_cf0962e3_auto-caps-simdna	1008666.8	3.820191	2.053246	1.437361	1.000161	1.000198	46.355789	46.242671	1.000000	1.000414	46.359266	46.273371
capability@0.1	wild-logparse-quotedstring-grok	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	1957.9	wrong	2.522203	2.137525	1.002716	1.002479	25.000973	25.116746	1.000838	1.000000	25.058269	25.107124
capability@0.1	wild-logparse-quotedstring-noatomic	large-subject-throughput	plain	pcrec_cf0962e3_auto-nocaps-simdna	929045.8	9.467696	2.273287	1.552220	1.001397	1.000858	24.709552	24.833879	1.000031	1.000000	24.782547	25.139741
capability@0.1	wild-logparse-quotedstring-noatomic	short-subject-search	plain	pcrec_cf0962e3_auto-caps-simdna	1851.6	8.075244	564.577438	56.637465	1.003250	1.001849	61.758325	61.836678	1.000000	1.001114	61.633923	61.896264
capability@0.1	wild-logparse-syslogbase-expanded	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	3988287.3	7.569820	18.474371	1.584516	1.001044	1.000000	10.347753	10.356133	1.000274	1.000296	10.405263	10.365914
capability@0.1	wild-logparse-syslogbase-expanded	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	3578.3	1.993185	2.552642	2.495326	1.053294	1.001478	11.183499	11.440283	1.061149	1.000000	11.171534	11.449272
capability@0.1	wild-logparse-winpath-grok	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23249.3	1.003827	1.000000	126.780814	149.263376	149.200681	829.942740	875.212769	149.278242	149.058242	817.963945	854.174590
capability@0.1	wild-logparse-winpath-grok	short-subject-search	plain	pcrec_cf0962e3_auto-nocaps-simdna	2638.7	2.201975	1.511903	1.251870	1.002347	1.001978	8.774024	9.002059	1.004896	1.000000	8.704861	8.987735
capability@0.1	wild-secrets-aws-access-key-id	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	91325.3	2.320079	2.386075	1.000000	43.909413	46.000867	102.617572	102.366224	43.888751	46.017214	102.428406	102.347122
capability@0.1	wild-secrets-aws-access-key-id	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2468.3	1.726984	1.843220	1.420911	1.106571	1.000000	3.137840	3.192604	1.106759	1.002140	3.137790	3.204103
capability@0.1	wild-secrets-github-pat	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	98609.1	10.584512	10.923236	1.000000	1.262356	1.261227	53.098716	48.419043	1.261724	1.261894	53.039247	48.414184
capability@0.1	wild-secrets-github-pat	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1371.6	2.462286	2.186875	2.268691	1.240640	1.000000	2.293689	2.653280	1.243894	1.002666	2.298241	2.658185
capability@0.1	wild-secrets-slack-webhook-url	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	51806.5	35.643931	34.281775	1.000000	6.586047	6.529362	92.334279	92.324165	6.583225	6.531582	92.226849	92.197772
capability@0.1	wild-secrets-slack-webhook-url	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	928.0	4.263740	5.189520	3.326613	1.407231	1.000000	6.045237	6.157367	1.405915	1.000316	6.055271	6.162177
capability@0.1	wild-secrets-username-password-pair	large-subject-throughput	plain	libpcre2_10.46_interp-caps-simdna	23276.3	1.002165	1.000000	5.764118	55.161734	55.326643	252.654438	252.519782	55.143790	55.109302	252.693049	252.660579
