# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=syntax, version=0.1, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_auto-nocaps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_auto-nocaps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_auto-nocaps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
syntax@0.1	anc-m-dollar	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	251.3	excluded	excluded	1.744121	1.723058	1.000000	1.021598	1.834721
syntax@0.1	anc-m-dollar	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	762.0	4.213474	2.157282	1.000000	1.000320	1.636302	1.556027	3.113665
syntax@0.1	anc-z-lc	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	79.9	36899.534920	2665.896399	6551.775005	6550.626233	22116.499620	22155.768841	1.000000
syntax@0.1	anc-z-lc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1320.4	1.019057	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	anc-z-lc	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	256.5	excluded	excluded	1.689522	1.693171	1.027315	1.000000	1.795222
syntax@0.1	anc-z-lc	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	686.2	4.616814	2.561875	1.020000	1.000000	1.815923	1.715554	1.763715
syntax@0.1	anc-z-uc	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	211505.9	14.009157	1.000000	2.424137	2.424510	10.357030	10.357839	refused
syntax@0.1	anc-z-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1325.1	1.014830	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	anc-z-uc	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	251.4	excluded	excluded	1.722065	1.730210	1.000000	1.021325	refused
syntax@0.1	anc-z-uc	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	779.5	4.137989	2.093537	1.000766	1.000000	1.889437	1.800987	refused
syntax@0.1	asr-k-uc	large-subject-throughput	plain	pcrec_d34c9131_auto-nocaps-simdna	96147.9	7.910473	1.503251	1.002138	1.000000	14.257958	18.419067	refused
syntax@0.1	asr-k-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1465.0	1.025817	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	asr-k-uc	match-compliance	whole-subject			excluded	excluded	wrong	wrong	wrong	wrong	refused
syntax@0.1	asr-k-uc	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	538.4	3.066343	3.224521	1.000000	1.000618	2.039876	2.354658	refused
syntax@0.1	asr-nwb	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	368396.5	7.590712	1.000000	2.718550	2.717097	12.744109	12.719467	1.592487
syntax@0.1	asr-nwb	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1376.2	1.015264	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	asr-nwb	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	229.4	excluded	excluded	1.813708	1.823596	1.189099	1.000000	1.404390
syntax@0.1	asr-nwb	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	1105.4	2.085971	1.504784	1.001939	1.000000	1.636495	1.620533	1.614942
syntax@0.1	asr-wb	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	392820.4	7.821617	1.000000	2.512055	2.509083	12.289239	12.296149	1.541694
syntax@0.1	asr-wb	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1440.1	1.002615	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	asr-wb	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	271.2	excluded	excluded	1.636506	1.628318	1.086695	1.000000	1.563565
syntax@0.1	asr-wb	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	1071.4	2.017725	1.608002	1.001626	1.000000	1.390756	1.391248	1.934254
syntax@0.1	bak-1	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12779433.1	7.684477	1.000000	1.267102	1.240340	1.265684	1.273075	refused
syntax@0.1	bak-1	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2831.2	1.021362	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	bak-1	match-compliance	whole-subject	pcrec_d34c9131_auto-nocaps-simdna	486.0	excluded	excluded	1.031566	1.000000	1.031380	1.171088	refused
syntax@0.1	bak-1	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5422.6	6.144235	1.000000	1.319035	1.331628	1.317969	1.354750	refused
syntax@0.1	bak-2	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	9965626.6	9.902203	1.000000	1.367669	1.343255	1.375476	1.691220	refused
syntax@0.1	bak-2	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4640.5	1.000000	1.000411	excluded	excluded	excluded	excluded	refused
syntax@0.1	bak-2	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	427.8	excluded	excluded	1.012123	1.022437	1.000000	1.258795	refused
syntax@0.1	bak-2	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5228.1	8.203820	1.000000	1.528318	1.259694	1.525735	1.392220	refused
syntax@0.1	bak-g-rel	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12803377.6	7.742105	1.000000	1.264266	1.248245	1.263309	1.263727	refused
syntax@0.1	bak-g-rel	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2851.7	1.000591	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	bak-g-rel	match-compliance	whole-subject	pcrec_d34c9131_auto-nocaps-simdna	484.3	excluded	excluded	1.036912	1.000000	1.035211	1.175784	refused
syntax@0.1	bak-g-rel	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5410.6	6.169764	1.000000	1.323173	1.333813	1.319953	1.356337	refused
syntax@0.1	bak-k-named	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	464541.4	2.734207	1.000000	3.904770	3.884099	3.901417	3.122083	refused
syntax@0.1	bak-k-named	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1526.8	1.000000	1.024265	excluded	excluded	excluded	excluded	refused
syntax@0.1	bak-k-named	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	267.9	excluded	excluded	1.003746	1.003493	1.000000	1.325293	refused
syntax@0.1	bak-k-named	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	1165.3	1.434908	1.422027	1.132454	1.120086	1.130238	1.000000	refused
syntax@0.1	bak-py	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	12758094.4	7.776853	1.000000	1.268254	1.244168	1.267231	1.249402	refused
syntax@0.1	bak-py	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2853.1	1.000000	1.000833	excluded	excluded	excluded	excluded	refused
syntax@0.1	bak-py	match-compliance	whole-subject	pcrec_d34c9131_auto-nocaps-simdna	488.7	excluded	excluded	1.023800	1.000000	1.020645	1.164549	refused
syntax@0.1	bak-py	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5430.0	6.133151	1.000000	1.318108	1.331499	1.316623	1.351544	refused
syntax@0.1	cls-d	large-subject-throughput	plain	pcrec_d34c9131_auto-nocaps-simdna	1428844.5	4.039696	1.646387	1.002708	1.000000	2.383423	2.358711	3.766916
syntax@0.1	cls-d	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1530.3	1.015909	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-d	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	329.0	excluded	excluded	1.378237	1.376966	1.234365	1.000000	3.558559
syntax@0.1	cls-d	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	670.6	3.615394	3.051078	1.000000	1.012698	3.155411	2.995642	4.833091
syntax@0.1	cls-dot	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	444715.8	6.907699	1.000000	1.715900	1.684417	4.676669	4.701535	3.795080
syntax@0.1	cls-dot	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1425.6	1.015749	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-dot	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	259.2	excluded	excluded	1.680072	1.696200	1.071266	1.000000	2.238644
syntax@0.1	cls-dot	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	523.3	4.196967	3.062990	1.000000	1.004043	2.212704	2.148246	4.410936
syntax@0.1	cls-fold-pair	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	436863.8	7.095897	1.000000	1.798039	1.793573	3.929959	3.930011	1.534792
syntax@0.1	cls-fold-pair	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1418.1	1.017102	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-fold-pair	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	257.2	excluded	excluded	1.730985	1.693120	1.074032	1.000000	1.651980
syntax@0.1	cls-fold-pair	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	519.3	4.184684	3.041854	1.000000	1.006708	1.946661	1.784472	2.789439
syntax@0.1	cls-h	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	132216.5	6.129352	1.000000	1.933791	1.930804	7.864168	7.666486	refused
syntax@0.1	cls-h	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1630.4	1.009163	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	cls-h	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	274.5	excluded	excluded	1.680229	1.684655	1.000000	1.017347	refused
syntax@0.1	cls-h	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	470.6	4.006827	3.543155	1.000000	1.001373	1.753716	1.659663	refused
syntax@0.1	cls-i-class	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	926051.9	4.421234	1.455020	1.507256	1.502492	2.061130	2.065609	1.000000
syntax@0.1	cls-i-class	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1723.3	1.000000	1.005638	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-i-class	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	264.4	excluded	excluded	1.727869	1.719576	1.027384	1.000000	2.375984
syntax@0.1	cls-i-class	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	675.3	3.871072	2.491758	1.000000	1.002906	1.490954	1.430256	2.886734
syntax@0.1	cls-mixed-case	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	755259.4	4.258692	1.503061	1.000000	1.016054	2.761554	2.778489	2.249942
syntax@0.1	cls-mixed-case	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1422.4	1.013538	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-mixed-case	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	259.3	excluded	excluded	1.693552	1.696138	1.071960	1.000000	1.640248
syntax@0.1	cls-mixed-case	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	518.4	4.211771	3.164678	1.000000	1.032565	2.234646	2.173179	4.417079
syntax@0.1	cls-n-uc	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	300585.9	8.905708	1.000000	1.607846	1.607147	5.520176	5.504585	refused
syntax@0.1	cls-n-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1772.6	1.011203	1.000000	excluded	excluded	excluded	excluded	refused
syntax@0.1	cls-n-uc	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	266.4	excluded	excluded	1.668909	1.667703	1.011741	1.000000	refused
syntax@0.1	cls-n-uc	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	519.2	4.983117	3.393712	1.000000	1.000439	2.131974	2.047880	refused
syntax@0.1	cls-negset	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	746469.9	3.800408	1.289689	1.000000	1.001775	2.946065	2.942723	1.681225
syntax@0.1	cls-negset	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1386.5	1.013440	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-negset	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	256.0	excluded	excluded	1.692552	1.680723	1.070894	1.000000	1.872460
syntax@0.1	cls-negset	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	487.3	4.514244	3.532407	1.000000	1.012298	2.757641	2.639265	3.562645
syntax@0.1	cls-pair-ctl	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	647727.5	4.883447	1.780591	1.209401	1.210669	3.330436	3.352349	1.000000
syntax@0.1	cls-pair-ctl	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1415.8	1.014618	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-pair-ctl	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	258.9	excluded	excluded	1.676510	1.711074	1.081398	1.000000	1.639901
syntax@0.1	cls-pair-ctl	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	521.5	4.161483	3.152563	1.008735	1.000000	2.252463	2.161053	2.766425
syntax@0.1	cls-posix	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	5913764.1	4.651862	1.926885	1.078894	1.075745	1.000000	1.001125	3.886893
syntax@0.1	cls-posix	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3537.1	1.000000	1.001624	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-posix	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	449.6	excluded	excluded	1.372123	1.358742	1.044176	1.000000	4.800430
syntax@0.1	cls-posix	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	601.1	7.037730	3.001955	1.242283	1.250025	1.076473	1.000000	13.319121
syntax@0.1	cls-range	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	247701.2	5.306873	1.103026	1.000000	1.001228	2.675752	2.691954	1.981652
syntax@0.1	cls-range	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1210.0	1.034790	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-range	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	260.4	excluded	excluded	1.688802	1.693257	1.000000	1.023792	3.558245
syntax@0.1	cls-range	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	423.3	3.972764	3.674799	1.000547	1.000000	1.616630	1.517462	3.384569
syntax@0.1	cls-s-lc	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	286720.3	9.232067	1.000000	2.529218	2.539075	3.359895	3.361999	1.202428
syntax@0.1	cls-s-lc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1321.9	1.038969	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-s-lc	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	256.0	excluded	excluded	1.771661	1.766079	1.023572	1.000000	2.681996
syntax@0.1	cls-s-lc	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	518.7	4.276205	3.313968	1.015176	1.000000	1.320925	1.152379	2.415318
syntax@0.1	cls-s-uc	large-subject-throughput	plain	rust_1.13.1_default-caps-simdna	2871149.2	34.804641	1.158528	1.109859	1.110380	8.334129	8.363826	1.000000
syntax@0.1	cls-s-uc	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1536.4	1.014175	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-s-uc	match-compliance	whole-subject	pcrec_d34c9131_auto-nocaps-simdna	726.1	excluded	excluded	1.000228	1.000000	1.636428	1.755614	1.746417
syntax@0.1	cls-s-uc	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1170.7	4.232831	1.486809	1.000000	1.002983	13.683343	13.594591	2.110461
syntax@0.1	cls-v	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	170296.3	14.048869	1.000000	2.541103	2.541736	5.287954	5.313333	wrong
syntax@0.1	cls-v	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1902.8	1.010575	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-v	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	279.1	excluded	excluded	1.662124	1.660699	1.037207	1.000000	wrong
syntax@0.1	cls-v	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	512.1	5.862202	3.305441	1.003141	1.000000	1.382046	1.248976	wrong
syntax@0.1	cls-w	large-subject-throughput	plain	pcrec_d34c9131_vm-in-caps-simdna	5713614.1	5.291479	2.243948	1.204738	1.202688	1.001130	1.000000	4.399166
syntax@0.1	cls-w	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4050.8	1.000236	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	cls-w	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	475.6	excluded	excluded	1.315209	1.323522	1.009957	1.000000	5.209537
syntax@0.1	cls-w	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	571.4	7.930066	3.450491	1.387065	1.393188	1.066093	1.000000	15.576719
syntax@0.1	cnd-group	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	5117814.8	1.542233	1.000000	refused	refused	refused	refused	refused
syntax@0.1	cnd-group	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2408.1	1.000352	1.000000	refused	refused	refused	refused	refused
syntax@0.1	cnd-group	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2163.6	2.393005	1.000000	refused	refused	refused	refused	refused
syntax@0.1	esc-cr	large-subject-throughput	plain	pcrec_d34c9131_auto-nocaps-simdna	23110.3	98.714432	7.158180	1.000076	1.000000	72.088085	72.273228	2.156666
syntax@0.1	esc-cr	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1530.5	1.006674	1.000000	excluded	excluded	excluded	excluded	excluded
syntax@0.1	esc-cr	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	264.9	excluded	excluded	1.754843	1.712019	1.047420	1.000000	1.575997
syntax@0.1	esc-cr	short-subject-search	plain	pcrec_d34c9131_auto-nocaps-simdna	366.7	6.736984	4.460410	1.000138	1.000000	3.320719	3.075316	1.410045
syntax@0.1	esc-ctrl	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	57290.3	12.053518	1.000000	refused	refused	refused	refused	refused
syntax@0.1	esc-ctrl	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1330.2	1.016008	1.000000	refused	refused	refused	refused	refused
syntax@0.1	esc-ctrl	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	1562.2	1.294233	1.000000	refused	refused	refused	refused	refused
