# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-02T02:40:00Z, until=2026-09-03T00:00:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_1989c62_auto-caps-simdna, testee=pcrec_1989c62_auto-nocaps-simdna, testee=pcrec_1989c62_vm-caps-simdna, testee=pcrec_1989c62_vm-in-caps-simdna; source: store/index.tsv (6 record(s) matching this query); records: 6; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_auto-nocaps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_1989c62_auto-caps-simdna,pcrec_1989c62_vm-caps-simdna,pcrec_1989c62_vm-in-caps-simdna; no=pcrec_1989c62_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_1989c62_auto-caps-simdna	pcrec_1989c62_auto-nocaps-simdna	pcrec_1989c62_vm-caps-simdna	pcrec_1989c62_vm-in-caps-simdna
bounded@0.3	cls-upto-16	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	598.9	pcrec_1989c62_vm-in-caps-simdna	598.9	pcrec_1989c62_auto-nocaps-simdna	707.9	excluded	excluded	1.182357	1.181987	1.041397	1.000000
bounded@0.3	cls-upto-16	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	776.4	pcrec_1989c62_auto-caps-simdna	776.4	pcrec_1989c62_auto-nocaps-simdna	778.1	6.590880	2.687749	1.000000	1.002217	1.096023	1.121580
bounded@0.3	cls-upto-16384	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	211260.1	pcrec_1989c62_auto-caps-simdna	211260.1	pcrec_1989c62_auto-nocaps-simdna	211430.8	10.258157	3.870557	1.000000	1.000808	1.160635	1.293251
bounded@0.3	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6944.6	libpcre2_10.46_interp-caps-simdna	6944.6			1.000000	1.000752	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-16384	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.9	pcrec_1989c62_vm-caps-simdna	1994.9	pcrec_1989c62_auto-nocaps-simdna	1995.1	excluded	excluded	1.000485	1.000075	1.000000	1.000397
bounded@0.3	cls-upto-16384	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1310.4	pcrec_1989c62_vm-caps-simdna	1310.4	pcrec_1989c62_auto-nocaps-simdna	1636.9	4.427311	1.899259	1.249930	1.249201	1.000000	1.043565
bounded@0.3	cls-upto-2048	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	212215.9	pcrec_1989c62_auto-caps-simdna	212797.7	pcrec_1989c62_auto-nocaps-simdna	212215.9	10.211218	3.756038	1.002742	1.000000	1.159674	1.292239
bounded@0.3	cls-upto-2048	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6908.1	libpcre2_10.46_interp-caps-simdna	6908.1			1.000000	1.000930	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-2048	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.6	pcrec_1989c62_vm-caps-simdna	1994.6	pcrec_1989c62_auto-nocaps-simdna	12408.4	excluded	excluded	6.220052	6.221051	1.000000	1.000640
bounded@0.3	cls-upto-2048	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1321.0	pcrec_1989c62_vm-caps-simdna	1321.0	pcrec_1989c62_auto-nocaps-simdna	1632.8	4.410616	1.840646	1.237716	1.236016	1.000000	1.035297
bounded@0.3	cls-upto-256	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	221116.7	pcrec_1989c62_auto-caps-simdna	221116.7	pcrec_1989c62_auto-nocaps-simdna	221835.0	9.918430	3.671066	1.000000	1.003249	1.147792	1.276889
bounded@0.3	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5946.5	libpcre2_10.46_jit-caps-simdna	5946.5			1.001316	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1381.4	pcrec_1989c62_vm-caps-simdna	1381.4	pcrec_1989c62_auto-nocaps-simdna	2987.7	excluded	excluded	2.161181	2.162782	1.000000	1.001037
bounded@0.3	cls-upto-256	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1312.5	pcrec_1989c62_vm-caps-simdna	1312.5	pcrec_1989c62_auto-nocaps-simdna	1634.6	4.400947	1.880927	1.248846	1.245398	1.000000	1.041722
bounded@0.3	cls-upto-32	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	248882.3	pcrec_1989c62_auto-caps-simdna	248901.3	pcrec_1989c62_auto-nocaps-simdna	248882.3	9.786040	3.648183	1.000077	1.000000	1.079555	1.244980
bounded@0.3	cls-upto-32	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4932.4	libpcre2_10.46_interp-caps-simdna	4932.4			1.000000	1.021066	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	661.6	pcrec_1989c62_vm-in-caps-simdna	661.6	pcrec_1989c62_auto-nocaps-simdna	960.7	excluded	excluded	1.456500	1.452141	1.004254	1.000000
bounded@0.3	cls-upto-32	short-subject-search	plain	pcrec_1989c62_auto-caps-simdna	900.4	pcrec_1989c62_auto-caps-simdna	900.4	pcrec_1989c62_auto-nocaps-simdna	901.2	5.858885	2.384876	1.000000	1.000911	1.003942	1.065225
bounded@0.3	cls-upto-32768	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	245062.6	pcrec_1989c62_auto-caps-simdna	245780.3	pcrec_1989c62_auto-nocaps-simdna	245062.6	8.847221	3.292770	1.002929	1.000000	1.003979	1.112448
bounded@0.3	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6913.8	libpcre2_10.46_interp-caps-simdna	6913.8			1.000000	1.009425	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-32768	match-compliance	whole-subject	pcrec_1989c62_auto-caps-simdna	1993.3	pcrec_1989c62_auto-caps-simdna	1993.3	pcrec_1989c62_auto-nocaps-simdna	1993.8	excluded	excluded	1.000000	1.000261	1.001145	1.000048
bounded@0.3	cls-upto-32768	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	1307.9	pcrec_1989c62_vm-caps-simdna	1310.4	pcrec_1989c62_auto-nocaps-simdna	1307.9	4.455269	1.937737	1.002488	1.000000	1.001949	1.043615
bounded@0.3	cls-upto-4	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna	421293.1	pcrec_1989c62_vm-caps-simdna	421293.1	pcrec_1989c62_auto-nocaps-simdna	479425.4	10.003324	4.041512	1.135722	1.137985	1.000000	1.240902
bounded@0.3	cls-upto-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4531.2	libpcre2_10.46_jit-caps-simdna	4531.2			1.011772	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	479.8	pcrec_1989c62_vm-caps-simdna	479.8	pcrec_1989c62_auto-nocaps-simdna	546.7	excluded	excluded	1.133381	1.139613	1.000000	1.018143
bounded@0.3	cls-upto-4	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	635.7	pcrec_1989c62_auto-caps-simdna	644.7	pcrec_1989c62_auto-nocaps-simdna	635.7	7.853558	3.146520	1.014163	1.000000	1.114756	1.264961
bounded@0.3	cls-upto-4096	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	211600.1	pcrec_1989c62_auto-caps-simdna	212689.0	pcrec_1989c62_auto-nocaps-simdna	211600.1	10.253732	3.798186	1.005146	1.000000	1.161178	1.292995
bounded@0.3	cls-upto-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6908.0	libpcre2_10.46_interp-caps-simdna	6908.0			1.000000	1.004384	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-4096	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1994.3	pcrec_1989c62_vm-in-caps-simdna	1994.3	pcrec_1989c62_auto-nocaps-simdna	12410.1	excluded	excluded	6.229909	6.222665	1.001877	1.000000
bounded@0.3	cls-upto-4096	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1306.9	pcrec_1989c62_vm-caps-simdna	1306.9	pcrec_1989c62_auto-nocaps-simdna	1637.4	4.462557	1.887449	1.253970	1.252825	1.000000	1.045069
bounded@0.3	cls-upto-512	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	216126.2	pcrec_1989c62_auto-caps-simdna	216139.8	pcrec_1989c62_auto-nocaps-simdna	216126.2	10.089021	3.710573	1.000063	1.000000	1.154091	1.283747
bounded@0.3	cls-upto-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6427.2	libpcre2_10.46_jit-caps-simdna	6427.2			1.006493	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-512	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1690.1	pcrec_1989c62_vm-in-caps-simdna	1690.1	pcrec_1989c62_auto-nocaps-simdna	3899.3	excluded	excluded	2.307745	2.307104	1.002302	1.000000
bounded@0.3	cls-upto-512	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1308.3	pcrec_1989c62_vm-caps-simdna	1308.3	pcrec_1989c62_auto-nocaps-simdna	1637.8	4.465893	1.880510	1.249550	1.251865	1.000000	1.045657
bounded@0.3	cls-upto-64	large-subject-throughput	plain	pcrec_1989c62_auto-nocaps-simdna	263922.8	pcrec_1989c62_auto-caps-simdna	264526.4	pcrec_1989c62_auto-nocaps-simdna	263922.8	8.759890	3.250474	1.002287	1.000000	1.038719	1.174658
bounded@0.3	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5191.2	libpcre2_10.46_jit-caps-simdna	5191.2			1.001599	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-64	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	879.0	pcrec_1989c62_vm-caps-simdna	879.0	pcrec_1989c62_auto-nocaps-simdna	1484.5	excluded	excluded	1.683172	1.688792	1.000000	1.008566
bounded@0.3	cls-upto-64	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1044.9	pcrec_1989c62_vm-caps-simdna	1044.9	pcrec_1989c62_auto-nocaps-simdna	1198.8	5.176870	2.108884	1.145811	1.147262	1.000000	1.052897
bounded@0.3	cls-upto-65535	large-subject-throughput	plain	pcrec_1989c62_vm-caps-simdna	245983.9	pcrec_1989c62_vm-caps-simdna	245983.9			8.808759	3.235991	refused	refused	1.000000	1.110435
bounded@0.3	cls-upto-65535	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6903.8	libpcre2_10.46_jit-caps-simdna	6903.8			1.000243	1.000000	refused	refused	excluded	excluded
bounded@0.3	cls-upto-65535	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	1993.2	pcrec_1989c62_vm-in-caps-simdna	1993.2			excluded	excluded	refused	refused	1.000710	1.000000
bounded@0.3	cls-upto-65535	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1311.8	pcrec_1989c62_vm-caps-simdna	1311.8			4.449851	1.855125	refused	refused	1.000000	1.042126
bounded@0.3	cls-upto-8	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	348558.4	pcrec_1989c62_auto-caps-simdna	348558.4	pcrec_1989c62_auto-nocaps-simdna	353045.0	9.364996	3.420380	1.000000	1.012872	1.023841	1.183779
bounded@0.3	cls-upto-8	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4635.6	libpcre2_10.46_interp-caps-simdna	4635.6			1.000000	1.001378	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8	match-compliance	whole-subject	pcrec_1989c62_vm-in-caps-simdna	531.3	pcrec_1989c62_vm-in-caps-simdna	531.3	pcrec_1989c62_auto-nocaps-simdna	584.0	excluded	excluded	1.113344	1.099236	1.035097	1.000000
bounded@0.3	cls-upto-8	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	679.1	pcrec_1989c62_auto-caps-simdna	682.2	pcrec_1989c62_auto-nocaps-simdna	679.1	7.438498	3.031259	1.004600	1.000000	1.169221	1.222850
bounded@0.3	cls-upto-8192	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	211461.5	pcrec_1989c62_auto-caps-simdna	211461.5	pcrec_1989c62_auto-nocaps-simdna	211563.8	10.285077	3.846072	1.000000	1.000484	1.161069	1.291447
bounded@0.3	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	6902.5	libpcre2_10.46_interp-caps-simdna	6902.5			1.000000	1.003896	excluded	excluded	excluded	excluded
bounded@0.3	cls-upto-8192	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	1994.7	pcrec_1989c62_vm-caps-simdna	1994.7	pcrec_1989c62_auto-nocaps-simdna	12403.6	excluded	excluded	6.221265	6.218259	1.000000	1.000076
bounded@0.3	cls-upto-8192	short-subject-search	plain	pcrec_1989c62_vm-caps-simdna	1314.6	pcrec_1989c62_vm-caps-simdna	1314.6	pcrec_1989c62_auto-nocaps-simdna	1634.5	4.418219	1.855539	1.242175	1.243311	1.000000	1.043156
bounded@0.3	csv5	large-subject-throughput	plain	pcrec_1989c62_auto-caps-simdna	1673.0	pcrec_1989c62_auto-caps-simdna	1673.0	pcrec_1989c62_auto-nocaps-simdna	1673.6	1.079805	1.979736	1.000000	1.000328	10679.884328	10648.858627
bounded@0.3	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2289.8	libpcre2_10.46_jit-caps-simdna	2289.8			1.009962	1.000000	excluded	excluded	excluded	excluded
bounded@0.3	csv5	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	1988.6	pcrec_1989c62_auto-caps-simdna	1988.8	pcrec_1989c62_auto-nocaps-simdna	1988.6	excluded	excluded	1.000105	1.000000	2.988465	2.903815
bounded@0.3	csv5	short-subject-search	plain	pcrec_1989c62_auto-nocaps-simdna	950.9	pcrec_1989c62_auto-caps-simdna	953.5	pcrec_1989c62_auto-nocaps-simdna	950.9	21.873701	6.362755	1.002717	1.000000	378.941411	378.621864
bounded@0.3	ctx-greedy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	105580.0	libpcre2_10.46_jit-caps-simdna	105580.0	pcrec_1989c62_auto-nocaps-simdna	200331.0	5.260052	1.000000	1.894361	1.897433	4.478189	4.486166
bounded@0.3	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2539.6	libpcre2_10.46_interp-caps-simdna	2539.6			1.000000	1.008654	excluded	excluded	excluded	excluded
bounded@0.3	ctx-greedy-256	match-compliance	whole-subject	pcrec_1989c62_auto-nocaps-simdna	996.2	pcrec_1989c62_vm-caps-simdna	996.8	pcrec_1989c62_auto-nocaps-simdna	996.2	excluded	excluded	1.002218	1.000000	1.000615	1.066673
bounded@0.3	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5065.9	libpcre2_10.46_jit-caps-simdna	5065.9	pcrec_1989c62_auto-nocaps-simdna	7228.0	4.679075	1.000000	1.429106	1.426794	4.308863	4.302392
bounded@0.3	ctx-lazy-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104311.8	libpcre2_10.46_jit-caps-simdna	104311.8	pcrec_1989c62_auto-nocaps-simdna	197313.0	5.319573	1.000000	1.896971	1.891570	4.231208	4.232978
bounded@0.3	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7555.0	libpcre2_10.46_interp-caps-simdna	7555.0			1.000000	1.002996	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-1024	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	2179.5	pcrec_1989c62_vm-caps-simdna	2179.5	pcrec_1989c62_auto-nocaps-simdna	2189.0	excluded	excluded	1.006951	1.004387	1.000000	1.037683
bounded@0.3	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6258.6	libpcre2_10.46_jit-caps-simdna	6258.6	pcrec_1989c62_auto-nocaps-simdna	9624.5	5.773284	1.000000	1.541878	1.537795	3.810352	3.807165
bounded@0.3	ctx-lazy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104249.5	libpcre2_10.46_jit-caps-simdna	104249.5	pcrec_1989c62_auto-nocaps-simdna	197453.0	5.323488	1.000000	1.896184	1.894043	4.235800	4.238247
bounded@0.3	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7553.7	libpcre2_10.46_interp-caps-simdna	7553.7			1.000000	1.017328	excluded	excluded	excluded	excluded
bounded@0.3	ctx-lazy-256	match-compliance	whole-subject	pcrec_1989c62_vm-caps-simdna	2184.0	pcrec_1989c62_vm-caps-simdna	2184.0	pcrec_1989c62_auto-nocaps-simdna	2193.5	excluded	excluded	1.003489	1.004357	1.000000	1.035614
bounded@0.3	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	6238.0	libpcre2_10.46_jit-caps-simdna	6238.0	pcrec_1989c62_auto-nocaps-simdna	9631.4	5.794090	1.000000	1.543590	1.543995	3.823643	3.820026
bounded@0.3	ctx-lazy-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104310.6	libpcre2_10.46_jit-caps-simdna	104310.6	pcrec_1989c62_auto-nocaps-simdna	197406.9	5.322224	1.000000	1.894825	1.892491	4.233805	4.228939
