# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.2, until=2026-09-02T00:00:00Z; source: store/index.tsv (11 record(s) matching this query); records: 10; subbench_versions: bounded@0.2; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_auto-nocaps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; no=pcrec_263b013_auto-nocaps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_auto-nocaps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_263b013_vm-in-caps-simdna	pcrec_a7e0bdf_auto-caps-simdna	pcrec_a7e0bdf_auto-nocaps-simdna	pcrec_a7e0bdf_vm-caps-simdna	pcrec_a7e0bdf_vm-in-caps-simdna
bounded@0.2	cls-upto-128	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	562.6	pcrec_a7e0bdf_vm-in-caps-simdna	562.6	pcrec_263b013_auto-nocaps-simdna	919.4	excluded	excluded	1.634750	1.634188	1.053022	1.014378	1.676844	1.677659	1.052293	1.000000
bounded@0.2	cls-upto-128	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	682.4	pcrec_263b013_vm-caps-simdna	682.4	pcrec_a7e0bdf_auto-nocaps-simdna	784.6	5.230779	2.285755	2.210963	2.212335	1.000000	1.109029	1.149977	1.149872	1.013050	1.111140
bounded@0.2	cls-upto-16384	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	211843.0	pcrec_a7e0bdf_auto-caps-simdna	211843.0	pcrec_a7e0bdf_auto-nocaps-simdna	211896.7	10.273804	3.955203	1.966138	1.967019	1.102487	1.270155	1.000000	1.000254	1.100813	1.265601
bounded@0.2	cls-upto-16384	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3380.6	libpcre2_10.46_interp-caps-simdna	3380.6			1.000000	1.002495	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-16384	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	719.7	pcrec_a7e0bdf_vm-in-caps-simdna	719.7	pcrec_a7e0bdf_auto-nocaps-simdna	745.3	excluded	excluded	1.031679	1.036142	1.041231	1.005027	1.038796	1.035589	1.034492	1.000000
bounded@0.2	cls-upto-16384	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	835.3	pcrec_263b013_vm-caps-simdna	835.3	pcrec_a7e0bdf_auto-nocaps-simdna	1085.3	4.603202	2.053508	2.906762	2.907844	1.000000	1.090545	1.298692	1.299284	1.007036	1.088744
bounded@0.2	cls-upto-2048	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	213033.9	pcrec_a7e0bdf_auto-caps-simdna	213808.1	pcrec_a7e0bdf_auto-nocaps-simdna	213033.9	10.205933	4.133596	1.947682	1.950957	1.103282	1.265585	1.003634	1.000000	1.098041	1.256920
bounded@0.2	cls-upto-2048	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3390.2	libpcre2_10.46_jit-caps-simdna	3390.2			1.003098	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-2048	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	720.3	pcrec_a7e0bdf_vm-in-caps-simdna	720.3	pcrec_263b013_auto-nocaps-simdna	5157.7	excluded	excluded	7.158578	7.160626	1.037477	1.005618	7.160932	7.186485	1.033224	1.000000
bounded@0.2	cls-upto-2048	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	833.9	pcrec_263b013_vm-caps-simdna	833.9	pcrec_a7e0bdf_auto-nocaps-simdna	1083.5	4.579982	2.043186	2.908521	2.910561	1.000000	1.088292	1.300830	1.299334	1.009605	1.091438
bounded@0.2	cls-upto-256	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	221691.9	pcrec_a7e0bdf_auto-caps-simdna	221691.9	pcrec_a7e0bdf_auto-nocaps-simdna	222462.4	10.045807	3.665761	1.889112	1.886273	1.092613	1.253651	1.000000	1.003475	1.091878	1.246152
bounded@0.2	cls-upto-256	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3376.6	libpcre2_10.46_jit-caps-simdna	3376.6			1.006947	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-256	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	716.5	pcrec_a7e0bdf_vm-in-caps-simdna	716.5	pcrec_263b013_auto-nocaps-simdna	1375.5	excluded	excluded	1.917571	1.919643	1.039505	1.008423	1.949454	1.951149	1.039861	1.000000
bounded@0.2	cls-upto-256	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	835.6	pcrec_263b013_vm-caps-simdna	835.6	pcrec_a7e0bdf_auto-nocaps-simdna	1084.3	4.573480	1.997864	2.907526	2.911168	1.000000	1.087358	1.298616	1.297609	1.008419	1.089310
bounded@0.2	cls-upto-32768	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	232968.6	pcrec_a7e0bdf_auto-caps-simdna	232968.6	pcrec_a7e0bdf_auto-nocaps-simdna	233142.5	9.312072	3.593621	1.003984	1.002055	1.002345	1.149214	1.000000	1.000746	1.002440	1.145050
bounded@0.2	cls-upto-32768	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3385.1	libpcre2_10.46_interp-caps-simdna	3385.1			1.000000	1.008021	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-32768	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	719.5	pcrec_a7e0bdf_vm-in-caps-simdna	719.5	pcrec_263b013_auto-nocaps-simdna	744.3	excluded	excluded	1.038856	1.034452	1.030587	1.009416	1.034462	1.034932	1.036501	1.000000
bounded@0.2	cls-upto-32768	short-subject-search	plain	pcrec_263b013_auto-caps-simdna	834.0	pcrec_263b013_auto-caps-simdna	834.0	pcrec_263b013_auto-nocaps-simdna	836.9	4.615226	2.035948	1.000000	1.003534	1.000526	1.088431	1.011364	1.009004	1.010229	1.091773
bounded@0.2	cls-upto-4096	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	212077.8	pcrec_a7e0bdf_auto-caps-simdna	212169.8	pcrec_a7e0bdf_auto-nocaps-simdna	212077.8	10.252735	3.834063	1.970555	1.963206	1.102581	1.264094	1.000434	1.000000	1.101295	1.260974
bounded@0.2	cls-upto-4096	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3385.7	libpcre2_10.46_interp-caps-simdna	3385.7			1.000000	1.003596	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-4096	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	716.8	pcrec_a7e0bdf_vm-in-caps-simdna	716.8	pcrec_a7e0bdf_auto-nocaps-simdna	5173.8	excluded	excluded	7.201699	7.224505	1.036415	1.011005	7.215105	7.217684	1.037488	1.000000
bounded@0.2	cls-upto-4096	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	836.3	pcrec_263b013_vm-caps-simdna	836.3	pcrec_a7e0bdf_auto-nocaps-simdna	1085.4	4.560904	2.051275	2.896986	2.903551	1.000000	1.084127	1.297686	1.297935	1.005676	1.088335
bounded@0.2	cls-upto-512	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	216648.0	pcrec_a7e0bdf_auto-caps-simdna	216648.0	pcrec_a7e0bdf_auto-nocaps-simdna	217040.9	10.115691	3.816735	1.925869	1.923305	1.098221	1.255633	1.000000	1.001813	1.096135	1.253508
bounded@0.2	cls-upto-512	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3405.7	libpcre2_10.46_jit-caps-simdna	3405.7			1.003325	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-512	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	717.0	pcrec_a7e0bdf_vm-in-caps-simdna	717.0	pcrec_263b013_auto-nocaps-simdna	1355.6	excluded	excluded	1.897165	1.890573	1.042020	1.010314	1.923502	1.927651	1.036827	1.000000
bounded@0.2	cls-upto-512	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	836.6	pcrec_263b013_vm-caps-simdna	836.6	pcrec_a7e0bdf_auto-nocaps-simdna	1085.5	4.592933	2.007202	2.900603	2.902665	1.000000	1.081093	1.294680	1.297505	1.006208	1.088310
bounded@0.2	cls-upto-64	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	264959.5	pcrec_a7e0bdf_auto-caps-simdna	264959.5	pcrec_a7e0bdf_auto-nocaps-simdna	265363.3	8.778356	3.273434	1.600584	1.601432	1.016300	1.159476	1.000000	1.001524	1.015586	1.156830
bounded@0.2	cls-upto-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	3012.4	libpcre2_10.46_jit-caps-simdna	3012.4			1.000985	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-64	match-compliance	whole-subject	pcrec_263b013_vm-in-caps-simdna	485.2	pcrec_263b013_vm-in-caps-simdna	485.2	pcrec_263b013_auto-nocaps-simdna	678.2	excluded	excluded	1.396486	1.397682	1.017231	1.000000	1.446744	1.444609	1.082791	1.015475
bounded@0.2	cls-upto-64	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	607.6	pcrec_263b013_vm-caps-simdna	607.6	pcrec_a7e0bdf_auto-nocaps-simdna	692.5	5.685640	2.387727	1.715971	1.718595	1.000000	1.118037	1.140738	1.139785	1.014910	1.129586
bounded@0.2	cls-upto-65535	large-subject-throughput	plain	pcrec_a7e0bdf_vm-caps-simdna	233848.8	pcrec_a7e0bdf_vm-caps-simdna	233848.8			9.273961	3.458712	refused	refused	1.001288	1.149157	refused	refused	1.000000	1.144397
bounded@0.2	cls-upto-65535	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3426.0	libpcre2_10.46_interp-caps-simdna	3426.0			1.000000	1.004319	refused	refused	excluded	excluded	refused	refused	excluded	excluded
bounded@0.2	cls-upto-65535	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	717.5	pcrec_a7e0bdf_vm-in-caps-simdna	717.5			excluded	excluded	refused	refused	1.034803	1.008378	refused	refused	1.036500	1.000000
bounded@0.2	cls-upto-65535	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	834.0	pcrec_263b013_vm-caps-simdna	834.0			4.580694	2.006334	refused	refused	1.000000	1.088995	refused	refused	1.009374	1.090932
bounded@0.2	cls-upto-8192	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	211546.3	pcrec_a7e0bdf_auto-caps-simdna	211767.5	pcrec_a7e0bdf_auto-nocaps-simdna	211546.3	10.258567	3.953746	1.963725	1.971230	1.106078	1.267085	1.001045	1.000000	1.101686	1.264123
bounded@0.2	cls-upto-8192	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	3411.6	libpcre2_10.46_interp-caps-simdna	3411.6			1.000000	1.001598	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	cls-upto-8192	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	721.0	pcrec_a7e0bdf_vm-in-caps-simdna	721.0	pcrec_263b013_auto-nocaps-simdna	5151.4	excluded	excluded	7.163062	7.144680	1.036937	1.004475	7.169730	7.171700	1.031500	1.000000
bounded@0.2	cls-upto-8192	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	834.9	pcrec_263b013_vm-caps-simdna	834.9	pcrec_a7e0bdf_auto-nocaps-simdna	1085.3	4.609950	2.035678	2.908841	2.907166	1.000000	1.087966	1.301372	1.299895	1.007945	1.090287
bounded@0.2	csv5	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	1672.5	pcrec_a7e0bdf_auto-caps-simdna	1674.1	pcrec_a7e0bdf_auto-nocaps-simdna	1672.5	1.081464	2.000087	1.007829	1.003124	10704.173288	10716.511634	1.000898	1.000000	10692.490890	10675.569558
bounded@0.2	csv5	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1623.1	libpcre2_10.46_jit-caps-simdna	1623.1			1.010455	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	csv5	match-compliance	whole-subject	pcrec_a7e0bdf_auto-caps-simdna	1318.1	pcrec_a7e0bdf_auto-caps-simdna	1318.1	pcrec_a7e0bdf_auto-nocaps-simdna	1318.3	excluded	excluded	1.006945	1.000816	2.933044	2.963376	1.000000	1.000149	2.916140	2.957968
bounded@0.2	csv5	short-subject-search	plain	pcrec_a7e0bdf_auto-caps-simdna	803.7	pcrec_a7e0bdf_auto-caps-simdna	803.7	pcrec_a7e0bdf_auto-nocaps-simdna	804.5	25.345692	6.832291	1.221402	1.213947	401.048755	400.956463	1.000000	1.000944	400.007470	400.649694
bounded@0.2	ctx-greedy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	105734.4	libpcre2_10.46_jit-caps-simdna	105734.4	pcrec_263b013_auto-nocaps-simdna	200488.1	5.258882	1.000000	1.900456	1.896148	4.481468	4.487515	1.899008	1.901658	4.497091	4.517719
bounded@0.2	ctx-greedy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	1991.1	libpcre2_10.46_interp-caps-simdna	1991.1			1.000000	1.000180	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	ctx-greedy-256	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	676.4	pcrec_263b013_vm-caps-simdna	677.8	pcrec_263b013_auto-nocaps-simdna	676.4	excluded	excluded	1.002359	1.000000	1.002102	1.071887	1.013444	1.017376	1.029743	1.072651
bounded@0.2	ctx-greedy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4334.8	libpcre2_10.46_jit-caps-simdna	4334.8	pcrec_263b013_auto-nocaps-simdna	6341.3	5.104770	1.000000	1.461484	1.462872	4.512398	4.514740	1.466717	1.464524	4.516141	4.519667
bounded@0.2	ctx-lazy-1024	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104456.1	libpcre2_10.46_jit-caps-simdna	104456.1	pcrec_a7e0bdf_auto-nocaps-simdna	197694.8	5.332963	1.000000	1.895990	1.893724	4.252372	4.234555	1.890430	1.892611	4.252312	4.237352
bounded@0.2	ctx-lazy-1024	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7036.0	libpcre2_10.46_interp-caps-simdna	7036.0			1.000000	1.000340	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	ctx-lazy-1024	match-compliance	whole-subject	pcrec_a7e0bdf_vm-caps-simdna	1867.6	pcrec_a7e0bdf_vm-caps-simdna	1867.6	pcrec_a7e0bdf_auto-nocaps-simdna	1873.7	excluded	excluded	1.010519	1.010781	1.002396	1.035306	1.003291	1.003303	1.000000	1.029100
bounded@0.2	ctx-lazy-1024	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5485.3	libpcre2_10.46_jit-caps-simdna	5485.3	pcrec_a7e0bdf_auto-nocaps-simdna	8821.0	6.303607	1.000000	1.609869	1.609483	3.965518	3.959137	1.608201	1.608128	4.013368	4.017328
bounded@0.2	ctx-lazy-256	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104556.2	libpcre2_10.46_jit-caps-simdna	104556.2	pcrec_a7e0bdf_auto-nocaps-simdna	197600.0	5.320916	1.000000	1.889976	1.897442	4.240157	4.237160	1.888976	1.889892	4.251145	4.277960
bounded@0.2	ctx-lazy-256	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7015.0	libpcre2_10.46_interp-caps-simdna	7015.0			1.000000	1.001598	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	ctx-lazy-256	match-compliance	whole-subject	pcrec_a7e0bdf_vm-caps-simdna	1863.9	pcrec_a7e0bdf_vm-caps-simdna	1863.9	pcrec_a7e0bdf_auto-nocaps-simdna	1871.6	excluded	excluded	1.009268	1.016526	1.008120	1.038852	1.005624	1.004150	1.000000	1.032440
bounded@0.2	ctx-lazy-256	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	5492.6	libpcre2_10.46_jit-caps-simdna	5492.6	pcrec_a7e0bdf_auto-nocaps-simdna	8820.3	6.283054	1.000000	1.607309	1.607955	3.963047	3.964875	1.605641	1.605849	4.009406	4.011944
bounded@0.2	ctx-lazy-64	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	104421.8	libpcre2_10.46_jit-caps-simdna	104421.8	pcrec_a7e0bdf_auto-nocaps-simdna	197660.2	5.326120	1.000000	1.892334	1.902306	4.254653	4.234174	1.891618	1.892901	4.282951	4.284869
bounded@0.2	ctx-lazy-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	5631.6	libpcre2_10.46_interp-caps-simdna	5631.6			1.000000	1.001144	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	ctx-lazy-64	match-compliance	whole-subject	pcrec_a7e0bdf_vm-caps-simdna	1561.6	pcrec_a7e0bdf_vm-caps-simdna	1561.6	pcrec_a7e0bdf_auto-nocaps-simdna	1566.1	excluded	excluded	1.035782	1.011765	1.004647	1.041769	1.004246	1.002887	1.000000	1.037800
