family	pattern_id	fidelity	hazard_class	source_name	source_url	source_ref	license	license_note	retrieved_utc	adaptation	attribution	text_location	canonical_sha256	pattern_text
wild-waf	wild-waf-crs-942140-dbnames	verbatim	none	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942140	Apache-2.0		2026-09-16T04:49:00Z			inline	35b37bd36a61c7c67bbb175d667b6ec38705b45824ea671be08300365373e931	(?i)\b(?:d(?:atabas|b_nam)e[^0-9A-Z_a-z]*\(|(?:information_schema|m(?:aster\.\.sysdatabases|s(?:db|ys(?:ac(?:cess(?:objects|storage|xml)|es)|modules2?|(?:object|querie|relationship)s))|ysql\.db)|northwind|pg_(?:catalog|toast)|tempdb)\b|s(?:chema(?:_name\b|[^0-9A-Z_a-z]*\()|(?:qlite_(?:temp_)?master|ys(?:aux|\.database_name))\b))
wild-waf	wild-waf-crs-942160-sleep-benchmark	verbatim	none	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942160	Apache-2.0		2026-09-16T04:49:00Z			inline	5aba073629c58ca0d7219bf848d4b520c451f7c2476b58f12dec2f08a7cf7b56	(?i:sleep\s*?\(.*?\)|benchmark\s*?\(.*?\,.*?\))
wild-waf	wild-waf-crs-942270-union-select	verbatim	none	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942270	Apache-2.0		2026-09-16T04:49:00Z			inline	dca1ba125a3aa86f6f50d1713245a7ea3cfc3cb80b8d3d33cad67ce647460291	(?i)union.*?select.*?from
wild-waf	wild-waf-crs-942360-concat-sqli	verbatim	none	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942360	Apache-2.0		2026-09-16T04:49:00Z			inline	80cc06a9f618861943a6927645bcd43e394fdc547165c099fee5ed9dc20d6ba2	(?i)\b(?:(?:alter|(?:(?:cre|trunc|upd)at|renam)e|de(?:lete|sc)|(?:inser|selec)t|load)[\s\x0b]+(?:char|group_concat|load_file)\b[\s\x0b]*\(?|end[\s\x0b]*?\);)|[\s\x0b\(]load_file[\s\x0b]*?\(|[\"'`][\s\x0b]+regexp[^0-9A-Z_a-z]|[\"'0-9A-Z_-z][\s\x0b]+as\b[\s\x0b]*[\"'0-9A-Z_-z]+[\s\x0b]*\bfrom|^(?:json\.)?[^A-Z_a-z]+[\s\x0b]*?(?:(?:(?:(?:cre|trunc)at|renam)e|d(?:e(?:lete|sc)|rop)|(?:inser|selec)t|load)[\s\x0b]+[0-9A-Z_a-z]+|u(?:pdate[\s\x0b]+[0-9A-Z_a-z]+|nion[\s\x0b]*(?:all|(?:sele|distin)ct)\b)|alter[\s\x0b]*(?:a(?:(?:ggregat|pplication[\s\x0b]*rol)e|s(?:sembl|ymmetric[\s\x0b]*ke)y|u(?:dit|thorization)|vailability[\s\x0b]*group)|b(?:roker[\s\x0b]*priority|ufferpool)|c(?:ertificate|luster|o(?:l(?:latio|um)|nversio)n|r(?:edential|yptographic[\s\x0b]*provider))|d(?:atabase|efault|i(?:mension|skgroup)|omain)|e(?:(?:ndpoi|ve)nt|xte(?:nsion|rnal))|f(?:lashback|oreign|u(?:lltext|nction))|hi(?:erarchy|stogram)|group|in(?:dex(?:type)?|memory|stance)|java|l(?:a(?:ngua|r)ge|ibrary|o(?:ckdown|g(?:file[\s\x0b]*group|in)))|m(?:a(?:s(?:k|ter[\s\x0b]*key)|terialized)|e(?:ssage[\s\x0b]*type|thod)|odule)|(?:nicknam|queu)e|o(?:perator|utline)|p(?:a(?:ckage|rtition)|ermission|ro(?:cedur|fil)e)|r(?:e(?:mot|sourc)e|o(?:l(?:e|lback)|ute))|s(?:chema|e(?:arch|curity|rv(?:er|ice)|quence|ssion)|y(?:mmetric[\s\x0b]*key|nonym)|togroup)|t(?:able(?:space)?|ext|hreshold|r(?:igger|usted)|ype)|us(?:age|er)|view|w(?:ork(?:load)?|rapper)|x(?:ml[\s\x0b]*schema|srobject))\b)
wild-waf	wild-waf-crs-942500-comment-obfuscation	verbatim	none	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942500	Apache-2.0		2026-09-16T04:49:00Z			inline	cc97df077a8caa0ecf0503be7db040307eea9ec2fa7343e94580decd955e547b	(?i)/\*[\s\x0b]*?[!\+](?:[\s\x0b\(\)\-0-9=A-Z_a-z]+)?\*/
wild-secrets	wild-secrets-aws-access-key-id	verbatim	none	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:5	Unlicense		2026-09-16T04:49:00Z			inline	b0bbf46f495f02664fed31226be1ca38abc64bfeb6a720f69639a3f719f930a2	\b((?:A3T[A-Z0-9]|AKIA|AGPA|AIDA|AROA|AIPA|ANPA|ANVA|ASIA)[A-Z0-9]{16})\b
wild-secrets	wild-secrets-github-pat	verbatim	none	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:31	Unlicense		2026-09-16T04:49:00Z			inline	8a03dcab5182a67c7aaadcb5f3181d7071c9aeff377ec43086a0d109d8f4d22c	\b(github_pat_[0-9a-zA-Z_]{82})\b
wild-secrets	wild-secrets-slack-webhook-url	verbatim	none	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:86	Unlicense		2026-09-16T04:49:00Z			inline	8069afcc823fcf515f5206d49a59ed18d4a3cd01fe55843196ca91627c8a702b	(?i)https://hooks.slack.com/services/(T[a-z0-9_]{8}/B[a-z0-9_]{8,12}/[a-z0-9_]{24})
wild-secrets	wild-secrets-username-password-pair	verbatim	none	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:23	Unlicense		2026-09-16T04:49:00Z			inline	b3b41a00a29bcb5df5ca3838be6e8ed35d689b7ecfa9ebd1ffc8f8435e729ca9	(?:username|USERNAME|user|USER)[ \t]*=[ \t]*["']([a-zA-Z0-9.@_\-+]{3,30})["']\s*[,;]?\s*(?:\s*(?:\#|//)[^\n\r]*[\n\r])*(?:password|pass|PASSWORD|PASS)[ \t]*=[ \t]*["']([^"']{5,30})["']
wild-datetime	wild-datetime-datefinder-alternation	verbatim	ambiguous-decomposition	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/date.txt	date.txt (whole file: datefinder's production pattern)	Unlicense		2026-09-16T04:49:00Z			inline	97cd171850089efa20adec84678649a72ccf0d75170baaff15a5219042b0e46d	((19\d\d01[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d01[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d02[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d02[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d03[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d03[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d04[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d04[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d05[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d05[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d06[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d06[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d07[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d07[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d08[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d08[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d09[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d09[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d10[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d10[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d11[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d11[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d12[0-3]\d[0-5]\d[0-5]\d[0-5]\d|20\d\d12[0-3]\d[0-5]\d[0-5]\d[0-5]\d|19\d\d01[0123]\d|20\d\d01[0123]\d|19\d\d02[0123]\d|20\d\d02[0123]\d|19\d\d03[0123]\d|20\d\d03[0123]\d|19\d\d04[0123]\d|20\d\d04[0123]\d|19\d\d05[0123]\d|20\d\d05[0123]\d|19\d\d06[0123]\d|20\d\d06[0123]\d|19\d\d07[0123]\d|20\d\d07[0123]\d|19\d\d08[0123]\d|20\d\d08[0123]\d|19\d\d09[0123]\d|20\d\d09[0123]\d|19\d\d10[0123]\d|20\d\d10[0123]\d|19\d\d11[0123]\d|20\d\d11[0123]\d|19\d\d12[0123]\d|20\d\d12[0123]\d|19\d\d01|20\d\d01|19\d\d02|20\d\d02|19\d\d03|20\d\d03|19\d\d04|20\d\d04|19\d\d05|20\d\d05|19\d\d06|20\d\d06|19\d\d07|20\d\d07|19\d\d08|20\d\d08|19\d\d09|20\d\d09|19\d\d10|20\d\d10|19\d\d11|20\d\d11|19\d\d12|20\d\d12|(-?(:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[01]|0[1-9]|[12][0-9])T(2[0-3]|[01][0-9]):([0-5][0-9]):([0-5][0-9])(?:[.,]+([0-9]+))?((?:Z|[+-](?:2[0-3]|[01][0-9]):[0-5][0-9]))?)|((((\d{1,2}):(\d{1,2})(:(\d{1,2}))?([.,](\d{1,6}))?\s*(a.m.|am|p.m.|pm)?\s*(ACDT|ACST|ACT|ACWDT|ACWST|ADDT|ADMT|ADT|AEDT|AEST|AFT|AHDT|AHST|AKDT|AKST|AKTST|AKTT|ALMST|ALMT|AMST|AMT|ANAST|ANAT|ANT|APT|AQTST|AQTT|ARST|ART|ASHST|ASHT|AST|AWDT|AWST|AWT|AZOMT|AZOST|AZOT|AZST|AZT|BAKST|BAKT|BDST|BDT|BEAT|BEAUT|BIOT|BMT|BNT|BORT|BOST|BOT|BRST|BRT|BST|BTT|BURT|CANT|CAPT|CAST|CAT|CAWT|CCT|CDDT|CDT|CEDT|CEMT|CEST|CET|CGST|CGT|CHADT|CHAST|CHDT|CHOST|CHOT|CIST|CKHST|CKT|CLST|CLT|CMT|COST|COT|CPT|CST|CUT|CVST|CVT|CWT|CXT|ChST|DACT|DAVT|DDUT|DFT|DMT|DUSST|DUST|EASST|EAST|EAT|ECT|EDDT|EDT|EEDT|EEST|EET|EGST|EGT|EHDT|EMT|EPT|EST|ET|EWT|FET|FFMT|FJST|FJT|FKST|FKT|FMT|FNST|FNT|FORT|FRUST|FRUT|GALT|GAMT|GBGT|GEST|GET|GFT|GHST|GILT|GIT|GMT|GST|GYT|HAA|HAC|HADT|HAE|HAP|HAR|HAST|HAT|HAY|HDT|HKST|HKT|HLV|HMT|HNA|HNC|HNE|HNP|HNR|HNT|HNY|HOVST|HOVT|HST|ICT|IDDT|IDT|IHST|IMT|IOT|IRDT|IRKST|IRKT|IRST|ISST|IST|JAVT|JCST|JDT|JMT|JST|JWST|KART|KDT|KGST|KGT|KIZST|KIZT|KMT|KOST|KRAST|KRAT|KST|KUYST|KUYT|KWAT|LHDT|LHST|LINT|LKT|LMT|LMT|LMT|LMT|LRT|LST|MADMT|MADST|MADT|MAGST|MAGT|MALST|MALT|MART|MAWT|MDDT|MDST|MDT|MEST|MET|MHT|MIST|MIT|MMT|MOST|MOT|MPT|MSD|MSK|MSM|MST|MUST|MUT|MVT|MWT|MYT|NCST|NCT|NDDT|NDT|NEGT|NEST|NET|NFT|NMT|NOVST|NOVT|NPT|NRT|NST|NT|NUT|NWT|NZDT|NZMT|NZST|OMSST|OMST|ORAST|ORAT|PDDT|PDT|PEST|PET|PETST|PETT|PGT|PHOT|PHST|PHT|PKST|PKT|PLMT|PMDT|PMMT|PMST|PMT|PNT|PONT|PPMT|PPT|PST|PT|PWT|PYST|PYT|QMT|QYZST|QYZT|RET|RMT|ROTT|SAKST|SAKT|SAMT|SAST|SBT|SCT|SDMT|SDT|SET|SGT|SHEST|SHET|SJMT|SLT|SMT|SRET|SRT|SST|STAT|SVEST|SVET|SWAT|SYOT|TAHT|TASST|TAST|TBIST|TBIT|TBMT|TFT|THA|TJT|TKT|TLT|TMT|TOST|TOT|TRST|TRT|TSAT|TVT|ULAST|ULAT|URAST|URAT|UTC|UYHST|UYST|UYT|UZST|UZT|VET|VLAST|VLAT|VOLST|VOLT|VOST|VUST|VUT|WARST|WART|WAST|WAT|WDT|WEDT|WEMT|WEST|WET|WFT|WGST|WGT|WIB|WIT|WITA|WMT|WSDT|WSST|WST|WT|XJT|YAKST|YAKT|YAPT|YDDT|YDT|YEKST|YEKST|YEKT|YEKT|YERST|YERT|YPT|YST|YWT|zzz|pacific|eastern|mountain|central)?)|((\d{1,2})\s*(a.m.|am|p.m.|pm)\s*(ACDT|ACST|ACT|ACWDT|ACWST|ADDT|ADMT|ADT|AEDT|AEST|AFT|AHDT|AHST|AKDT|AKST|AKTST|AKTT|ALMST|ALMT|AMST|AMT|ANAST|ANAT|ANT|APT|AQTST|AQTT|ARST|ART|ASHST|ASHT|AST|AWDT|AWST|AWT|AZOMT|AZOST|AZOT|AZST|AZT|BAKST|BAKT|BDST|BDT|BEAT|BEAUT|BIOT|BMT|BNT|BORT|BOST|BOT|BRST|BRT|BST|BTT|BURT|CANT|CAPT|CAST|CAT|CAWT|CCT|CDDT|CDT|CEDT|CEMT|CEST|CET|CGST|CGT|CHADT|CHAST|CHDT|CHOST|CHOT|CIST|CKHST|CKT|CLST|CLT|CMT|COST|COT|CPT|CST|CUT|CVST|CVT|CWT|CXT|ChST|DACT|DAVT|DDUT|DFT|DMT|DUSST|DUST|EASST|EAST|EAT|ECT|EDDT|EDT|EEDT|EEST|EET|EGST|EGT|EHDT|EMT|EPT|EST|ET|EWT|FET|FFMT|FJST|FJT|FKST|FKT|FMT|FNST|FNT|FORT|FRUST|FRUT|GALT|GAMT|GBGT|GEST|GET|GFT|GHST|GILT|GIT|GMT|GST|GYT|HAA|HAC|HADT|HAE|HAP|HAR|HAST|HAT|HAY|HDT|HKST|HKT|HLV|HMT|HNA|HNC|HNE|HNP|HNR|HNT|HNY|HOVST|HOVT|HST|ICT|IDDT|IDT|IHST|IMT|IOT|IRDT|IRKST|IRKT|IRST|ISST|IST|JAVT|JCST|JDT|JMT|JST|JWST|KART|KDT|KGST|KGT|KIZST|KIZT|KMT|KOST|KRAST|KRAT|KST|KUYST|KUYT|KWAT|LHDT|LHST|LINT|LKT|LMT|LMT|LMT|LMT|LRT|LST|MADMT|MADST|MADT|MAGST|MAGT|MALST|MALT|MART|MAWT|MDDT|MDST|MDT|MEST|MET|MHT|MIST|MIT|MMT|MOST|MOT|MPT|MSD|MSK|MSM|MST|MUST|MUT|MVT|MWT|MYT|NCST|NCT|NDDT|NDT|NEGT|NEST|NET|NFT|NMT|NOVST|NOVT|NPT|NRT|NST|NT|NUT|NWT|NZDT|NZMT|NZST|OMSST|OMST|ORAST|ORAT|PDDT|PDT|PEST|PET|PETST|PETT|PGT|PHOT|PHST|PHT|PKST|PKT|PLMT|PMDT|PMMT|PMST|PMT|PNT|PONT|PPMT|PPT|PST|PT|PWT|PYST|PYT|QMT|QYZST|QYZT|RET|RMT|ROTT|SAKST|SAKT|SAMT|SAST|SBT|SCT|SDMT|SDT|SET|SGT|SHEST|SHET|SJMT|SLT|SMT|SRET|SRT|SST|STAT|SVEST|SVET|SWAT|SYOT|TAHT|TASST|TAST|TBIST|TBIT|TBMT|TFT|THA|TJT|TKT|TLT|TMT|TOST|TOT|TRST|TRT|TSAT|TVT|ULAST|ULAT|URAST|URAT|UTC|UYHST|UYST|UYT|UZST|UZT|VET|VLAST|VLAT|VOLST|VOLT|VOST|VUST|VUT|WARST|WART|WAST|WAT|WDT|WEDT|WEMT|WEST|WET|WFT|WGST|WGT|WIB|WIT|WITA|WMT|WSDT|WSST|WST|WT|XJT|YAKST|YAKT|YAPT|YDDT|YDT|YEKST|YEKST|YEKT|YEKT|YERST|YERT|YPT|YST|YWT|zzz|pacific|eastern|mountain|central)*))|(19\d\d|20\d\d)|(first|second|third|fourth|fifth|sixth|seventh|eighth|nineth|tenth)|(\d+)(st|th|rd|nd)?|(monday|tuesday|wednesday|thursday|friday|saturday|sunday|mandag|tirsdag|onsdag|torsdag|fredag|lordag|sondag|mon|tue|tues|wed|thu|thur|thurs|fri|sat|sun|man|tir|tirs|ons|tor|tors|fre|lor|son)|(january|february|march|april|may|june|july|august|september|october|november|december|enero|febrero|marzo|abril|mayo|junio|julio|agosto|septiembre|octubre|noviembre|diciembre|januar|februar|marts|april|maj|juni|juli|august|september|oktober|november|december|jan[.\s]|ene[.\s]|feb[.\s]|mar[.\s]|apr[.\s]|abr[.\s]|may[.\s]|maj[.\s]|jun[.\s]|jul[.\s]|aug[.\s]|ago[.\s]|sep[^A-Za-z]|sept[.\s]|oct[.\s]|okt[.\s]|nov[.\s]|dec[.\s]|dic[.\s])|([/:\-,.\s_+@]+)|(next|last)|(due|by|on|during|standard|daylight|savings|time|date|dated|of|to|through|between|until|at|day)){1,1})
