# testees/pcrec/list_definitions.tsv -- pcrec's DEFINITIONS TABLE at the pin
# (the FIFTH registry surface, [DD-11] / pcrec D85, docs/spec/registry.md
# 9), archived VERBATIM under a source header. Everything below this header
# is the unmodified output of:
#
#     build/pcrec-263b013/build/pcrec --list-definitions | grep -v '^#'
#
# pcrec commit 263b013ac7bc2aae4e1a85305410003f12b918e3 (abi 12), archived
# 2026-08-31 by lane b22repin ([B22]). 50 data rows / 7 columns: kind,
# selector, syntax, order, predicate, definition, applies -- one row per
# construct DEFINED in terms of another (`\d` = `[0-9]`, the POSIX classes,
# `\R`, the `\c`/`\x`/`\o` decoders as text functions), the predicate being
# the option-scope tag's own name (a closed vocabulary). BYTE-IDENTICAL to
# the 96e44c2 copy below the header: no definition moved between the pins.
# The grep strips pcrec's own `#` comment/header lines, so the data rows
# are the whole body; the column header is restated here for a reader:
#
#     kind	selector	syntax	order	predicate	definition	applies
#
# WHAT THIS FILE IS FOR: nothing the adapter reads depends on it (the
# emitted code is unchanged by [DD-11]); it is archived beside
# list_axes.tsv under the same rule -- `make check-harness` diffs it against
# the pin's live output (`check_list_definitions_registry`), so a definition
# pcrec adds or changes between pins is a named diff here rather than an
# unexplained answer change in a record. Re-archive at every re-pin.
class-bracket	:	[[:alpha:]]	5	DEF_ALWAYS	[[:cntrl:]] ≡ [\x00-\x1f\x7f]	active
class-bracket	:	[[:alpha:]]	6	DEF_ALWAYS	[[:digit:]] ≡ [0-9]	active
class-bracket	:	[[:alpha:]]	7	DEF_ALWAYS	[[:graph:]] ≡ [!-~]	active
class-bracket	:	[[:alpha:]]	8	DEF_ALWAYS	[[:lower:]] ≡ [a-z]	active
class-bracket	:	[[:alpha:]]	9	DEF_ALWAYS	[[:print:]] ≡ [ -~]	active
class-bracket	:	[[:alpha:]]	10	DEF_ALWAYS	[[:punct:]] ≡ [!-/:-@[-`{-~]	active
class-bracket	:	[[:alpha:]]	11	DEF_ALWAYS	[[:space:]] ≡ [\t\n\x0b\f\r ]	active
class-bracket	:	[[:alpha:]]	12	DEF_ALWAYS	[[:upper:]] ≡ [A-Z]	active
class-bracket	:	[[:alpha:]]	13	DEF_ALWAYS	[[:word:]] ≡ [A-Za-z0-9_]	active
class-bracket	:	[[:alpha:]]	14	DEF_ALWAYS	[[:xdigit:]] ≡ [0-9A-Fa-f]	active
quant-suffix	*	a*+	1	DEF_ALWAYS	X<quant>+ ≡ (?>X<quant>)	active
quant-suffix	+	a++	1	DEF_ALWAYS	X<quant>+ ≡ (?>X<quant>)	active
quant-suffix	?	a?+	1	DEF_ALWAYS	X<quant>+ ≡ (?>X<quant>)	active
quant-suffix	{	a{1,2}+	1	DEF_ALWAYS	X<quant>+ ≡ (?>X<quant>)	active
bare	^	^	1	DEF_MULTILINE	\A|(?<=\n)(?!\z)	active
bare	^	^	2	DEF_ALWAYS	^	identity
bare	$	$	1	DEF_MULTILINE	(?=\n)|\z	active
bare	$	$	2	DEF_ALWAYS	= \Z	active
bare	(	(a)	1	DEF_NOCAP	(?n)(X) ≡ (?:X)	active
bare	(	(a)	2	DEF_ALWAYS	(a)	identity
