id	source	len	n_chars	n_ascii	n_lead2	n_lead3	n_lead4	n_cont	pct_ascii	pct_multibyte	dominant_lead	avg_bytes_per_char
alt-mixedwidth-3b	search_short	3	1	0	0	1	0	2	0.0000	1.0000	0xe6	3.0000
alt-mixedwidth-4b	search_short	4	1	0	0	0	1	3	0.0000	1.0000	0xf0	4.0000
alt-cyr64-hit	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xd0	2.0000
alt-cyr64-miss	search_short	26	13	0	13	0	0	13	0.0000	1.0000	0xd0	2.0000
qnt-plus-lazy-hit	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xc3	2.0000
qnt-counted3b-hit	search_short	12	4	0	0	4	0	8	0.0000	1.0000	0xe6	3.0000
qnt-bounded4b-hit	search_short	12	3	0	0	0	3	9	0.0000	1.0000	0xf0	4.0000
qnt-dotbounded-hit	search_short	18	6	0	0	6	0	12	0.0000	1.0000	0xe6	3.0000
qnt-classrun-hit	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
asr-b-ascii-hit	search_short	11	11	11	0	0	0	0	1.0000	0.0000	n/a	1.0000
asr-b-ascii-miss	search_short	11	11	11	0	0	0	0	1.0000	0.0000	n/a	1.0000
asr-b-cyr-pair	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
asr-b-ascii-adjacent-multibyte	search_short	9	8	7	1	0	0	1	0.7778	0.2222	0xc3	1.1250
asr-B-midchar-hit	search_short	2	2	2	0	0	0	0	1.0000	0.0000	n/a	1.0000
asr-lb-fixed-hit	search_short	3	2	1	1	0	0	1	0.3333	0.6667	0xc3	1.5000
asr-lb-fixed-miss	search_short	3	2	1	1	0	0	1	0.3333	0.6667	0xc3	1.5000
asr-lb-varwidth-a-hit	search_short	2	2	2	0	0	0	0	1.0000	0.0000	n/a	1.0000
asr-lb-neg-hit	search_short	6	2	0	0	2	0	4	0.0000	1.0000	0xe6	3.0000
asr-lb-neg-miss	search_short	6	2	0	0	2	0	4	0.0000	1.0000	0xe6	3.0000
asr-lb-class-hit	search_short	13	7	1	6	0	0	6	0.0769	0.9231	0xd0	1.8571
asr-caret-ml-hit	search_short	30	16	9	0	7	0	14	0.3000	0.7000	0xe3	1.8750
asr-dollar-ml-hit	search_short	27	15	9	0	6	0	12	0.3333	0.6667	0xe3	1.8000
asr-a-z-hit	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
asr-a-z-miss	search_short	12	6	3	0	3	0	6	0.2500	0.7500	0xe6	2.0000
prp-l-hit	search_short	8	4	1	2	1	0	4	0.1250	0.8750	0xe6	2.0000
prp-l-miss	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-lu-hit	search_short	2	1	0	1	0	0	1	0.0000	1.0000	0xc3	2.0000
prp-lu-miss	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-n-hit	search_short	6	3	0	3	0	0	3	0.0000	1.0000	0xd9	2.0000
prp-notl-hit	search_short	6	6	6	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-notl-miss	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-zs-hit	search_short	4	3	2	1	0	0	1	0.5000	0.5000	0xc2	1.3333
prp-greek-scx-witness	search_short	4	2	0	2	0	0	2	0.0000	1.0000	0xce	2.0000
prp-l-anchored-hit	search_short	4	4	4	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-l-anchored-miss	search_short	3	3	3	0	0	0	0	1.0000	0.0000	n/a	1.0000
prp-cyrillic-hit	search_short	12	6	0	6	0	0	6	0.0000	1.0000	0xd0	2.0000
prp-han-hit	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe6	3.0000
prp-han-miss	search_short	9	3	0	0	3	0	6	0.0000	1.0000	0xe3	3.0000
prp-latin-hit	search_short	5	4	3	1	0	0	1	0.6000	0.4000	0xc3	1.2500
floor-hit	search_short	1	1	1	0	0	0	0	1.0000	0.0000	n/a	1.0000
t-64k	throughput	65536	46367	31769	10147	4331	120	19169	0.4848	0.5152	0xd0	1.4134
t-256k	throughput	262144	185769	127418	40831	17016	504	76375	0.4861	0.5139	0xd0	1.4111
t-1m	throughput	1048576	743934	512291	160651	68985	2007	304642	0.4886	0.5114	0xd0	1.4095
t-64k-lat	throughput	65536	60405	55274	5131	0	0	5131	0.8434	0.1566	0xc3	1.0849
t-64k-cyr	throughput	65536	36555	7670	28789	96	0	28981	0.1170	0.8830	0xd0	1.7928
t-64k-cjk	throughput	65536	25112	4900	0	20212	0	40424	0.0748	0.9252	0xe3	2.6097
t-64k-asc	throughput	65536	65536	65536	0	0	0	0	1.0000	0.0000	n/a	1.0000
